Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Finom,https://www.crunchbase.com/organization/finom-e735,Active,,"Finance, Financial Services, FinTech, Payments","Amsterdam, Noord-Holland, The Netherlands","Finom is a digital banking solution for SMEs and entrepreneurs, helping them manage business accounts and finances.",187,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-01-01,year,,,,,For Profit,https://finom.co,https://x.com/finomhq,https://www.facebook.com/Finom.co,https://www.linkedin.com/company/finomhq,"Finom combines digital business account benefits with multiple services to provide financial solutions for entrepreneurs, the self-employed, and freelancers. It pulls together accounting, financial management, and banking functions for early-stage businesses and SMEs into one mobile-first product.","Financial Services, Payments",8,501-1000,"Alena Valovaya, Andrew Petrov, Andrey Varikov, Iakov Novikov, Ivo Dimitrov, Konstantin Stiskin, Oleg Laguta, Sergey Petrov",6,,2025-05-07,92700000,EUR,105328820,Venture - Series Unknown,92700000,EUR,105328820,Venture - Series Unknown,192500000,EUR,213009143,192500000,EUR,213009143,"General Catalyst, Northzone, FJ Labs, Target Global, Entrée Capital",3,18,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Recharge,https://www.crunchbase.com/organization/rechargecom,Active,,"E-Commerce, FinTech, Marketing, Payments, Sales","Amsterdam, Noord-Holland, The Netherlands",Recharge connects brands effortlessly with customers through their unified prepaid platform solutions,856,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1079 LK,$10M to $50M,2015-01-01,year,,,,,For Profit,https://company.recharge.com,,,https://www.linkedin.com/company/rechargecom,"Recharge has revolutionised the prepaid payments industry connecting brands effortlessly with customers through their unified platform solutions. Recharge enables stored value products to be obtained anywhere, anytime via their own multi-country digital store fronts including Recharge.com and Startselect.com. Founded in 2010, they are headquartered in Amsterdam, and have raised over $75 million across Series A and B funding rounds to date. Learn more at: company.recharge.com.","Commerce and Shopping, Financial Services, Payments, Sales and Marketing",2,101-250,"Dirk Ueberbach, Robin Weesie",5,Early Stage Venture,2025-01-16,45000000,EUR,46298344,Debt Financing,35000000,USD,35000000,Series B,60022036,USD,60022036,118120380,USD,118120380,"Rabobank, Kreos Capital, SmartFin, ABN AMRO Bank, Prime Ventures",5,6,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Mambu,https://www.crunchbase.com/organization/mambu,Active,,"Banking, Financial Services, FinTech, Lending, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands",Mambu is the only true SaaS cloud core banking platform.,"1,414","European Union (EU), Europe, Middle East, and Africa (EMEA)",1019 GM,$1B to $10B,2011-01-01,year,,,,,For Profit,http://www.mambu.com,http://twitter.com/mambu_com,http://www.facebook.com/mambucloud,http://www.linkedin.com/company/mambu,"Heard of composable banking? The concept originated here at Mambu. We’ve been champions of composable for over a decade. Mambu is the only true SaaS cloud core banking platform. Our unique and sustainable composable approach means that independent engines, systems and connectors can be assembled in any configuration to meet business requirements and the ever-changing demands of your customers. 200+ banks, lenders, fintechs, and even retailers in 60 countries turn to us to help them build modern digital financial products faster, securely and cost-effectively.","Financial Services, Lending and Investments, Software",3,501-1000,"Eugene Danilkis, Frederik Pfisterer, Sofia Nunes",7,Late Stage Venture,2021-12-09,235000000,EUR,265401174,Series E,235000000,EUR,265401174,Series E,387000000,EUR,448322143,387000000,EUR,448322143,"Bessemer Venture Partners, EQT, Tiger Global Management, TCV, Acton Capital",6,10,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,7
Weaviate,https://www.crunchbase.com/organization/weaviate,Active,,"Artificial Intelligence (AI), Cloud Computing, Database, Enterprise Software, Generative AI, Open Source, Search Engine","Amsterdam, Noord-Holland, The Netherlands",Weaviate develops a hybrid SaaS platform to build search and recommendation systems.,"2,244","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-06-28,day,,,,,For Profit,https://weaviate.io,https://twitter.com/weaviate-io,,https://www.linkedin.com/company/weaviate-io,"Weaviate develops a hybrid SaaS platform to build search and recommendation systems. Its open-source AI vector search engine has extensions in the platform for specific use cases such as semantic search, plugins to integrate into any application, and a console to understand their data.","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",3,51-100,"Bob van Luijt, Etienne Dilocker, Micha Verhagen",3,Early Stage Venture,2023-04-20,50000000,USD,50000000,Series B,50000000,USD,50000000,Series B,67700000,USD,67700000,67700000,USD,67700000,"Index Ventures, New Enterprise Associates, Zetta Venture Partners, Battery Ventures, GTMfund",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Sendcloud,https://www.crunchbase.com/organization/sendcloud,Active,,"E-Commerce, Logistics, Shipping","Eindhoven, Noord-Brabant, The Netherlands",SendCloud is an all-in-one shipping platform that connects online retailers to shipping carriers to save them time and money.,"2,280","European Union (EU), Europe, Middle East, and Africa (EMEA)",5642CV,$50M to $100M,2012-10-16,day,,,,,For Profit,https://www.sendcloud.com,http://twitter.com/SendCloud,https://www.facebook.com/sendcloudde,http://www.linkedin.com/company/sendcloud,SendCloud is an all-in-one shipping platform that connects online retailers to shipping carriers to save them time and money. The platform is easy to implement and takes about five minutes of the webshops time. After integrating their module the webshop can connect with several shipping carriers.,"Commerce and Shopping, Transportation",3,251-500,"Bas Smeulders, Rob van den Heuvel, Sabi Tolou",6,Late Stage Venture,2021-09-15,177000000,USD,177000000,Series C,177000000,USD,177000000,Series C,200908942,USD,200908942,200908942,USD,200908942,"SoftBank Vision Fund, Bonsai Partners, L Catterton, henQ, AVP",7,10,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Thorizon,https://www.crunchbase.com/organization/thorizon,Active,,"Clean Energy, CleanTech, Energy, Industrial Engineering, Manufacturing, Nuclear, Sustainability, Waste Management","Amsterdam, Noord-Holland, The Netherlands",Thorizon develops and deploys cutting-edge technology for molten salt reactors.,"2,908","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://thorizon.com/,,,https://www.linkedin.com/company/thorizon/,"Thorizon has rapidly evolved from a spin-off of NRG (Dutch Nuclear Research Institute) into an ambitious deep-tech startup, with offices in Amsterdam and Lyon. The company views small modular nuclear reactors as an ideal, stable, and clean contributor to an energy system where wind and solar are the other important sources. The ambition is to develop a reactor based on molten salt that can be realized rapidly and smartly, is ’walk-away’ safe, and takes a first step towards circularity by using long-lived nuclear waste as a fuel source.  Thorizon is working to further strengthen its financial position to be able to build a non-nuclear molten salt demonstrator in the short term and finalize the detailed design to start building a first-of-a-kind reactor by 2030: the Thorizon One. Thorizon partners with industry leaders like Orano, Tractebel and EDF to advance its design and is a laureate in the France 2030 program for advanced nuclear projects. For more information about Thorizon, you can visit www.thorizon.com","Energy, Manufacturing, Science and Engineering, Sustainability",2,11-50,"Lucas Pool, Sander Groot",5,Early Stage Venture,2025-03-12,16000000,EUR,17458462,Series A,16000000,EUR,17458462,Series A,28500000,EUR,30069884,42500000,EUR,45296603,"Invest-NL, European Commission, France 2030, Positron Ventures, PDENH",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Framer,https://www.crunchbase.com/organization/framer,Active,,"Computer, Developer Platform, Developer Tools, Internet, Software","Amsterdam, Noord-Holland, The Netherlands","Framer develops design software to make interactive prototypes for iOS, Android, desktop, or the web.","3,529","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2013-01-01,year,,,,,For Profit,https://framer.com,https://twitter.com/framer,https://www.facebook.com/framerjs,https://www.linkedin.com/company/framer,"Framer develops design software to make interactive prototypes for iOS, Android, desktop, or the web. It enables users to turn static mockups into interactive prototypes and to experiment with dynamic,  animations, and interactions. Framer integrates with design tools, exports to mobile devices, and is powered by the language of the modern web, Javascript.","Consumer Electronics, Hardware, Internet Services, Software",2,101-250,"Jorn van Dijk, Koen Bok",5,Late Stage Venture,2023-07-27,25500000,EUR,27994414,Series C,25500000,EUR,27994414,Series C,60994414,USD,60994414,60994414,USD,60994414,"Accel, AngelList, Greylock, Foundation Capital, Atomico",3,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Tella,https://www.crunchbase.com/organization/tella-b2b0,Active,,"Productivity Tools, Software, Video, Video Editing","Amsterdam, Noord-Holland, The Netherlands","Tella is software that allows users to create, edit, customize and share videos for presentations, and tutorials.","4,355","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2020-05-18,day,,,,,For Profit,https://www.tella.tv,https://twitter.com/TellaHQ,https://www.facebook.com/tellaHQ/,https://www.linkedin.com/company/tellahq,"Tella is a video presentations for remote teams. Record, edit, and share video presentations from your browser.","Content and Publishing, Media and Entertainment, Software, Video",2,1-10,"Grant Shaddick, Michiel Westerbeek",3,Seed,2025-04-23,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,2225000,USD,2225000,2225000,USD,2225000,"Y Combinator, Liquid 2 Ventures, AltaIR Capital, Gradient, Mento VC",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
QuantWare,https://www.crunchbase.com/organization/quantware,Active,,"Hardware, Information Technology, Quantum Computing","Delft, Zuid-Holland, The Netherlands",QuantWare is the world’s leading provider of quantum hardware and creator of the VIO QPU scaling technology.,"4,543","European Union (EU), Europe, Middle East, and Africa (EMEA)",2628XG,$1M to $10M,2020-11-01,month,,,,,For Profit,https://www.quantware.com/,,,https://www.linkedin.com/company/quantware/about/,"QuantWare is the world’s leading provider of quantum hardware and creator of the VIO QPU scaling technology. Leading the Quantum Open Architecture paradigm, QuantWare powers the quantum computers of customers in 20 countries, spread over four continents. QuantWare’s VIO provides a scaling platform to any qubit design and unlocks the fastest path towards systems with more than 1 million qubits. Available in fully packaged QPUs and via Foundry and Packaging Services, VIO unlocks the fastest scaling roadmap for its customers.","Hardware, Information Technology, Science and Engineering",2,51-100,"Alessandro Bruno, Matthijs Rijlaarsdam",4,Early Stage Venture,2025-03-04,20000000,EUR,21246828,Series A,20000000,EUR,21246828,Series A,27150000,EUR,28933240,34650000,EUR,36956183,"Invest-NL, Rabobank, European Innovation Council, QDNL Participations, Graduate Entrepreneur Fund",4,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Skytree,https://www.crunchbase.com/organization/giaura,Active,,"AgTech, Clean Energy, CleanTech, GreenTech, Sustainability","Amsterdam, Noord-Holland, The Netherlands",Transforming CO2 supply,"4,808","European Union (EU), Europe, Middle East, and Africa (EMEA)",1098 XH,$1M to $10M,2010-01-01,year,,,,,For Profit,http://www.skytree.eu/,,,https://www.linkedin.com/company/skytree,"At Skytree, we’re turning ideas into action in the journey toward stable, reliable, and cleaner CO2. We create smart, scalable carbon dioxide solutions that recycle atmospheric CO2 and contribute to a healthier planet.  Founded in 2014, Skytree’s technology is built on a foundation of over a decade of applied research developing cutting-edge technology for astronauts on the International Space Station to tackle the CO2 challenge here on Earth. We are a global team of highly talented scientists, engineers, business development and marketing professionals, supported by an experienced management team.","Agriculture and Farming, Energy, Sustainability",2,101-250,"Alexander Gunkel, Max Beaumont",5,Early Stage Venture,2025-04-11,,,,Series A,,,,Series A,6000000,USD,6000000,8674163,USD,8674163,"European Innovation Council, The Yield Lab Europe, BNV Partners, Horticoop, Division Q",2,5,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
