Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Monzo,https://www.crunchbase.com/organization/monzo,Active,,"Banking, Financial Services, FinTech, Wealth Management","London, England, United Kingdom","Monzo is a digital bank that provides a user-friendly mobile app, innovative features, and a transparent approach to banking.",117,"Europe, Middle East, and Africa (EMEA)",EC2A 2EP,Less than $1M,2015-02-01,month,,,,,For Profit,https://monzo.com,https://twitter.com/monzo,https://www.facebook.com/monzobank,https://www.linkedin.com/company/monzo-bank,"Monzo (previously Mondo) is a bank for people who live their lives on their smartphones and is targeted at people who want to get things done with a click and who don’t see the need for branches and checkbooks. One of the key features that distinguishes Monzo from traditional banks is its app-based approach, which provides users with real-time updates on their spending, categorized transactions, budgeting tools, and instant notifications for transactions. Monzo also offers features like ""Pots,"" which are sub-accounts that allow users to set money aside for specific purposes, and ""Monzo Plus,"" a premium subscription service that offers additional features like custom card designs and travel insurance.","Financial Services, Lending and Investments",5,1001-5000,"Gary Dolman, Jason Bates, Jonas Huckestein, Paul Rippon, Tom Blomfield",22,Late Stage Venture,2024-10-10,,,,Secondary Market,150000000,GBP,187397868,Series I,1837168103,USD,1837168103,1837168103,USD,1837168103,"StepStone Group, Y Combinator, General Catalyst, Accel, Thrive Capital",8,51,,,,,,,,,,,,,,Private,,,,,,,,,,,9
Moniepoint,https://www.crunchbase.com/organization/moniepoint,Active,,"Banking, Credit, Finance, Financial Services, FinTech, Payments","London, England, United Kingdom","Moniepoint is a financial technology company that offers payments, banking, and a platform tailored for businesses and their customers.",194,"Europe, Middle East, and Africa (EMEA)",SE1 9PD,$100M to $500M,2015-06-01,month,,,,,For Profit,https://www.moniepoint.com,https://twitter.com/moniepoint,https://www.facebook.com/Moniepointng,https://www.linkedin.com/company/moniepoint-inc,"Moniepoint is a financial technology company that renders payments, credit, business management, and banking services for businesses. The platform also provides mobile banking solutions, allowing businesses to create their accounts and accept online payments.","Financial Services, Lending and Investments, Payments",2,1001-5000,"Felix Ike, Tosin Eniolorunda",9,,2025-01-23,,,,Corporate Round,,,,Corporate Round,228058694,USD,228058694,233058694,USD,233058694,"QED Investors, Lightrock, Endeavor Catalyst, Bossa Invest, Capria Ventures",6,17,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
InfoSum,https://www.crunchbase.com/organization/cognitive-logic,Active,,"Advertising, Big Data, Information Technology, Privacy, Security","Basingstoke, Hampshire, United Kingdom",InfoSum provides a decentralized platform designed to remove the trust barriers between progress and privacy.,"1,046","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-01-01,year,2025-04-03,day,,,For Profit,https://www.infosum.com ,https://twitter.com/infosum,https://www.facebook.com/infosumhq/timeline,https://www.linkedin.com/company/infosumhq,"InfoSum has developed a decentralized platform designed to remove the trust barriers between progress and privacy. Its platform enables advertisers, media owners, data providers, and other advertising technology firms to collaborate across multiple data sources, without requiring the underlying data to be moved or pooled.  The company was founded in 2016 and is headquartered in Basingstoke, Hampshire.","Advertising, Data and Analytics, Information Technology, Privacy and Security, Sales and Marketing",1,51-100,Nick Halstead,4,M&A,2021-08-17,65000000,USD,65000000,Series B,65000000,USD,65000000,Series B,88100000,USD,88100000,88100000,USD,88100000,"LocalGlobe, Akamai Technologies, Upfront Ventures, Mosaic Ventures, Experian",5,14,,Was Acquired,InfoSum acquired by WPP,https://www.crunchbase.com/acquisition/wpp-acquires-cognitive-logic--05a24fa2,WPP,https://www.crunchbase.com/organization/wpp,2025-04-03,day,,,,Acquisition,,Private,,,,,,,,,,,2
Flo Health,https://www.crunchbase.com/organization/owhealth,Active,,"Apps, Artificial Intelligence (AI), Health Care, Wellness, Women's","London, England, United Kingdom","Flo Health develops a women’s health app that provides access to cycle tracking, health insights, and a private community.","1,237","Europe, Middle East, and Africa (EMEA)",WC1N 3AX,$50M to $100M,2015-01-01,year,,,,,For Profit,https://flo.health,https://twitter.com/flotracker,https://www.facebook.com/pg/flotracker,https://www.linkedin.com/company/flohealth,"Flo Health develops a women’s health app that provides access to cycle tracking, health insights, and a private community.  Flo supports women during their entire reproductive lives and provides curated cycle and ovulation tracking, personalized health insights, expert tips, and a fully closed community for women to share their questions and concerns. Flo prioritizes safety and keeps a sharp focus on being the most trusted digital source for​ ​women's health information. The Flo Health app is available in more than​ 20 languages on iOS and Android. For more information, please visit https://flo.health.","Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Science and Engineering, Software",4,251-500,"Andrew Kovzel, Dmitry Gurski, Max Scrobov, Yuri Gurski",6,Late Stage Venture,2024-07-30,156000000,GBP,200268051,Series C,156000000,GBP,200268051,Series C,275768051,USD,275768051,275768051,USD,275768051,"General Atlantic, Founders Fund, Target Global, Mangrove Capital Partners, Flint Capital",6,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Tide,https://www.crunchbase.com/organization/tide-2,Active,,"Banking, Credit, Financial Services, FinTech, Mobile Apps","London, England, United Kingdom",Tide offers a business financial platform that helps SMEs manage banking needs and administrative tasks such as invoicing and accounting.,"1,255","Europe, Middle East, and Africa (EMEA)",EC2A 2UT,$1M to $10M,2015-01-01,year,,,,,For Profit,https://www.tide.co,https://twitter.com/TideBusiness,https://www.facebook.com/tidebanking,https://www.linkedin.com/company/tide-banking,"Tide’s mission is to help SMEs save time (and money) in the running of their businesses. The Tide platform not only offers business accounts and related banking services, but also a comprehensive set of highly usable administrative solutions, such as full integration with accounting systems. Using advanced technology, all solutions are designed with SMEs in mind. Tide is now the emerging leader in SME challenger banking in the UK. Tide believes that truly serving SMEs well requires relentless focus on their needs. =","Apps, Financial Services, Lending and Investments, Mobile, Software",1,1001-5000,George Bevis,13,Late Stage Venture,2025-05-01,100000000,GBP,133296543,Debt Financing,100000000,USD,100000000,Series C,176736961,USD,176736961,328533504,USD,328533504,"Speedinvest, LocalGlobe, Creandum, Goodwater Capital, Anthemis",10,24,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Midnite,https://www.crunchbase.com/organization/midnite,Active,,"Casino, eSports, Gambling, Gaming","London, England, United Kingdom","Midnite provides a sportsbook and casino platform that offers sports betting, casino games, and eSports wagering.","1,482","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-01-01,year,,,,,For Profit,https://midnite.com,https://twitter.com/midnite,https://www.facebook.com/MidniteEsports,https://www.linkedin.com/company/midnite,"Midnite provides a sportsbook and casino platform that offers sports betting, casino games, and eSports wagering. The platform provides a range of betting options, including football, horse racing, and various esports titles like League of Legends and CS:GO. Users can also access slot games and live dealer casino experiences. Midnite develops its sportsbook and casino platform in-house, aiming to deliver a customer-centric experience.","Gaming, Sports, Travel and Tourism",2,51-100,"Daniel Qu, Nicholas P. Wright",5,Early Stage Venture,2025-04-14,10000000,USD,10000000,Series B,10000000,USD,10000000,Series B,26000000,USD,26000000,26000000,USD,26000000,"Play Ventures, The Raine Group, Makers Fund, Venrex, big_bets",5,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Luminance,https://www.crunchbase.com/organization/luminance,Active,,"Artificial Intelligence (AI), Contact Management, Legal, Legal Tech","Cambridge, Cambridgeshire, United Kingdom","Luminance provides an AI-powered platform for contract generation, negotiation, and post-execution analysis using legal-focused models.","1,505","Europe, Middle East, and Africa (EMEA)",CB2 1GE,Less than $1M,2015-01-01,year,,,,,For Profit,https://www.luminance.com,https://twitter.com/luminancetech,,https://www.linkedin.com/company/luminancetech,"Luminance develops an AI-powered platform for contract generation, negotiation, and post-execution analysis. Its proprietary legal language model is designed to process and understand legal documents with a focus on accuracy and compliance. The platform combines generative and analytical AI to assist businesses in managing contract-related workflows. Luminance is used by organizations across various industries to streamline legal document review and decision-making.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",2,251-500,"Adam Guthrie, Graham Sills",7,Late Stage Venture,2025-02-18,75000000,USD,75000000,Series C,75000000,USD,75000000,Series C,138243524,USD,138243524,138243524,USD,138243524,"National Grid Partners (NGP), Point72 Ventures, Schroders Capital, Talis Capital, March Capital",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,2
Curve,https://www.crunchbase.com/organization/curve,Active,,"Apps, Banking, Financial Services, FinTech, Payments","London, England, United Kingdom",Curve Pay actively works to save you money and enhance every payment you make through its cutting-edge wallet technology.,"3,270","Europe, Middle East, and Africa (EMEA)",W21QY,$10M to $50M,2015-04-02,day,,,,,For Profit,https://www.curve.com,https://twitter.com/imaginecurve,https://www.facebook.com/imaginecurve,https://www.linkedin.com/company/curve-ltd-,"Curve Pay is a pioneering digital wallet that goes beyond simply storing your cards digitally. Unlike other digital wallets, Curve Pay actively works to save you money and enhance every payment you make. Through its cutting-edge wallet technology, Curve Pay eliminates hidden foreign transaction fees, allows you to switch payment cards even after purchase, and lets you earn rewards on top of your existing card benefits. The Curve Wallet sits at the heart of this technology, bringing all your cards into one secure platform while adding unique money-saving features. Whether you're shopping online, in-store, or abroad, Curve Pay gets the most value for your money. Authorised by financial regulators across the UK,EEA, and US, Curve has amassed more than 6M customers globally, and processes billions in payments annually while continuing to innovate in digital finance. Curve Pay elevates the company's position in digital payments as the only mobile wallet that actively saves customers money. Unlike traditional wallets that digitise cards and enable payments through their mobile device (e.g Apple Pay, Google Pay etc), Curve leverages its cutting edge, propriatary, Wallet technolgoy to offer unique benfits to consumers and businesses alike; eliminating hidden fees, reducing borrowing costs and maximizing rewards, positioning the company at the forefront of financial innovation where traditional and digital banking converge. Shachar Bialick established the company in London, England, on April 2, 2015.","Apps, Financial Services, Lending and Investments, Payments, Software",1,101-250,Shachar Bialick,11,Late Stage Venture,2025-03-14,37000000,GBP,47889125,Series D,37000000,GBP,47889125,Series D,301716571,USD,301716571,301716571,USD,301716571,"Speedinvest, BREEGA, Santander, Cathay Innovation, OneMain Financial",8,40,,,,,,,,,,,,,,Private,,,,,,,,,,,7
Cognism,https://www.crunchbase.com/organization/cognism,Active,,"Analytics, Artificial Intelligence (AI), Lead Generation, Lead Management, Machine Learning, Marketing Automation, SaaS, Sales Automation, Software","London, England, United Kingdom",Cognism is a B2B sales acceleration software company that provides a marketing and sales acceleration solution.,"4,889","Europe, Middle East, and Africa (EMEA)",SE1 9SG,$10M to $50M,2015-01-16,day,,,,,For Profit,https://cognism.com,https://twitter.com/Cognism,https://www.facebook.com/cognism,https://www.linkedin.com/company/cognism,"Cognism is an end-to-end sales-acceleration solution that provides sales organizations with a more efficient way to prospect. Delivered as a software service (SaaS),  with its unique data asset and compliance engine, Cognism is helping to enrich CRM records, stream leads into the funnel and is using artificial intelligence to surface opportunities and identify customer trends. The company is a pure AI sales technology company that generates prospect data at scale, cleaning and enriching it, helping sales teams to grow and scale across all levels of the sales process.   Cognism using patented AI technology, to provide B2B sales teams with a blend of real-time company, people and event data to streamline prospecting, find and deliver new revenue. It integrates seamlessly with all major CRM and Email Service systems. They use it to manage their database and provide high-quality, real-time B2B data to their clients. Cognism was founded in 2015 and is headquartered in London, England, UK, with offices in USA, Macedonia and Croatia.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",2,501-1000,"James Isilay, Stjepan Buljat",8,Late Stage Venture,2022-01-13,64000000,GBP,87766815,Series C,64000000,GBP,87766815,Series C,126655294,USD,126655294,126655294,USD,126655294,"SFC Capital, PeakSpan Capital, Verve Ventures, AVP, Blue Cloud Ventures",6,20,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,12
Fresha,https://www.crunchbase.com/organization/fresha,Active,,"Beauty, Health Care, Marketplace, SaaS, Wellness","London, England, United Kingdom",Fresha is a consumer marketplace and a business management platform for beauty and wellness space.,"4,936","Europe, Middle East, and Africa (EMEA)",WC2H 9JQ,,2015-01-01,year,,,,,For Profit,https://www.fresha.com,https://twitter.com/heyfresha,https://www.facebook.com/TeamFresha,https://www.linkedin.com/company/heyfresha,"Fresha is an innovative online booking and management platform designed for beauty, wellness, and fitness businesses. They offer services for streamlined appointment scheduling, client management, and payment processing. They provides discover, book and pay for beauty and wellness appointments with local businesses via its marketplace, while beauty and wellness businesses and professionals use an platform.","Commerce and Shopping, Consumer Goods, Health Care, Software",2,251-500,"Nick Miller, William Zeqiri",8,Late Stage Venture,2024-08-21,26000000,GBP,34040904,Debt Financing,152500000,USD,152500000,Series C,180000000,USD,180000000,219040904,USD,219040904,"General Atlantic, FJ Labs, Target Global, Partech, BECO Capital",5,16,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
