Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Exotec,https://www.crunchbase.com/organization/exotec,Active,,"Logistics, Robotics, Software, Supply Chain Management","Lille, Nord-Pas-de-Calais, France","Exotec offers an innovative order preparation system, based on a fleet of collaborative mobile robots.",998,"European Union (EU), Europe, Middle East, and Africa (EMEA)",59170,$100M to $500M,2015-01-01,year,,,,,For Profit,https://www.exotec.com/,https://twitter.com/exotec,https://www.facebook.com/pages/Exotec-Solutions/264898154280102,https://www.linkedin.com/company/exotec-solutions/,"Exotec is the designer and manufacturer of the Goods to Person SKYPOD solution which enables order preparation in retail logistics in any sector of activity. The SKYPOD is a robotic order picking system but can also be used as a buffer solution for prepared orders and can be installed in cool or ambient environments. Upstream and downstream of SKYPOD, we customize according to the level of automation sought, according to the logistics characteristics and distribution channels of our customers. Our customers seek performance and flexibility in our solution: All our solutions are dimensioned as accurately as possible for the flow and stock required We can support the growth of the activity without interrupting production by simply adding robots, stations or racks","Hardware, Science and Engineering, Software, Transportation",2,1001-5000,"Renaud Heitz, Romain Moulin",5,Late Stage Venture,2022-01-17,292980000,EUR,334295974,Series D,292980000,EUR,334295974,Series D,447248206,USD,447248206,447248206,USD,447248206,"Bpifrance, 360 Capital, BREEGA, IRIS, Goldman Sachs Asset Management",5,7,,,,,,,,,,,,,,Private,,,,,,,,,,,5
Armis,https://www.crunchbase.com/organization/armis,Active,,"Artificial Intelligence (AI), Information Services, Information Technology, Retail, SaaS, Software","Paris, Ile-de-France, France",Armis enables physical retailers to communicate locally through an AI-based SaaS platform.,"2,252","European Union (EU), Europe, Middle East, and Africa (EMEA)",75008,$1M to $10M,2015-01-01,year,,,,,For Profit,http://www.armis.tech/,https://twitter.com/armis_tech,https://www.facebook.com/Armis.Tech/,https://www.linkedin.com/company/armis-tech/,"Armis enables physical retailers to communicate locally through an AI-based SaaS platform that generates “Multilocal Advertising”, which is optimized for each store. This platform allows physical shops to grow in-store traffic using digital media, and therefore compete efficiently with the likes of Amazon while leveraging their most powerful assets : brands and brick-and-mortar stores. Armis was founded in 2016 through the mix of expertise in Adtech and Retail from David Baranes, ex VP Market Development at AppNexus, the world’s leading independent advertising technology company, and Dan Gomplewicz, ex Director of Strategy & Innovation at E.Leclerc, France’s largest retailer.","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Science and Engineering, Software",2,51-100,"Dan Gomplewicz, David Baranes",2,Early Stage Venture,2018-03-06,6000000,EUR,7449492,Series A,6000000,EUR,7449492,Series A,7000000,EUR,8512314,7000000,EUR,8512314,"IRIS, Elaia, Brian O'Kelley, Michael Rubenstein, Frederic Halley",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Sekoia.io,https://www.crunchbase.com/organization/sekoia-2,Active,,"Cyber Security, SaaS, Software","Paris, Ile-de-France, France",Sekoia.io is an intelligence driven SOC platform that enables security analysts to detect & respond threats in real time,"2,865","European Union (EU), Europe, Middle East, and Africa (EMEA)",75010,$1M to $10M,2008-01-27,day,,,,,For Profit,https://www.sekoia.io,https://www.twitter.com/sekoia_io,,https://www.linkedin.com/company/sekoia,"Sekoia.io is building the next generation of tools for SecOps teams. The Sekoia.io SOC platform empowers security teams to automatically identify and respond to incidents that matter across their entire attack surface.  With natively integrated intelligence, real time detection and automation readiness at scale, we help teams overcome volume, complexity and false positives.  Sekoia.io mitigates real threats faster and more reliably than SIEMs, ultimately improving customers' security posture. #CTI #SOC #XDR #SIEM","Information Technology, Privacy and Security, Software",1,101-250,Freddy Milesi,3,Early Stage Venture,2025-04-09,26000000,EUR,28457816,Series B,26000000,EUR,28457816,Series B,71000000,EUR,77868331,71000000,EUR,77868331,"Bpifrance, Revaia, Omnes Capital, Seventure Partners, Alliance Entreprendre",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Shippeo,https://www.crunchbase.com/organization/shippeo,Active,,"B2B, Freight Service, SaaS, Shipping, Supply Chain Management","Paris, Ile-de-France, France",Shippeo is an IT services company that expertise in real time multimodal transportation visibility to help shippers and logistics services.,"3,042","European Union (EU), Europe, Middle East, and Africa (EMEA)",75018,$10M to $50M,2014-01-01,year,,,,,For Profit,http://www.shippeo.com,https://twitter.com/ShippeoFRA,https://www.facebook.com/shippeo,https://www.linkedin.com/company/shippeo,"Shippeo helps Supply Chains leverage transportation to deliver exceptional customer service. Its real-time transport visibility platform provides shippers, carriers, and 4PLs instant tracking of every delivery, and enables proactive communication with end customers. Founded in 2014, Shippeo tracks more than 40000 deliveries per month throughout Europe for market-leading companies such as Leroy Merlin, Saint-Gobain, and Faurecia, and connects to more than 600 carriers.","Other, Software, Transportation",8,101-250,"Brice Hua, David Barre, Frederic Jouenne, Jean-Bastien Dussart, Jerome Burtin, Lucien Besse, Pierre Khoury, Thibaut Morlot",9,,2025-01-15,29000000,EUR,29851607,Venture - Series Unknown,29000000,EUR,29851607,Venture - Series Unknown,137764097,USD,137764097,137764097,USD,137764097,"Bpifrance, NGP Capital, Partech, ETF Partners, Shift4Good",8,18,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Ledger,https://www.crunchbase.com/organization/ledger-2,Active,,"Cryptocurrency, Cyber Security, Infrastructure, SaaS","Paris, Ile-de-France, France",Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.,"3,541","European Union (EU), Europe, Middle East, and Africa (EMEA)",75002,$10M to $50M,2014-01-01,year,,,,,For Profit,https://www.ledger.com,https://x.com/Ledger,https://www.facebook.com/Ledger,https://www.linkedin.com/company/ledgerhq,"Ledger develops security and infrastructure solutions for cryptocurrencies as well as blockchain applications for individuals and companies, by leveraging a distinctive, proprietary technology. Launched in 2014, Ledger has designed an acclaimed line of hardware security devices quickly placing the company as a leader in the market with 1,000,000 units sold in more than 165 countries. For enterprises and corporations, Ledger introduced the Vault: a fully managed SaaS solution addressing the need to safeguard a very large amount of multiple cryptocurrencies while mitigating both IT and physical assault threats. The company is also active in the industrial IoT market, leveraging its secure hardware technology to interface sensors and machines to smart contracts or blockchain-based assets. Ledger is headquartered in Paris, has a production facility in Vierzon (France), and offices in San Francisco.","Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Privacy and Security, Software",5,501-1000,"David Balland, Eric Larchevêque, Joel Pobeda, Nicolas Bacca, Thomas France",9,Late Stage Venture,2023-06-01,,,,Secondary Market,100000000,EUR,109044476,Series C,575422012,USD,575422012,577004332,USD,577004332,"Bpifrance, Draper Associates, Fabric Ventures, XAnge, FirstMark",5,63,,,,,,,,,,,,,,Private,,,,,,,,,,,15
Astraveus,https://www.crunchbase.com/organization/astraveus,Active,,"Bioinformatics, Biotechnology, Life Science","Paris, Ile-de-France, France",Astraveus is developing the next generation of cell and gene therapy (CGT) manufacturing solutions.,"4,012","European Union (EU), Europe, Middle East, and Africa (EMEA)",75010,$10M to $50M,2016-07-07,day,,,,,For Profit,http://www.astraveus.com,https://twitter.com/astraveus,,https://www.linkedin.com/company/astraveus,"Astraveus is revolutionizing the field of CGT manufacturing with the Lakhesys™ platform, an end-to-end, cell foundry, that uses deep process optimization and single-use, microfluidic bioprocessors to deliver better results with reduced inputs.   By removing the need for large-scale infrastructure, reducing costs, and overcoming the logistical challenges typically associated with CGT manufacturing, Astraveus is seeking to transform patient access to these life-changing therapies.","Biotechnology, Data and Analytics, Science and Engineering",1,11-50,Jeremie Laurent,4,Seed,2024-12-19,7100000,EUR,7358832,Debt Financing,16500000,EUR,18079953,Seed,16500000,EUR,18079953,35972000,EUR,38699454,"Bpifrance, AdBio partners, Johnson & Johnson Innovation – JJDC, M Ventures, EASME",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Akeneo,https://www.crunchbase.com/organization/akeneo,Active,,"E-Commerce, Information Services, Product Management, Software","Nantes, Pays de la Loire, France",Akeneo is a global leader in Product Experience Management (PXM) solutions.,"4,255","European Union (EU), Europe, Middle East, and Africa (EMEA)",44100,$1M to $10M,2012-09-20,day,,,,,For Profit,http://www.akeneo.com,http://twitter.com/akeneopim,http://www.facebook.com/akeneopim,http://www.linkedin.com/company/akeneo,"Akeneo is a global leader in Product Experience Management (PXM) solutions that help merchants and brands deliver consistent and enriched customer experiences across all sales channels, including eCommerce, mobile, print, and retail points of sale. Akeneo’s product information management (PIM) and product data intelligence solutions dramatically improve product data quality and accuracy while simplifying and accelerating product catalog management.","Commerce and Shopping, Information Technology, Other, Software",4,251-500,"Benoit Jacquemont, Frederic de Gombert, Nicolas Dupont, Yoav Kutner",6,Late Stage Venture,2022-03-15,135000000,USD,135000000,Series D,135000000,USD,135000000,Series D,196432787,USD,196432787,196432787,USD,196432787,"Salesforce Ventures, Summit Partners, Alven, Partech, Kima Ventures",3,7,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
mirSense,https://www.crunchbase.com/organization/mirsense,Active,,"Chemical, Manufacturing, Semiconductor","Palaiseau, Ile-de-France, France",mirSense is a developer and manufacturer of a new generation of ultra-compact gas sensors designed to offer lasers for the medium infrared.,"4,411","European Union (EU), Europe, Middle East, and Africa (EMEA)",91120,$1M to $10M,2015-01-01,year,,,,,For Profit,http://mirsense.com/,https://twitter.com/mirSense,,https://www.linkedin.com/company/mirsense/,"mirSense technology is a developer and manufacturer of a new generation of ultra-compact gas sensors designed to offer lasers for the medium infrared. The company's Industrial Quantum Cascade Laser (QCL) and QCL-based spectrometer modules provide very low detection levels for the control of gas emissions, detection of dangerous substances or the analysis of biological samples, enabling industries and defense sectors to get affordable quantum cascade lasers.","Hardware, Manufacturing, Science and Engineering",2,11-50,"Mathieu Carras, Mickael Brun",2,Early Stage Venture,2025-04-23,7000000,EUR,7926443,Series A,7000000,EUR,7926443,Series A,9000000,EUR,10406525,9000000,EUR,10406525,"XAnge, Supernova Invest, Polytechnique Ventures, Safran Corporate Ventures, Crédit Agricole Alpes Development",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Doctolib,https://www.crunchbase.com/organization/doctolib,Active,,"Health Care, Medical, Mobile Apps, Professional Services","Paris, Ile-de-France, France",Doctolib is an online and mobile booking platform that helps users find doctors and make appointments.,"4,419","European Union (EU), Europe, Middle East, and Africa (EMEA)",75008,$500M to $1B,2013-01-01,year,,,,,For Profit,http://www.doctolib.fr,http://twitter.com/doctolib,http://www.facebook.com/doctolib,http://www.linkedin.com/company/doctolib,"Doctolib is an online healthcare booking platform and management software provider. For doctors, Doctolib offers a full-range service to improve bookings management, reduce no-show, and bring new patients to their office. For patients, Doctolib is a free online service to find a nearby health practitioner and book doctors or dental appointments 24/7 within a few clicks. Founded in 2013, Doctolib is based in Paris, France.","Apps, Health Care, Mobile, Other, Software",6,1001-5000,"Franck Tetzlaff, Ivan Schneider, Jessy Bernal, Stanislas Niox-Chateau, Steve Abou Rjeily, Thomas Landais",9,Late Stage Venture,2022-03-15,500000000,EUR,548374891,Series F,500000000,EUR,548374891,Series F,815029943,USD,815029943,815029943,USD,815029943,"General Atlantic, Bpifrance, Accel, Eurazeo, AGORANOV",6,13,6,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,2
Yubo,https://www.crunchbase.com/organization/yubo,Active,,"Apps, Mobile, Social Network, Software, Teenagers","Paris, Ile-de-France, France","Yubo, the social platform where Generation Z creates communities of friends around the world","4,703","European Union (EU), Europe, Middle East, and Africa (EMEA)",75010,Less than $1M,2015-10-01,month,,,,,For Profit,http://www.yubo.live/,https://twitter.com/yubo_app,https://www.facebook.com/yuboapp/,https://www.linkedin.com/company/yubo-app/,"Yubo, the social platform where Generation Z creates communities of friends around the world. Yubo lets users create live video discussion spaces where both streamers and viewers interact through a live chat. Relying on cutting-edge technology and tools specifically designed to protect the app users, Yubo provides a secure discussion platform built to widen their circle of friends. The social network favors sociability, sharing, and authenticity rather than the approval mechanisms and influencers systems of traditional social networks.","Apps, Community and Lifestyle, Internet Services, Mobile, Software",3,101-250,"Arthur Patora, Jérémie Aouate, Sacha Lazimi",5,Late Stage Venture,2020-11-17,47500000,USD,47500000,Series C,47500000,USD,47500000,Series C,65700000,USD,65700000,65700000,USD,65700000,"Village Global, Alven, IRIS, Idinvest Partners, Revaia",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
