Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
ARX Robotics,https://www.crunchbase.com/organization/arx-49c3,Active,,"Autonomous Vehicles, Drones, Manufacturing, Robotics","München, Bayern, Germany",ARX Robotics is a defense startup that develops autonomous unmanned ground systems for military and civilian applications.,349,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-01-01,year,,,,,For Profit,https://www.arx-robotics.com,,,https://www.linkedin.com/company/arx-landsysteme,"ARX Robotics is a defense startup that develops autonomous unmanned ground systems for both military and civilian applications. ARX Robotics is committed to enhancing European defense autonomy by providing modular, AI-native systems that can be rapidly deployed and adapted to various operational needs. Their dual-use technology is designed to support both military operations and civilian disaster response efforts, aligning with Europe's strategic goals for sovereignty and resilience.​","Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering, Software, Transportation",3,51-100,"Henrich Maximilian Wied, Marc A Wietfeld, Stefan Roebel",3,Early Stage Venture,2025-04-28,31000000,EUR,35173393,Series A,31000000,EUR,35173393,Series A,41150000,EUR,46088868,41150000,EUR,46088868,"Omnes Capital, HV Capital, Project A Ventures, NATO Innovation Fund, Christian Reber",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Flagright,https://www.crunchbase.com/organization/flagright,Active,,"Compliance, Financial Services, FinTech, Fraud Detection, Information Technology","Berlin, Berlin, Germany",Flagright delivers real-time fraud detection and anti-money laundering solutions through its API-first platform.,870,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2021-11-01,month,,,,,For Profit,https://flagright.com,https://twitter.com/FlagrightHQ,,https://www.linkedin.com/company/flagright,"Flagright delivers real-time fraud detection and anti-money laundering solutions through its API-first platform. It helps financial institutions and fintech companies automate transaction monitoring, detect suspicious activities, and comply with regulations. The platform is designed to enhance risk management and streamline compliance workflows.","Financial Services, Information Technology, Payments, Privacy and Security, Professional Services",2,51-100,"Baran Özkan, Madhu G Nadig",2,Seed,2025-03-27,3300000,GBP,4273930,Seed,3300000,GBP,4273930,Seed,7073930,USD,7073930,7073930,USD,7073930,"André Silva, Y Combinator, Pioneer Fund, Moonfire Ventures, Four Cities Capital",2,18,,,,,,,,,,,,,,Private,,,,,,,,,,,
1Komma5°,https://www.crunchbase.com/organization/1komma5,Active,,"Manufacturing, Renewable Energy, Semiconductor","Hamburg, Hamburg, Germany",1Komma5° is an electricity company offering free electricity to all electric vehicle owners financed through trading using GHG quotas.,"1,387","European Union (EU), Europe, Middle East, and Africa (EMEA)",20148,$500M to $1B,2021-01-01,year,,,,,For Profit,https://www.1komma5grad.com,https://x.com/1KOMMA5GRAD,https://www.facebook.com/1KOMMA5GRAD,https://www.linkedin.com/company/1komma5grad,"1KOMMA5 ° offers all owners of electric vehicles free electricity, which they refinance through trading with so-called GHG quotas. 1KOMMA5 ° encourages a self-determined and CO2-neutral lifestyle. It combines craftsmanship and high technology to always deliver the cheapest and cleanest energy whether photovoltaics, energy storage, heat pumps, or electric car charging stations.","Energy, Hardware, Manufacturing, Science and Engineering, Sustainability",5,1001-5000,"Jannik Schall, Micha Grueber, Michael Hinderer, Philip Liesenfeld, Philipp Schröder",8,,2024-12-20,150000000,EUR,156472484,Venture - Series Unknown,150000000,EUR,156472484,Venture - Series Unknown,600000000,EUR,646923860,652500000,EUR,704057762,"Deutsche Bank, BNP Paribas, Norrsken VC, 2150, G2 Venture Partners",10,19,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
ATMOS Space Cargo,https://www.crunchbase.com/organization/atmos-space-cargo,Active,,"Aerospace, Manufacturing, Space Travel","Baden-baden, Baden-Wurttemberg, Germany","ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments to entire rocket stages.","1,871","European Union (EU), Europe, Middle East, and Africa (EMEA)",77836,,2021-01-01,year,,,,,For Profit,https://atmos-space-cargo.com,https://twitter.com/AtmosSpaceCargo,,https://www.linkedin.com/company/atmos-space-cargo,"ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments, and commercial products to entire rocket stages.","Manufacturing, Science and Engineering, Transportation",4,11-50,"Christian Grimm, Jeffrey Hendrikse, Marta Oliveira, Sebastian Klaus",5,,2025-04-17,1000000,EUR,1137241,Venture - Series Unknown,1000000,EUR,1137241,Venture - Series Unknown,19400000,EUR,20666683,19400000,EUR,20666683,"High-Tech Gruenderfonds, OTB Ventures, European Innovation Council, Seraphim Space, MBG Baden Wuerttemberg",8,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
Circus Group,https://www.crunchbase.com/organization/circuskitchens,Active,,"Artificial Intelligence (AI), Manufacturing, Robotics","Hamburg, Hamburg, Germany",Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,"2,244","European Union (EU), Europe, Middle East, and Africa (EMEA)",20457,,2021-07-01,month,2023-12-22,day,,,For Profit,https://www.circus-group.com/,,,https://www.linkedin.com/company/circuskitchens/,"Disrupting food-service operations with the use of AI robotics and proprietary software solutions. Circus was established in 2021 in Hamburg, Germany.","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",3,51-100,"Carsten Wille, Helge Plehn, Nikolas Bullwinkel",4,IPO,2023-11-29,9000000,EUR,9876522,Venture - Series Unknown,9000000,EUR,9876522,Venture - Series Unknown,26900000,EUR,28967988,26900000,EUR,28967988,"BlackMars Capital, Verena Pausder, Lea-Sophie Cramer, 2bX, WestTech Ventures",2,6,1,Made Acquisitions,,,,,,,,,,,,Public,2023-12-22,,,,,,,CA1,https://www.crunchbase.com/ipo/circuskitchens-ipo--134266f7,MUN - Börse München,
Black Forest Labs,https://www.crunchbase.com/organization/black-forest-labs-01de,Active,,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Software","Freiburg Im Breisgau, Baden-Wurttemberg, Germany","Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.","2,567","European Union (EU), Europe, Middle East, and Africa (EMEA)",79098,,2024-01-01,year,,,,,For Profit,https://blackforestlabs.ai,https://x.com/bfl_ml,,https://www.linkedin.com/company/bflml,"Black Forest Labs creates advanced generative deep learning models for images and videos. They focus on making these technologies widely accessible and transparent, ensuring that their innovations are easy to use and understand. This approach aims to democratize access to cutting-edge technology and foster greater trust and utility.","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,11-50,,1,Seed,2024-08-01,28000000,EUR,30202193,Seed,28000000,EUR,30202193,Seed,28000000,EUR,30202193,28000000,EUR,30202193,"General Catalyst, Andreessen Horowitz, Mätch VC, Garry Tan, Michael Ovitz",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Claro,https://www.crunchbase.com/organization/claro-12d5,Active,,"Artificial Intelligence (AI), Software","Berlin, Berlin, Germany",Let your catalog data work for you.,"2,642","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-01-01,month,,,,,For Profit,https://getclaro.ai,,,https://www.linkedin.com/company/claro-ai,"Transform fragmented, incomplete catalog data into precise, actionable insights with tailor-made Language Models and agents that enrich and extract at scale. Right out of the box. Claro adds automation and trust to every data point going in and every prediction coming out, unifying the best of both worlds: Task-Specific Agents & conventional Machine Learning. Transform fragmented, incomplete catalog data into precise, actionable insights with tailor-made Language Models and agents that enrich and extract at scale. Right out of the box. Claro adds automation and trust to every data point going in and every prediction coming out, unifying the best of both worlds: Task-Specific Agents & conventional Machine Learning.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,1-10,"Matteo Fava, Tameesh Biswas, Till Westermann",2,Seed,2025-02-14,650000,EUR,680046,Pre-Seed,650000,EUR,680046,Pre-Seed,750000,EUR,788502,750000,EUR,788502,"Plug and Play, Antler, Founders Factory, D11Z.Ventures, Fastweb",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ivy,https://www.crunchbase.com/organization/ivy-63bd,Active,,"FinTech, Payments","Munich, Bayern, Germany",Global API for Instant Bank Payments,"2,688","European Union (EU), Europe, Middle East, and Africa (EMEA)",80335,$1M to $10M,2021-01-01,year,,,,,For Profit,https://www.getivy.io,,,https://www.linkedin.com/company/getivy,"Ivy is a global API provider for instant bank payments, enabling businesses to accept direct bank transactions and eliminate the need for cards and digital wallets in online transactions.","Financial Services, Payments",1,11-50,Ferdinand Dabitz,5,,2025-01-28,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,Venture - Series Unknown,59400000,USD,59400000,59400000,USD,59400000,"Creandum, 10x Founders, Valar Ventures, Angel Invest, Leblon Capital",2,18,,,,,,,,,,,,,,Private,,,,,,,,,,,
Proxima Fusion,https://www.crunchbase.com/organization/proxima-fusion,Active,,"Energy, Power Grid","Munich, Bayern, Germany",Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,"2,751","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2023-01-01,year,,,,,For Profit,https://www.proximafusion.com/,,,,Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,Energy,4,11-50,"Francesco Sciortino, Jorrit Lion, Lucio Milanese, Martin Kubie",7,Seed,2024-10-12,6500000,EUR,7113022,Grant,15000000,EUR,16347348,Seed,42500000,EUR,46119922,51500000,EUR,55957502,"High-Tech Gruenderfonds, Plural Platform, redalpine, Bayern Kapital, UVC Partners",6,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
telli,https://www.crunchbase.com/organization/telli-4d5b,Active,,"Artificial Intelligence (AI), B2B, SaaS","Berlin, Berlin, Germany","Telli builds AI voice agents to automate pre-sales outreach for B2C companies, converting leads into sales opportunities.","2,821","European Union (EU), Europe, Middle East, and Africa (EMEA)",10435,,2024-01-01,year,,,,,For Profit,https://telli.com/en/,https://x.com/tellidotcom,,https://www.linkedin.com/company/tellitechnologies/,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",3,11-50,"Finn zur Mühlen, Philipp Baumanns, Seb Hapte-Selassie",1,Seed,2025-04-15,3600000,USD,3600000,Pre-Seed,3600000,USD,3600000,Pre-Seed,3600000,USD,3600000,3600000,USD,3600000,"Nina Kani, Andreas Durth, Louis Frach, Sebastien Goddijn, Matthias Knoche",2,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,Active,,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning","Munich, Bayern, Germany",bitsCrunch is an AI enhanced decentralised Blockchain Analytics and Forensics protocol,"2,988","European Union (EU), Europe, Middle East, and Africa (EMEA)",80993,$1M to $10M,2021-02-01,day,,,,,For Profit,https://bitscrunch.com,https://twitter.com/bitsCrunch,https://facebook.com/bitscrunch,https://www.linkedin.com/company/bitscrunch,"AI-enhanced decentralized data networks deliver unmatched analytics and forensics for NFTs, wallets, and other digital assets on the public blockchain.","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",3,11-50,"Gopi Kannappan, Saravanan Jaichandaran, Vijay Pravin Maharajan",4,Early Stage Venture,2024-01-23,2400000,USD,2400000,Series A,2400000,USD,2400000,Series A,10600000,USD,10600000,10600000,USD,10600000,"Gate.io, Chainlink, Coinbase Ventures, Borderless Capital, CoinList",6,31,,,,,,,,,,,,,,Private,,,,,,,,,,,1
ai|coustics,https://www.crunchbase.com/organization/ai-coustics,Active,,"Artificial Intelligence (AI), Audio, Broadcasting","Berlin, Berlin, Germany",ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,"3,398","European Union (EU), Europe, Middle East, and Africa (EMEA)",10178,,2021-09-14,day,,,,,For Profit,https://ai-coustics.com,,,https://www.linkedin.com/company/ai-coustics,"Berlin-based startup ai|coustics combats poor speech quality and intelligibility in audio communication and content creation with machine learning algorithms for everyone, across every device.","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video",3,11-50,"Corvin Jaedicke, Fabian Seipel, Tim Janke",3,Seed,2025-03-25,5000000,EUR,5396450,Seed,5000000,EUR,5396450,Seed,6895000,EUR,7440077,6895000,EUR,7440077,"Inovia Capital, Acurio Ventures, Partech, FOV Ventures, Connect Ventures",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
Unosecur,https://www.crunchbase.com/organization/unosecur,Active,,"B2B, Cloud Security, Enterprise Software, Software","Berlin, Berlin, Germany",Cloud Identity Threat Detection and Response Platform,"3,916","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-02-18,day,,,,,For Profit,https://unosecur.com/,,,https://www.linkedin.com/company/unosecur,"Unosecur is an AI-powered identity security platform that protects cloud infrastructures and SaaS platforms from identity-related threats in real time. Unosecur offers granular visibility, continuous activity monitoring, threat detection, and automated remediation for both human and non-human identities, addressing the rapidly growing Identity Threat Detection and Response (ITDR) security market.","Information Technology, Other, Privacy and Security, Software",2,1-10,"Santhosh Jayaprakash, Wesam Iwas",2,Seed,2025-04-09,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,"VentureFriends, DFF Ventures, Leo Capital, APX, HEARTFELT",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
