Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Lindus Health,https://www.crunchbase.com/organization/lindus-health,Active,,"Biotechnology, Clinical Trials, Health Care, Medical","London, England, United Kingdom",Lindus Health is an anti-contract research organization that conducts end-to-end clinical trials for the life sciences sectors.,960,"Europe, Middle East, and Africa (EMEA)",SE1 0NW,$1M to $10M,2021-01-01,year,,,,,For Profit,https://www.lindushealth.com,https://twitter.com/lindushealth,https://www.facebook.com/LindusHealth,https://www.linkedin.com/company/lindushealth,"Lindus Health is a clinical research organization running clinical trials. Their services include ethics, IRB submission, trial monitoring, data management, biostatistics, regulatory, and payor affairs. They also provide EDC, database, site, and feasibility products. ChatGPT said: Lindus Health accelerates the clinical trial process by combining end-to-end trial management with its in-house team of clinicians and researchers. It leverages a proprietary software platform—referred to as ""Curebase OS""—that automates many aspects of the clinical trial workflow, streamlining operations and reducing manual inefficiencies. Additionally, the company taps into real-world patient data to enable more precise participant recruitment and smarter trial design, ultimately making the entire process faster and more cost-effective.","Biotechnology, Health Care, Science and Engineering",3,101-250,"Meriwether Beckwith, Michael Young, Nik Haldimann",6,Early Stage Venture,2025-04-03,,,,Grant,55000000,USD,55000000,Series B,79000000,USD,79000000,79546902,USD,79546902,"Creandum, Firstminute Capital, Presight Capital, Seedcamp, Balderton Capital",6,22,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Neuranics,https://www.crunchbase.com/organization/neuranics,Active,,"Health Care, Nanotechnology, Sensor","Glasgow, Glasgow City, United Kingdom","Neuranics is a deep-tech startup that creates game-changing sensing solutions for healthcare, gaming, and metaverse applications.","2,957","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2021-01-01,year,,,,,For Profit,http://neuranics.com/,,,https://www.linkedin.com/company,"Neuranics is a company that creates magnetic sensors that are integrated with semiconductor technology for use in health, fitness, and metaverse applications. Neuranics' proprietary technology detects tiny magnetic impulses from organs of the body using scalable spintronics sensors powered by semiconductors. According to the business, the technology could solve the current inadequacies of health monitoring equipment and human-machine interfaces.","Hardware, Health Care, Science and Engineering",,11-50,,3,Seed,2025-04-09,8000000,USD,8000000,Seed,8000000,USD,8000000,Seed,10305699,USD,10305699,11350998,USD,11350998,"Par Equity, Archangels, Scottish Enterprise, University of Glasgow, Creator Fund",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Shop Circle,https://www.crunchbase.com/organization/shop-circle,Active,,"E-Commerce, Enterprise Software, Software","London, England, United Kingdom",Shop Circle is a technology company that acquires and grows e-commerce software.,"3,289","Europe, Middle East, and Africa (EMEA)",,,2021-04-15,day,,,,,For Profit,https://shopcircle.co,https://twitter.com/shopcircleco,https://www.facebook.com/shopcircleco,https://www.linkedin.com/company/shop-circle/,"Shop Circle is a software company that develops tools for Shopify-based businesses. Its platform provides solutions for customer engagement, operational efficiency, and conversion optimization. The company focuses on supporting independent brands within the Shopify ecosystem.","Commerce and Shopping, Software",2,251-500,"Gian Maria Gramondi, Luca Cartechini",7,Early Stage Venture,2025-02-25,60000000,USD,60000000,Series B,60000000,USD,60000000,Series B,245000000,USD,245000000,245000000,USD,245000000,"CDP Venture Capital, QED Investors, Endeavor Catalyst, 3VC, 645 Ventures",8,18,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
AMPLY Discovery,https://www.crunchbase.com/organization/amply-discovery,Active,,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Belfast, Belfast, United Kingdom",AMPLY uses machine learning and synthetic biology to mine vast biological data to discover novel drug and nutraceutical candidates.,"4,337","Europe, Middle East, and Africa (EMEA)",BT7,,2021-02-01,month,,,,,For Profit,https://amplydiscovery.com/,,,https://www.linkedin.com/company/amply-discovery/,"AMPLY deploys machine learning and synthetic biology to mine vast biological data to discover novel drug and nutraceutical candidates. Using a proprietary in silico and in vitro platform we discover first-in-class molecules. AMPLY is helping tackle some of humankind's greatest challenges such as cancer, metabolic diseases, and MDR infections.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,1-10,,5,Seed,2025-05-01,1750000,USD,1750000,Seed,1750000,USD,1750000,Seed,2763114,USD,2763114,5228537,USD,5228537,"British Business Bank, Techstars, Innovate UK, Twin Path Ventures, venture / science",4,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
SurrealDB,https://www.crunchbase.com/organization/surrealdb,Active,,"Big Data, Cloud Computing, Database, Developer Platform, Developer Tools, Enterprise Software, Open Source","London, England, United Kingdom",SurrealDB is the ultimate multi-model database for tomorrow's applications,"4,857","Europe, Middle East, and Africa (EMEA)",W1D 2LG,$1M to $10M,2021-09-01,month,,,,,For Profit,https://surrealdb.com,https://twitter.com/surrealdb,,https://www.linkedin.com/company/surrealdb/,"SurrealDB is an innovative, multi-model, cloud-ready database, suitable for modern and traditional applications. Its versatility, and focus on developer experience, along with the ability for deployment on cloud, on-premise, embedded, and in edge computing environments, allows developers and organizations to meet the needs of their applications, without needing to worry about scalability or keeping data consistent across multiple different database platforms.","Data and Analytics, Internet Services, Software",2,11-50,"Jaime Morgan Hitchcock, Tobie Morgan Hitchcock",2,Early Stage Venture,2024-06-17,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,26000000,USD,26000000,26000000,USD,26000000,"Alumni Ventures, FirstMark, Georgian, Crew Capital",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
XOXO Soda,https://www.crunchbase.com/organization/xoxo-soda,Active,,"Food and Beverage, Nutrition, Wellness","London, England, United Kingdom",XOXO Soda is a beverage company that produces plant-based drinks formulated with prebiotic fiber.,"4,886","Europe, Middle East, and Africa (EMEA)",,,2021-01-01,year,,,,,For Profit,https://drinkxoxo.com,,https://www.facebook.com/profile.php?id=100086674125025,https://www.linkedin.com/company/xoxo-soda,"XOXO Soda is a beverage company that produces plant-based drinks formulated with prebiotic fiber. The beverages are low in both sugar and calories, offering a healthier alternative within the soft drink category. It specializes in functional sodas that combine bold, fruity flavors with health-conscious ingredients. Each 330ml can contains 6 grams of prebiotic fiber, is low in sugar and calories, and is entirely plant-based, aligning with the brand's mission to offer a soda that not only tastes great but also supports gut health.","Food and Beverage, Health Care",2,1-10,"Nick Janssen, Rory Paterson",3,,2025-04-11,4000000,GBP,5232801,Venture - Series Unknown,4000000,GBP,5232801,Venture - Series Unknown,9500000,GBP,12189099,9500000,GBP,12189099,"Lever VC, Green Generation Fund, JamJar Investments, Slingshot Ventures, Döhler Ventures",4,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
watchTowr,https://www.crunchbase.com/organization/watchtowr,Active,,"Cyber Security, Network Security, Penetration Testing, SaaS, Software","London, England, United Kingdom",watchTowr is redefining External Attack Surface Management with its Continuous Automated Red Teaming platform.,"5,328","Europe, Middle East, and Africa (EMEA)",,,2021-01-01,year,,,,,For Profit,https://watchtowr.com,https://twitter.com/watchtowrcyber,,https://www.linkedin.com/company/watchtowr,"watchTowr is redefining External Attack Surface Management with its Continuous Automated Red Teaming platform, built by offensive security experts and backed by real-world vulnerability research.    Critical infrastructure and Fortune 500 companies globally trust watchTowr to continuously validate and strengthen their security postures. If there’s a way to compromise an organization, the watchTowr Platform will find it.","Information Technology, Privacy and Security, Software",1,11-50,Benjamin Harris,3,Early Stage Venture,2024-10-07,19000000,USD,19000000,Series A,19000000,USD,19000000,Series A,29250000,USD,29250000,29250000,USD,29250000,"Peak XV Partners, Prosus Ventures, Wavemaker Partners, Cercano Management, Vulcan Capital",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Kita,https://www.crunchbase.com/organization/kita,Active,,"CleanTech, Finance, GreenTech, Insurance","London, England, United Kingdom",Kita is an insurance company that offers carbon insurance products and services that cover risks impacting carbon market stakeholders.,"5,546","Europe, Middle East, and Africa (EMEA)",EC3M 7DQ,,2021-12-05,day,,,,,For Profit,https://www.kita.earth,,,https://www.linkedin.com/company/kitaearth,"Bridging the insurance and carbon markets, Kita offers a bespoke portfolio of carbon insurance products that act as a stamp of confidence and safeguard against loss. Carbon insurance helps to de-risk engagement in the carbon markets. We protect clients against loss of carbon credits due to risks such as natural catastrophes; fraud and negligence; insolvency and abandonment; political risks; and changing carbon standards. Insurance claims can be paid in cash or in replacement carbon credits, providing flexibility for clients' individual risk appetites and carbon strategies. With reduced risk in the carbon transaction, high quality carbon solutions are able to access greater flows of consistent capital to scale their impact faster, while buyers and investors gain confidence that they are protected against unexpected loss. We cover the future so that you can act now.","Financial Services, Sustainability",3,11-50,"Natalia Dorfman, Paul Young, Thomas Merriman",2,Seed,2023-02-22,4000000,GBP,4818906,Seed,4000000,GBP,4818906,Seed,4350000,GBP,5256136,4350000,GBP,5256136,"Octopus Ventures, Insurtech Gateway, Carbon13, Hartree Partners, Climate VC",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
OSSTEC,https://www.crunchbase.com/organization/osstec,Active,,"3D Printing, 3D Technology, Medical","London, England, United Kingdom",The next step forward in orthopaedics,"5,664","Europe, Middle East, and Africa (EMEA)",,,2021-07-08,day,,,,,For Profit,http://Osstec.uk,,,https://www.linkedin.com/company/osstec,"OSSTEC is bringing advanced technology to the operating room with metal 3D printed bone healing implants. The orthopaedic implants emulate natural bone structure and address high failure rates of existing implants, keeping patients who suffer with osteoarthritis healthy, active and enjoying life.","Hardware, Health Care, Manufacturing, Software",3,1-10,"Alex Liddle, Jonathan Jeffers, Maxwell Munford",2,Seed,2025-04-08,2500000,GBP,3194227,Seed,2500000,GBP,3194227,Seed,3700000,GBP,4680601,3700000,GBP,4680601,"SFC Capital, Parkwalk Advisors, Empirical Ventures, Embryo Ventures, Imperial Enterprise Lab",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Visible,https://www.crunchbase.com/organization/visible-bf4a,Active,,"Health Care, Wellness","London, England, United Kingdom",Measuring and managing complex chronic illlness with wearable technology,"6,009","Europe, Middle East, and Africa (EMEA)",,,2021-01-01,year,,,,,For Profit,https://www.makevisible.com/,https://twitter.com/visible_health,,https://www.linkedin.com/company/visiblehealth,Wearable technology to measure and manage complex chronic illlness,Health Care,1,11-50,Harry Leeming,1,Seed,2022-11-21,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,1000000,USD,1000000,"Octopus Ventures, Hustle Fund, Calm/Storm Ventures, Mandeep Singh",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
