Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
TeamSystem,https://www.crunchbase.com/organization/teamsystem,,1,,"Pesaro, Marche, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","TeamSystem develops and distributes management software solutions for professionals, businesses, legal practices, and artisans.",1,,1,Active,2013-01-01,year,http://www.teamsystem.com,https://www.linkedin.com/company/teamsystem/,"Accounting, Computer, Information Technology, IT Management, Legal, Software","Consumer Electronics, Financial Services, Hardware, Information Technology, Professional Services, Software",2,"Francesco Madella, Gjergji Robo",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Private,"2,042"
Juice,https://www.crunchbase.com/organization/velocity-juice,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Juice provides funding solutions to support e-commerce entrepreneurs facing challenges.,1,,1,Active,2021-01-01,year,https://getmejuice.com,https://www.linkedin.com/company/getmejuice,"B2B, E-Commerce, Finance, Financial Services","Commerce and Shopping, Financial Services, Other",,,11-50,,,,Private,"2,335"
PFR Ventures,https://www.crunchbase.com/organization/pfr-ventures,Fund Of Funds,1,,"Warsaw, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)","PFR Ventures creates funds dedicated to innovative SMEs at different stages of development, starting from the earliest phases.",1,,,Active,2014-01-01,year,https://www.pfrventures.pl/en/,https://www.linkedin.com/company/pfr-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Maciej Cwikiewicz,51-100,Seed,,,Private,"2,767"
Enchanted Tools,https://www.crunchbase.com/organization/enchanted-tools,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Enchanted Tools is an AI robot development company.,1,,,Active,2021-07-01,day,https://www.enchanted.tools/,https://www.linkedin.com/company/enchantedtools,"Artificial Intelligence (AI), Robotics, Software","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",1,Jerome Monceaux,101-250,,For Profit,,Private,"2,820"
Carbery Group,https://www.crunchbase.com/organization/carbery-group,,1,,"Cork, Cork, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Carbery is a global manufacturer of specialty and nutritional dairy ingredients as well as flavours and cheeses. ,1,,,Active,1965-01-01,year,https://carbery.com/,https://www.linkedin.com/company/carbery-group/,"Consumer, Food and Beverage, Manufacturing","Food and Beverage, Manufacturing, Other",,,1001-5000,,For Profit,,Private,"5,919"
Vortx,https://www.crunchbase.com/organization/vortx-02ee,,1,,"São Paulo, Sao Paulo, Brazil",Latin America,Vortx provided Innovation and transparency in fiduciary services,1,,,Active,2015-01-01,year,https://www.vortx.com.br,https://www.linkedin.com/company/v%C3%B3rtx-distribuidora-de-t%C3%ADtulos-e-valores-mobili%C3%A1rios-ltda-/,"Financial Services, FinTech",Financial Services,1,Juliano Cornacchia,251-500,,For Profit,Made Acquisitions,Private,"6,291"
Foodles,https://www.crunchbase.com/organization/foodles,,1,,"Clichy, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Foodles is a re-invented canteen for SMEs that offers autonomous internal restoration solutions.,1,,,Active,2014-01-01,year,http://www.foodles.co,https://www.linkedin.com/company/foodles-paris/,"Catering, Food and Beverage, Retail Technology, Small and Medium Businesses, Wellness","Commerce and Shopping, Food and Beverage, Hardware, Health Care, Other, Software",3,"Clement Bonhomme, Michael Ormancey, Paul Tsnobiladze",11-50,,For Profit,,Private,"6,844"
ProcessOut,https://www.crunchbase.com/organization/processout,,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",ProcessOut offers a smart router that facilitates international payment solutions and services.,1,,,Active,2015-01-01,year,https://www.processout.com/,,"Finance, Financial Services, Payments, Software","Financial Services, Payments, Software",4,"Cyril Chemla, Gregoire Delpit, Louis-Paul Dareau, Manuel Huez",51-100,,For Profit,Was Acquired,Private,"9,469"
Bankin',https://www.crunchbase.com/organization/bankin,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bankin 'is application for manage your money.,1,,,Active,2011-01-01,year,https://bankin.com/,https://www.linkedin.com/company/bankin/,"Apps, Banking, Financial Services, FinTech","Apps, Financial Services, Lending and Investments, Software",4,"David Sabbatini, Emmanuel Costa, Joan Burkovic, Robin Dauzon",11-50,,For Profit,,Private,"9,677"
Outfit7,https://www.crunchbase.com/organization/outfit7,,1,,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Outfit7 develops mobile apps and games for the iOS and Android platforms.,1,,,Active,2009-10-01,day,http://www.outfit7.com,https://www.linkedin.com/company/outfit7-ltd-,"Android, Apps, Gaming, iOS, Mobile, Mobile Apps, Video Games","Apps, Gaming, Mobile, Platforms, Software",2,"Iza Sia Login, Samo Login",251-500,,For Profit,Was Acquired,Private,"10,271"
