Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Human Ventures,https://www.crunchbase.com/organization/human-ventures-capital,"Angel Group, Venture Capital",100,9,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Human Ventures is an investment fund based in New York that provides support to founders in the early stages of their businesses.,66,,6,Active,2015-01-01,year,http://human.vc,https://www.linkedin.com/company/human-ventures-capital,"Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Heather Hartnett, Joe Marchese",11-50,"Early Stage Venture, Seed",,,Private,586
Acurio Ventures,https://www.crunchbase.com/organization/acurio-ventures,Venture Capital,100,8,"Bilbao, Pais Vasco, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Acurio Ventures partners with visionary founders to make history happen.,73,,17,Active,2017-01-01,year,http://www.acurio.vc,https://www.linkedin.com/company/acurio-ventures/?viewAsMember=true,"B2B, B2C, E-Commerce, Financial Services, FinTech, Internet, Marketplace, Venture Capital","Commerce and Shopping, Financial Services, Internet Services, Lending and Investments, Other",1,Ander Michelena,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,299"
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,"Accelerator, Venture Capital",100,10,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Pi Labs is the VC backing the innovators who are transforming our relationship with the built world.,81,,39,Active,2015-01-01,year,http://www.pilabs.vc,https://www.linkedin.com/company/pi-labs-ltd-,"Finance, Innovation Management, Venture Capital","Financial Services, Lending and Investments, Professional Services",3,"Dominic Wilson, Faisal Butt, Mary Criebardis",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"1,587"
Practica Capital,https://www.crunchbase.com/organization/practica-capital,Venture Capital,100,4,"Vilnius, Vilniaus Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Practica Capital is a dedicated Baltic VC focusing on investments in the Baltic and Baltic-origin ventures in Europe.,71,,70,Active,2011-01-01,year,https://www.practica.vc/,http://www.linkedin.com/company/practica-capital,"Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",4,"Anatolijus Faktorovicius, Donatas Keras, Petras Miciunas, Silvestras Tamutis",1-10,"Early Stage Venture, Seed, Venture",,,Private,"2,108"
Skyland Ventures,https://www.crunchbase.com/organization/skyland-ventures,"Incubator, Venture Capital",100,5,"Tokyo, Tokyo, Japan",Asia-Pacific (APAC),A venture capital (VC) fund is focusing on seed startup investments. With a mission of “The Seed Maker. & Unlearning.”,93,2,26,Active,2012-08-01,day,http://skyland.vc,https://www.linkedin.com/company/skyland-ventures/about/,"Blockchain, FinTech, Venture Capital, Web3","Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Other",2,"Max Kinoshita, Yoshihiko Kinoshita",11-50,"Early Stage Venture, Seed",,,Private,"5,430"
Hypersphere Ventures,https://www.crunchbase.com/organization/hypersphere-ventures,Venture Capital,100,2,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Hypersphere Ventures is a venture capital firm.,83,,16,Active,2019-01-01,year,https://hypersphere.ventures/,https://www.linkedin.com/company/hypersphere-ventures/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Jack Platts, Robert Habermeier",11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private,"14,721"
Supermorpheus,https://www.crunchbase.com/organization/supermorpheus,"Angel Group, Venture Capital",100,1,"Puducherry, Puducherry, India",Asia-Pacific (APAC),Supermorpheus is an investment firm that supports & provides funds to evolutionary startups.,95,,4,Active,2021-01-01,year,https://www.supermorpheus.com/,https://www.linkedin.com/company/supermorpheus/,"Angel Investment, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"17,556"
AA Sons,https://www.crunchbase.com/organization/aa-sons,"Family Investment Office, Venture Capital",100,11,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Alain Afflelou and Sons's Family Office,87,1,2,Active,2016-01-01,year,http://aasons.io/,https://www.linkedin.com/company/aa-and-sons,"Education, Health Care, Medical, Retail, Service Industry, Software","Commerce and Shopping, Education, Health Care, Other, Software",1,Romain Afflelou,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"57,109"
One Way Ventures,https://www.crunchbase.com/organization/one-way-ventures,Venture Capital,99,9,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",One Way Ventures is a seed-stage fund that invests in immigrant tech founders.,76,1,15,Active,2017-11-01,day,https://onewayvc.com,https://www.linkedin.com/company/one-way-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Eveline Butchaskiy, Semyon Dukach",1-10,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,028"
Shrug Capital,https://www.crunchbase.com/organization/shrug-capital,Venture Capital,99,12,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Shrug Capital is a Venture capital firm that invests in consumer-based startups.,92,,2,Active,2018-01-01,year,https://shrug.vc,https://www.linkedin.com/company/shrug-capital,"Consumer, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Other",2,"Moshe Lifschitz, Niv Dror",1-10,"Early Stage Venture, Seed",,,Private,"1,644"
24 Haymarket,https://www.crunchbase.com/organization/24-haymarket,"Private Equity Firm, Venture Capital",99,11,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",24 Haymarket is an investment network of highly experienced investors and senior operators.,60,,39,Active,2012-01-01,year,http://24haymarket.com/,https://www.linkedin.com/company/24haymarket,"Commercial, Financial Services, Venture Capital","Financial Services, Lending and Investments, Other",1,Charlie Green,11-50,"Crowdfunding, Early Stage Venture, Private Equity, Seed, Venture",For Profit,,Private,"5,880"
Garage Capital,https://www.crunchbase.com/organization/garage-capital,Venture Capital,99,5,"Ontario, California, United States","Greater Los Angeles Area, Inland Empire, West Coast",Garage Capital is an early-stage venture capital firm focused on Canadian companies.,74,,10,Active,2013-01-01,year,https://www.garage.vc,https://www.linkedin.com/company/garage-capital,"Crowdfunding, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Michael Litt, Mike McCauley",1-10,Early Stage Venture,,,Private,"10,926"
Crane Venture Partners,https://www.crunchbase.com/organization/crane-venture-partners,Venture Capital,98,5,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",VC firm investing into seed and early stage intelligent enterprise and deep tech companies in Europe.,59,,47,Active,2015-08-30,day,https://www.crane.vc/,https://www.linkedin.com/company/crane-venture-partners,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",2,"Krishna Visvanathan, Scott Sage",1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,459
P101,https://www.crunchbase.com/organization/programma-101,Venture Capital,98,16,"Milan, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",P101 is a venture capital firm that focuses on early-stage investments in the digital sector.,56,,63,Active,2013-12-19,day,https://www.p101.it/en/,http://www.linkedin.com/company/2962722,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Andrea Di Camillo,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,303"
Mana Ventures,https://www.crunchbase.com/organization/mana-ventures,Venture Capital,98,4,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Mana Ventures invests in early-stage companies disrupting traditional industries and building the future of frontier technologies.,91,,1,Active,2016-01-01,year,https://www.manaventures.vc/,https://www.linkedin.com/company-beta/18140743/,Venture Capital,"Financial Services, Lending and Investments",1,Morgan Schwanke,1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"3,190"
Scribble Ventures,https://www.crunchbase.com/organization/scribble-ventures,Venture Capital,98,7,"Portola Valley, California, United States","San Francisco Bay Area, West Coast, Western US",Scribble Ventures is an early-stage investment fund that focuses on Pre-Seed through Series A.,80,,7,Active,2020-03-01,month,https://www.scribble.vc/,https://www.linkedin.com/company/scribble-ventures,"Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",2,"Annelies Gamble, Elizabeth Weil",1-10,"Early Stage Venture, Seed",,,Private,"4,364"
BP Ventures,https://www.crunchbase.com/organization/bp-ventures,Corporate Venture Capital,98,14,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",BP Ventures is a venture capital firm that identifies and invests in private and high-growth technology companies.,69,1,48,Active,2012-01-01,year,https://www.bp.com/en/global/ventures.html,https://www.linkedin.com/company/bp/,"Energy, Innovation Management, Venture Capital","Energy, Financial Services, Lending and Investments, Professional Services",,,10001+,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"5,968"
