Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Tenable,https://www.crunchbase.com/organization/tenable-network-security,,1,,"Columbia, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",Tenable provides an exposure management platform to identify and mitigate risks.,1,,,Active,2002-09-01,month,http://www.tenable.com,https://www.linkedin.com/company/tenableinc,"Compliance, Network Security, Risk Management, Security","Information Technology, Privacy and Security, Professional Services",3,"Jack Huffard, Renaud Deraison, Ron Gula",1001-5000,,For Profit,Made Acquisitions,Public,"1,540"
Northumbria University,https://www.crunchbase.com/organization/northumbria-university,,1,,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Europe, Middle East, and Africa (EMEA)",Northumbria is a U.K.-based university that educates its students using studying programmes at home and overseas.,1,,,Active,1992-01-01,year,http://www.northumbria.ac.uk/,https://www.linkedin.com/company/northumbria-university,"Education, Higher Education, Universities","Education, Other",1,John Hunter Rutherford,1001-5000,,,,Private,"3,161"
Radix,https://www.crunchbase.com/organization/radix-91c2,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Radix is a stack of decentralized networks that builds without the constant threat of exploits and hacks.,1,,,Active,2016-01-01,year,https://www.radixdlt.com,http://www.linkedin.com/company/radixdlt,"Blockchain, Cryptocurrency, Database, Finance","Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",1,Dan Hughes,51-100,,For Profit,,Private,"4,296"
University of Dundee,https://www.crunchbase.com/organization/university-of-dundee,,1,,"Snodland, Kent, United Kingdom","Europe, Middle East, and Africa (EMEA)",The University of Dundee has been ranked best in the U.K. and top Internationally outside the USA for Biological Sciences.,1,,,Active,1967-01-01,year,http://www.dundee.ac.uk/,https://www.linkedin.com/school/universityofdundee/,"Education, Higher Education, Universities","Education, Other",,,1001-5000,,,,Private,"4,483"
Hepsiburada.com,https://www.crunchbase.com/organization/hepsiburada-com,,1,,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Hepsiburada is an e-commerce store offering various products such as electronics, apparel, stationery, home decor, and groceries.",1,,1,Active,2000-04-12,day,https://www.hepsiburada.com,https://www.linkedin.com/company/150890,"Apparel, Consumer Goods, E-Commerce, Fashion, Sales","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Sales and Marketing",1,Hanzade Doğan Boyner,1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Public,"4,520"
LandVault,https://www.crunchbase.com/organization/advir,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",LandVault is a programmatic monetization platform for in-game advertising.,1,,,Active,2017-01-01,year,https://landvault.io,https://www.linkedin.com/company/thelandvault,"Advertising, Internet, Marketing, Social Media Advertising, Virtual Reality","Advertising, Hardware, Internet Services, Sales and Marketing, Software",3,"Joe Bachle-Morris, Mohammed Alisrawi, Samuel Huber",101-250,,For Profit,"Made Acquisitions, Was Acquired",Private,"4,901"
Adikteev,https://www.crunchbase.com/organization/adikteev,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Adikteev is building the app engagement ecosystem to help game publishers maximizing user LTV,1,,1,Active,2012-11-01,day,http://adikteev.com,https://www.linkedin.com/company/adikteev/,"Ad Retargeting, Advertising Platforms, Analytics, App Marketing, Gaming, Marketing, Mobile, Software","Advertising, Data and Analytics, Gaming, Mobile, Sales and Marketing, Software",3,"Emilien Eychenne, Frederic Leroy, Xavier Mariani",101-250,,For Profit,Made Acquisitions,Private,"5,574"
Aleph Zero,https://www.crunchbase.com/organization/aleph-zero,,1,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",Aleph Zero is a public blockchain platform developed to solve the shortcomings of current infrastructure layers in several industries.,1,,,Active,2018-01-01,year,https://alephzero.org,https://www.linkedin.com/company/alephzero,"Blockchain, Cyber Security, Information Technology, Privacy, Software","Blockchain and Cryptocurrency, Information Technology, Other, Privacy and Security, Software",5,"Adam Gagol, Antoni Zolciak, Birk Hintze Thisted, Matthew Niemerg, Michal Swietek",51-100,,For Profit,,Private,"5,897"
Environmental Defense Fund,https://www.crunchbase.com/organization/environmental-defense-fund,,1,,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Environmental Defense Fund provides solutions for environmental problems.,1,,,Active,1967-10-06,day,http://www.edf.org/,https://www.linkedin.com/company/11198?trk=tyah&trkInfo=idx%3A2-1-4%2CtarId%3A1425895273292%2Ctas%3AEnvironmental+Defense+Fund,"Clean Energy, CleanTech, Environmental Engineering","Energy, Science and Engineering, Sustainability",3,"Art Cooley, Charles Wurster, Dennis Puleston",1001-5000,,Non-profit,,Private,"6,020"
Cool Company,https://www.crunchbase.com/organization/cool-b8ca,,1,,"Oslo, Oslo, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Cool Company is a maritime transportation company that uses clean-burning natural gas.,1,,1,Active,2022-01-01,year,https://www.coolcoltd.com/,https://www.linkedin.com/company/cool-company-limited?originalSubdomain=sg,"Marine Transportation, Transportation",Transportation,,,1001-5000,,For Profit,,Public,"6,643"
Monaverse,https://www.crunchbase.com/organization/mona-gallery-inc,,1,,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US","Monaverse is the premier web3 metaverse world building platform and social network built for creators, by creators.",1,,,Active,2021-06-14,day,http://monaverse.com,https://www.linkedin.com/company/monaverse,"3D Technology, Art, Augmented Reality, Blockchain, Cryptocurrency, Ethereum, Metaverse, Software, Virtual Reality, Web3","Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Media and Entertainment, Other, Payments, Software",2,"Justin Melillo, Matthew Hoerl",11-50,,For Profit,,Private,"6,839"
Argand Partners,https://www.crunchbase.com/organization/argand-partners,Private Equity Firm,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Argand Partners is a private equity firm founded by prior senior investment team members of Castle Harlan Inc.,1,,,Active,2015-08-24,day,http://www.argandequity.com/,https://www.linkedin.com/company/argand-partners,,,2,"Heather L. Faust, Howard D. Morgan",11-50,,,Made Acquisitions,Private,"7,067"
Sportlogiq,https://www.crunchbase.com/organization/sportlogiq,,1,,"Montreal, Quebec, Canada",,Sportlogiq is a venture-backed startup that develops sports statistics solutions.,1,,,Active,2013-01-01,year,http://www.sportlogiq.com/,http://www.linkedin.com/company/sportlogiq,"Analytics, Fantasy Sports, Software, Sports","Data and Analytics, Gaming, Software, Sports",2,"Craig Buntin, Mehrsan Javan",101-250,,For Profit,,Private,"7,681"
Kwil,https://www.crunchbase.com/organization/kwil,,1,,"Austin, Texas, United States",Southern US,"Kwil is a decentralized, community-owned SQL database solution for building advanced dApps and protocols.",1,,,Active,2021-05-01,month,https://kwil.com,https://www.linkedin.com/company/kwilapp,"Software, Web3","Blockchain and Cryptocurrency, Internet Services, Software",3,"Brennan Lamey, Luis Gruson, Luke Lamey",1-10,,For Profit,,Private,"7,886"
RealTyme,https://www.crunchbase.com/organization/realtyme,,1,,"Geneva, Geneve, Switzerland","Europe, Middle East, and Africa (EMEA)","RealTyme is a secure, sovereign and sustainable communication and collaboration platform with privacy and humane technology at its core.",1,,,Active,2020-01-01,year,https://www.realtyme.com,https://www.linkedin.com/company/realtyme,"Collaboration, Cyber Security, Meeting Software, Messaging, Productivity Tools, Sustainability, Telecommunications, Unified Communications","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software, Sustainability",2,"Erkin Bek, Onur Özen, PhD",11-50,,For Profit,Made Acquisitions,Private,"11,599"
Ecochlor,https://www.crunchbase.com/organization/ecochlor,,1,,"Maynard, Massachusetts, United States","Greater Boston Area, East Coast, New England",Ecochlor commercializes recently obtained patents for superior ballast water treatment technologies.,1,,,Active,2001-01-01,year,http://www.ecochlor.com,https://www.linkedin.com/company/ecochlor-inc-,"CleanTech, Manufacturing, Water, Water Purification","Manufacturing, Natural Resources, Sustainability",1,Tom Perlich,51-100,,For Profit,,Private,"12,218"
trive studio,https://www.crunchbase.com/organization/trive-studio,Venture Capital,1,,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",trive is a startup studio building human-centered solutions.,1,,,Active,2021-12-01,month,https://trive.studio,https://www.linkedin.com/company/trive-studio,,,1,Sirlinger Martin,1-10,"Early Stage Venture, Seed",For Profit,,Private,"14,745"
iwallet,https://www.crunchbase.com/organization/iwallet-2dbb,,1,,"Çankaya, Ankara, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",iwallet is a digital reward wallet that offers services to retail points and e-commerce sites.,1,,1,Active,2018-01-01,year,https://www.iwallet.com.tr/,https://www.linkedin.com/company/iwallet-kurumsal,"Apps, E-Commerce, Financial Services, Payments","Apps, Commerce and Shopping, Financial Services, Payments, Software",1,Harun Soylu,11-50,,For Profit,,Private,"14,901"
Travel Compositor,https://www.crunchbase.com/organization/travel-compositor,,1,,"Palma De Mallorca, Islas Baleares, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Travel Compositor offers a SaaS model and a B2B booking engine to travel companies.,1,,,Active,2014-01-01,year,http://www.travelcompositor.com,https://www.linkedin.com/company/travel-compositor-sl,"Information Technology, Leisure, Service Industry, Tourism, Travel","Community and Lifestyle, Information Technology, Other, Travel and Tourism",2,"Manuel Aragonés, Vicente Rossello",11-50,,For Profit,"Made Acquisitions, Was Acquired",Private,"15,150"
