Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
RockawayX,https://www.crunchbase.com/organization/rockaway-blockchain,Venture Capital,39,1,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","RockawayX is a traditional venture capital investor that offers funding and support for crypto funds, companies, and protocols.",37,,8,Active,2018-03-01,month,https://rockawayx.com/,https://www.linkedin.com/company/rockawayx,"Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",2,"Jakub Havrlant, Viktor Fischer",11-50,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,278
noa,https://www.crunchbase.com/organization/a-o-proptech,Venture Capital,39,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","noa is backing tech, that matters across the built world.",26,,13,Active,2019-01-01,month,https://www.noavc.com/,https://www.linkedin.com/company/noavc,"Commercial Real Estate, Construction, Finance, Financial Services, PropTech, Real Estate, Real Estate Investment, Smart Cities, Sustainability, Venture Capital","Financial Services, Lending and Investments, Real Estate, Sustainability",1,Gregory Dewerpe,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"3,666"
Casa Verde Capital,https://www.crunchbase.com/organization/casa-verde-capital,Venture Capital,39,3,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Casa Verde Capital is a venture capital firm specialized in seed investments.,27,1,23,Active,2015-06-12,day,http://www.casaverdecapital.com,https://www.linkedin.com/company/casa-verde-capital,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Calvin Broadus, Evan Eneman",1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"4,018"
bValue Fund,https://www.crunchbase.com/organization/bvalue-angels,"Private Equity Firm, Venture Capital",39,6,"Warszawa, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",bValue Fund is a specialised growth equity investment firm that partners with tech and tech-enabled businesses in CEE.,36,,24,Active,2016-09-01,month,https://bvaluefund.com/,https://www.linkedin.com/company/bvalue.vc/,"Financial Services, Information Technology, Internet, Internet of Things, Marketing, Venture Capital, Web Design, Web Development","Design, Financial Services, Information Technology, Internet Services, Lending and Investments, Sales and Marketing, Software",5,"Dariusz Żuk, Maciej Balsewicz, Marcel Animucki, Mariusz Turski, Rafał Brzoska",1-10,"Late Stage Venture, Private Equity, Secondary Market",,Made Acquisitions,Private,"4,030"
Unovis Asset Management,https://www.crunchbase.com/organization/unovis-asset-management-be7b,Venture Capital,39,5,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Unovis Asset Management partners with investment firms to develop plant-based and cultivate replacements to animal products.,36,,7,Active,2016-01-01,year,https://www.unovis.vc/,https://www.linkedin.com/company/unovisvc/about/,"Food Processing, Impact Investing, Organic Food","Financial Services, Food and Beverage, Lending and Investments",2,"Kevin Boylan, Kim Anders Odhner",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"5,551"
iSeed Ventures,https://www.crunchbase.com/organization/iseed-ventures,Venture Capital,39,9,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",iSeed Ventures is a California-based early-stage investment company focused on the consumer mobile technology and healthcare industries.,34,,5,Active,2014-01-01,year,http://www.iseedvc.com,https://www.linkedin.com/company/iseedventures/,,,,,1-10,"Early Stage Venture, Seed, Venture",,,Private,"20,230"
Nordic Makers,https://www.crunchbase.com/organization/nordic-makers-vc,"Micro VC, Venture Capital",39,4,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",We know how much grit and luck it takes to build big companies. That’s why we invest our time and children’s money in ambitious founders.,30,,9,Active,2016-01-01,year,http://www.nordicmakers.vc/,https://www.linkedin.com/company/10939041,Venture Capital,"Financial Services, Lending and Investments",10,"Alexander Aghassipour, David Helgason, Erik Byrenius, Hampus Jakobsson, Klaus Nyengaard, Lars Nielsen, Martin von Haller Groenbaek, Thomas Madsen-Mygdal, Thorvald Stigsen, Tommy Andersen",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"22,183"
Velo Partners,https://www.crunchbase.com/organization/velo-partners,Venture Capital,39,6,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Velo Partners is a seed and Series A fund that focuses on the gaming and gambling ecosystems,37,,11,Active,2013-01-01,year,http://www.velopartners.co.uk/,https://www.linkedin.com/company/velo-partners/,Venture Capital,"Financial Services, Lending and Investments",1,Evan Hoff,1-10,Early Stage Venture,,Made Acquisitions,Private,"23,062"
HALA Ventures,https://www.crunchbase.com/organization/hala-ventures,"Private Equity Firm, Venture Capital",39,4,"Khobar, Ash Sharqiyah, Saudi Arabia","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Technology VC that empowers GCC’s startups in their early-growth stages.,30,,3,Active,2018-01-01,year,http://www.hala.vc,https://www.linkedin.com/company/halavc/,,,2,"Ali Abussaud, Hussain Almarhoon",11-50,"Early Stage Venture, Private Equity, Seed",,,Private,"23,367"
Arts Alliance,https://www.crunchbase.com/organization/arts-alliance,Venture Capital,39,9,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Arts Alliance is a venture capital organisation supporting a growing network of entrepreneurs.,28,,7,Active,1996-01-01,year,http://www.artsalliance.co.uk,https://www.linkedin.com/company/artsalliance,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Thomas Hoegh,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"26,392"
