Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Shrapnel,https://www.crunchbase.com/organization/uno-techno,,2,,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US","Shrapnel moddable extraction shooter game, built by a unique team of BAFTA & Emmy Award-winning talent, using UE5 & blockchain.",2,,,Active,2014-01-01,year,https://www.shrapnel.com/,https://www.linkedin.com/company/shrapnel-studio/,"Blockchain, Business Development, Gaming, Information Services, Media and Entertainment, Software","Blockchain and Cryptocurrency, Gaming, Information Technology, Media and Entertainment, Other, Professional Services, Software",5,"Calvin Zhou, Edmund Shern, Herbert Taylor, Mark Long, Naomi Lackaff",51-100,,For Profit,,Private,"2,869"
Avaloq,https://www.crunchbase.com/organization/avaloq-2,,2,1,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Avaloq group is an international fintech company that digitizes the automation of financial services industry.,2,,1,Active,1991-01-01,year,https://www.avaloq.com/,https://www.linkedin.com/company-beta/22027/,"Banking, Financial Services, FinTech, Software","Financial Services, Lending and Investments, Software",3,"Francisco Fernandes, Francisco Fernandez, Ronald Strässler",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Private,"3,023"
Superbet,https://www.crunchbase.com/organization/superbet,,2,,"Bucharest, Bucuresti, Romania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Superbet is an online gaming company in Romania.,2,,2,Active,2008-01-01,year,https://www.pgslot.fo/,,"Casino, Gambling, Online Games, Sports","Gaming, Sports, Travel and Tourism",1,Sacha Dragic,1001-5000,,For Profit,,Private,"3,461"
Ecovative Design,https://www.crunchbase.com/organization/ecovative-designs,,2,,"Albany, New York, United States","East Coast, Northeastern US",Ecovative Design is a biomaterials company focused on the development of innovative materials from natural growth processes.,2,,2,Active,2007-01-01,year,https://www.ecovative.com,https://www.linkedin.com/company/ecovative-design,"Advanced Materials, Biotechnology, Innovation Management, Sustainability","Biotechnology, Manufacturing, Professional Services, Science and Engineering, Sustainability",2,"Eben Bayer, Gavin McIntyre",51-100,,For Profit,Made Acquisitions,Private,"4,115"
Next Big Thing,https://www.crunchbase.com/organization/next-big-thing-ag,Venture Capital,2,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Next Big Thing AG (NBT) is the leading venture studio and early-stage investment company in the Machine Economy.,2,,1,Active,2016-07-06,day,http://www.nextbigthing.ag,https://www.linkedin.com/company/15217949,"Artificial Intelligence (AI), Blockchain, Hardware, Information Technology, Innovation Management, Internet of Things, Software","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Professional Services, Science and Engineering, Software",2,"Harald Zapp, Michael Bommer",51-100,"Early Stage Venture, Seed",,,Private,"8,859"
Einstein Industries Ventures,https://www.crunchbase.com/organization/einstein-industries-ventures,Venture Capital,2,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Einstein Industries Ventures bridges financial gap of space startups.,2,,,Active,,,https://www.einstein-iv.space,https://www.linkedin.com/company/einstein-iv,"Financial Services, Funding Platform, Impact Investing","Financial Services, Lending and Investments",,,1-10,"Early Stage Venture, Seed",,,Private,"10,238"
Holvi,https://www.crunchbase.com/organization/holvi,,2,1,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Holvi is digital banking for freelancers and small business owners.,2,,1,Active,2011-01-01,year,http://holvi.com,https://www.linkedin.com/company/holvi,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments",4,"Kristoffer Lawson, Mikko Teerenhovi, Teemu Hukkanen, Tuomas Toivonen",101-250,,For Profit,Was Acquired,Private,"10,424"
The Duni Group,https://www.crunchbase.com/organization/the-duni-group,,2,,"Segeltorp, Skane Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Duni Group provides sustainable dining and food packaging solutions for the restaurant industry.,2,,1,Active,1949-01-01,year,https://dunigroup.com/,https://www.linkedin.com/company/duni-group/,,,,,1001-5000,,For Profit,Made Acquisitions,Private,"10,729"
Kanopee,https://www.crunchbase.com/organization/kanopee,Private Equity Firm,2,,"Lyon, Rhone-Alpes, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Kanopee is a start-up studio in the real estate construction sector that focuses on the creation of Saas and trusted third-party solutions.,2,,1,Active,2022-01-01,year,https://kanopee.fr/,https://www.linkedin.com/company/kanopeestudio/,"Consulting, SaaS, Service Industry","Other, Professional Services, Software",,,1-10,,For Profit,,Private,"11,475"
Founder and Lightning,https://www.crunchbase.com/organization/founderandlightning,,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","We partner with ambitious startup founders and equip them with the team, tools, expertise and scale to build highly successful startups.",2,,,Active,2015-06-01,day,https://www.founderandlightning.com/,https://www.linkedin.com/company/founderandlightning,"Apps, Consulting, Internet, Product Design, Software, Web Development","Apps, Design, Internet Services, Professional Services, Software",1,Matt Jonns,101-250,,For Profit,,Private,"12,245"
