Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Black Opal Ventures,https://www.crunchbase.com/organization/black-opal-ventures,Venture Capital,9,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Black Opal is a venture capital investment firm.,8,,,Active,2021-01-01,year,https://www.blackopalventures.com,https://www.linkedin.com/company/black-opal-ventures,,,2,"Eileen Tanghal, Tara Bishop",1-10,"Early Stage Venture, Seed",,,Private,"1,075"
Alt Capital,https://www.crunchbase.com/organization/alt-capital-6a95,Venture Capital,9,,,,Alt Capital is a early-stage venture capital firm.,9,,4,Active,,,https://www.altcap.com,https://www.linkedin.com/company/alt-capital-vc,Venture Capital,"Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"3,083"
Touring Capital,https://www.crunchbase.com/organization/touring-capital,Venture Capital,9,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Touring Capital is a venture capital investment firm that invests in the business-to-business SaaS sectors.,9,,7,Active,,,https://touringcapital.com,https://www.linkedin.com/company/touring-capital,"Financial Services, Information Technology, SaaS, Venture Capital","Financial Services, Information Technology, Lending and Investments, Software",1,Priya Saiprasad,1-10,"Early Stage Venture, Late Stage Venture",,,Private,"3,340"
Failup Ventures,https://www.crunchbase.com/organization/failup-ventures,Venture Capital,9,1,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Failup Ventures is a Finnish-American venture capital fund based in New York and Helsinki.,8,,4,Active,2023-11-01,month,https://failup.com,https://www.linkedin.com/company/87384991/,,,3,"Jesse Heikkilä, Oscar Andersin, Topias Soininen",1-10,"Early Stage Venture, Seed",,,Private,"3,361"
Equator,https://www.crunchbase.com/organization/equator-cffe,Venture Capital,9,1,"Nairobi, Nairobi Area, Kenya","Europe, Middle East, and Africa (EMEA)",Equator operates as a venture capital firm.,9,,5,Active,,,https://equator.vc/,https://www.linkedin.com/company/equator-africa/about/,,,,,1-10,Early Stage Venture,,,Private,"3,819"
Plural,https://www.crunchbase.com/organization/plural-9df0,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Plural is an early-stage venture fund that seeks to invest in early-stage tech startups.,9,,7,Active,,,https://pluralplatform.com,https://www.linkedin.com/company/plural-platform,"Business Development, Financial Services, Information Technology","Financial Services, Information Technology, Professional Services",4,"Ian Hogarth, Khaled Helioui, Sten Tamkivi, Taavet Hinrikus",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"5,694"
White Hill Capital,https://www.crunchbase.com/organization/white-hill-capital,Venture Capital,9,,"Astana, Astana, Kazakhstan",,We invest in fast-growing technology companies at various stages around the world,9,,3,Active,2021-08-27,day,https://whitehillcapital.org/,https://www.linkedin.com/company/tumar-venture-fund/,"EdTech, FinTech, Industrial Automation","Education, Financial Services, Manufacturing, Science and Engineering, Software",1,Aslan Sultanov,11-50,"Early Stage Venture, Seed",,,Private,"7,802"
PactVC,https://www.crunchbase.com/organization/pactvc,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",PactVC is a venture capital company that prefers to invest in technology targeting sustainability and climate solutions.,9,,4,Active,,,https://www.pactvc.com/,https://www.linkedin.com/company/pact-vc,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"7,872"
ESO Capital Group,https://www.crunchbase.com/organization/eso-capital-group,"Private Equity Firm, Venture Capital",9,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",ESO Capital Group is a European special situations investment management group.,7,,4,Active,2006-01-01,year,https://www.esocapital.com/,https://www.linkedin.com/company/eso-capital,"Finance, Financial Services",Financial Services,1,Alex Schmid,11-50,"Debt, Grant, Private Equity",,Made Acquisitions,Private,"10,744"
Hex Capital,https://www.crunchbase.com/organization/hex-capital,Venture Capital,9,,"Vancouver, British Columbia, Canada",,Hex Capital is an investment firm,8,,1,Active,2017-01-01,year,http://hex.capital/,https://www.linkedin.com/company/hexcap,,,1,Ali Saheli,1-10,Early Stage Venture,,,Private,"11,230"
Sky Ocean Ventures,https://www.crunchbase.com/organization/sky-ocean-ventures,Corporate Venture Capital,9,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",A bold new creation that will support breakthrough thinking and invest in promising new ideas .,7,,3,Active,2007-01-01,year,https://www.skyoceanventures.com,,"Finance, Financial Services, Impact Investing","Financial Services, Lending and Investments",,,,Early Stage Venture,,,Private,"11,606"
Aper Ventures,https://www.crunchbase.com/organization/aper-ventures,"Angel Group, Venture Capital",9,,"Warszawa, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Polish VC fund investing €1-4M in deep tech and hardware solutions in co-investor model,9,,7,Active,2019-01-22,day,http://www.aperventures.com,https://www.linkedin.com/company/aperventures,"Hardware, Internet of Things, Venture Capital","Financial Services, Hardware, Internet Services, Lending and Investments",3,"Bartosz Składzień, Jacek Blonski, Piotr Slawski",1-10,"Early Stage Venture, Seed",,,Private,"12,090"
Sterling Capital Management,https://www.crunchbase.com/organization/sterling-capital-management,Venture Capital,9,4,"Charlotte, North Carolina, United States","East Coast, Southern US",Sterling Capital Management is a New Castle-based company offering investment management services to high net-worth clients.,6,1,1,Active,1970-01-01,year,http://www.sterling-capital.com,https://www.linkedin.com/company/sterlingcapitalmanagement,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Walter Olin Nisbet III,101-250,Late Stage Venture,,"Made Acquisitions, Was Acquired",Private,"12,444"
All Turtles,https://www.crunchbase.com/organization/allturtles,Venture Capital,9,,"Bentonville, Arkansas, United States",Southern US,"All Turtles is an artificial intelligence studio that develops pragmatic brands, products, and user experiences for the workplace.",8,,1,Active,2017-01-01,year,https://www.all-turtles.com,https://www.linkedin.com/company/allturtlesco/,"Artificial Intelligence (AI), Brand Marketing, Infrastructure, Internet, Internet of Things, Machine Learning, Product Design","Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Other, Sales and Marketing, Science and Engineering, Software",3,"Jessica Collier, Jonathan Cifuentes, Phil Libin",11-50,"Convertible Note, Early Stage Venture, Seed, Venture",For Profit,,Private,"17,512"
Pace Ventures,https://www.crunchbase.com/organization/pace-ventures-enigma,Venture Capital,9,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Life Science & DeepTech Fund,8,,3,Active,,,https://www.paceventures.com,https://www.linkedin.com/company/paceventures/,,,,,1-10,"Early Stage Venture, Seed, Venture",,,Private,"19,829"
SciFounders,https://www.crunchbase.com/organization/scifounders,"Micro VC, Venture Capital",9,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Helping science companies get started. We invest in technical startups from idea stage to Series A. We start companies too.,7,,3,Active,2021-01-01,year,https://scifounders.com/,https://www.linkedin.com/company/scifounders/,"Business Development, Finance, Financial Services","Financial Services, Professional Services",3,"Alexander Schubert, Lucas Harrington, Matthew Krisiloff",1-10,"Early Stage Venture, Seed",,,Private,"20,982"
