Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Y Combinator,https://www.crunchbase.com/organization/y-combinator,Accelerator,"7,413",640,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Y Combinator is a startup accelerator that invests in a wide range of startups.,"5,731",25,"2,895",Active,2005-03-01,day,http://www.ycombinator.com,https://www.linkedin.com/school/y-combinator,"Artificial Intelligence (AI), Augmented Reality, Finance, Financial Services, Robotics, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software",5,"Armand Cognetta, Jessica Livingston, Paul Graham, Robert Morris, Trevor Blackwell",51-100,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",For Profit,,Private,19
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,230",545,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,756",15,"3,284",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",7,"Brad Feld, David Brown, David Cohen, Jakub Kulisa, Jared Polis, Mike Romano, Nikita Gupta",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,139
EASME,https://www.crunchbase.com/organization/easme,Government Office,"3,670",284,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",EASME is a European Union agency that supports small and medium-sized enterprises and manages projects in various sectors.,"3,447",62,"1,097",Active,2004-01-01,year,https://eismea.ec.europa.eu,https://www.linkedin.com/company/executive-agency-for-small-and-medium-sized-enterprises-easme,"Government, Innovation Management, Small and Medium Businesses","Government and Military, Other, Professional Services",1,Carlos Moedas,251-500,,,,Private,"13,575"
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Investment Bank, Micro VC, Venture Capital","3,182",406,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"2,441",20,488,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Finance, Financial Services, Funding Platform, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private,487
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,875",81,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,447",8,"1,150",Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private,"1,148"
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,Venture Capital,"2,247",617,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",New Enterprise Associates is a venture capital firm that focuses on investments in technology and healthcare startups.,"1,201",221,796,Active,1977-01-01,day,http://www.nea.com,https://www.linkedin.com/company/new-enterprise-associates,"Consumer, Finance, Financial Services, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments, Other",3,"Chuck Newhall, Frank A. Bonsal, Richard Kramlich",101-250,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture",,Made Acquisitions,Private,103
Accel,https://www.crunchbase.com/organization/accel,Venture Capital,"2,210",401,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,"1,077",70,901,Active,1983-01-01,year,http://www.accel.com,https://www.linkedin.com/company/accel-vc,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Arthur Patterson, Jim Swartz",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private,31
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"Accelerator, Co-Working Space, University Program, Venture Capital","2,206",198,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Plug and Play connects startups with corporations and investors across multiple industries.,"1,804",11,257,Active,2006-01-01,day,https://www.plugandplaytechcenter.com,https://www.linkedin.com/company/plug-and-play-tech-center,"Financial Services, FinTech, Smart Cities, Venture Capital","Financial Services, Lending and Investments, Real Estate",4,"Ali Safavi, Jackie Hernandez, Jojo Flores, Saeed Amidi",501-1000,"Early Stage Venture, Non Equity Assistance, Private Equity, Seed",,,Private,17
Bossa Invest,https://www.crunchbase.com/organization/bossanova-investimentos,Venture Capital,"2,200",238,"São Paulo, Sao Paulo, Brazil",Latin America,Bossa Invest manages investment portfolios and provides asset management services to clients in various sectors.,"1,667",24,58,Active,2011-01-01,year,http://www.bossainvest.com,https://www.linkedin.com/company/bossanova-investimentos,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Joao Kepler Braga, Pierre Schurmann",11-50,"Early Stage Venture, Seed, Venture",,,Private,"1,349"
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,"Angel Group, Hedge Fund, Micro VC, Venture Capital","1,995",184,"Manchester, New Hampshire, United States","East Coast, New England, Northeastern US",Alumni Ventures Group is an venture capital investment firm that manages fund families that invest in a portfolio of companies.,"1,499",23,415,Active,2014-01-01,year,http://www.av.vc,https://www.linkedin.com/company/alumniventures,"Angel Investment, Business Development, Venture Capital","Financial Services, Lending and Investments, Professional Services",3,"Luke Antal, Michael Collins, Michael Madden",101-250,"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,40
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,"Micro VC, Venture Capital","1,821",231,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,"1,745",2,57,Active,2010-01-01,day,http://rightsidecapital.com,https://www.linkedin.com/company/right-side-capital-management,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Dave Lambert, Kevin Dick",1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"1,141"
FJ Labs,https://www.crunchbase.com/organization/fj-labs,"Micro VC, Venture Capital","1,591",117,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,"1,025",17,60,Active,2015-01-01,year,http://www.fjlabs.com,https://www.linkedin.com/company/fj-labs,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Fabrice Grinda, Jose Marin",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,624
Bpifrance,https://www.crunchbase.com/organization/bpifrance,"Government Office, Investment Bank","1,524",184,"Maisons-alfort, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bpifrance provides financial solutions for companies that are booting up the listing on the stock exchange and credit equity.,"1,242",52,403,Active,2012-12-31,day,https://www.bpifrance.com,https://www.linkedin.com/company/bpifrance,"Enterprise Software, Financial Services, FinTech, Internet of Things, Mobile","Financial Services, Internet Services, Mobile, Software",,,1001-5000,"Debt, Early Stage Venture, Grant, Private Equity, Seed",,Made Acquisitions,Private,7
SV Angel,https://www.crunchbase.com/organization/sv-angel,Venture Capital,"1,475",480,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",SVA is a venture fund that supports entrepreneurs in building lasting companies.,"1,171",53,31,Active,1992-01-01,year,http://www.svangel.com,https://www.linkedin.com/company/sv-angel,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"David Lee, Ronald Conway",1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,384
Venture Kick,https://www.crunchbase.com/organization/venturekick,Incubator,"1,375",72,"Schlieren, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","Venture Kick is a private, philanthropic initiative that provides pre-seed funding to entrepreneurs from Swiss universities.",839,4,"1,277",Active,2007-09-01,day,http://www.venturekick.ch,https://www.linkedin.com/company/venture-kick/,,,3,"Beat Schillig, Jordi Montserrat, Pascale Vonmont",11-50,"Convertible Note, Debt, Early Stage Venture, Grant, Non Equity Assistance, Seed",For Profit,,Private,"4,087"
