Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
BDT & MSD Partners,https://www.crunchbase.com/organization/bdt-capital-partners,"Family Investment Office, Private Equity Firm",34,9,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",BDT & MSD Partners is a private equity firm that focuses on investments in family-owned and entrepreneurial businesses.,30,5,18,Active,2009-01-01,year,https://bdtmsd.com/,https://www.linkedin.com/company/bdtmsd-partners,"Advice, Banking, Business Development, Finance, Lending","Financial Services, Lending and Investments, Media and Entertainment, Professional Services",1,Byron Trott,251-500,"Late Stage Venture, Private Equity",,Made Acquisitions,Private,200
Viola FinTech,https://www.crunchbase.com/organization/viola-fintech,Venture Capital,34,3,"Herzliya, Tel Aviv, Israel","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Viola FinTech is a cross-stage venture fund that invests in global fintech companies alongside venture investors.,20,,14,Active,2017-01-01,year,https://www.viola-group.com/fund/violafintech,https://www.linkedin.com/company/violafintech,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",2,"Daniel Tsiddon, Tomer Michaeli",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,907
CMCC Global,https://www.crunchbase.com/organization/cmcc-global,Venture Capital,34,1,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),CMCC Global is a venture capital funds focused solely on blockchain investments.,26,,9,Active,2016-10-04,day,https://www.cmcc.vc/,https://www.linkedin.com/company/cm-crypto-capital/about/,"Blockchain, Cryptocurrency, Finance, Financial Services, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",2,"Charlie Morris, Martin Baumann",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"1,242"
GoHub Ventures,https://www.crunchbase.com/organization/gohub-ventures,Venture Capital,34,,"Valencia, Comunidad Valenciana, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","We are an early-stage venture capital fund investing in founders with highly technological B2B software solutions, from Seed to Series A.",27,,15,Active,2019-01-01,year,https://gohub.vc/,https://www.linkedin.com/company/gohubventures/,"Artificial Intelligence (AI), FinTech, InsurTech, Machine Learning, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,11-50,"Early Stage Venture, Seed, Venture",,,Private,"1,778"
Lunar Ventures,https://www.crunchbase.com/organization/lunar-ventures,Venture Capital,34,1,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Lunar Ventures is a deep-tech, seed-stage venture fund with a team of 3 deep-tech expert partners in Berlin.",24,,12,Active,2017-01-01,year,http://lunarventures.eu/,https://www.linkedin.com/company/lunar-ventures,"Artificial Intelligence (AI), Cloud Computing, Computer Vision, Cyber Security, Finance, Financial Services, Information and Communications Technology (ICT), Machine Learning, Simulation, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Lending and Investments, Privacy and Security, Science and Engineering, Software",3,"Elad Verbin, Luis Shemtov, Mick Halsband",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"2,172"
E.ON,https://www.crunchbase.com/organization/e-on,,34,9,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","E.ON Connecting Energies specialises in integrated energy solutions for industrial, commercial and public-sector customers.",26,1,7,Active,2000-06-16,day,http://www.eon.com,https://www.linkedin.com/company/e-on,"Energy, Oil and Gas, Renewable Energy","Energy, Natural Resources, Sustainability",1,Albert K. Watson,10001+,,For Profit,Made Acquisitions,Public,"2,336"
Planet A Ventures,https://www.crunchbase.com/organization/planet-a-ventures,Venture Capital,34,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Planet A is a greentech venture fund looking to support European solutions for a sustainable future.,24,,16,Active,2020-01-01,year,https://planet-a.com/#contact,https://www.linkedin.com/company/planet-a/,Venture Capital,"Financial Services, Lending and Investments",5,"Christian Schad, Fridtjof Detzner, Lena Thiede, Nick de la Forge, Tobias Seikel",11-50,"Early Stage Venture, Seed, Venture",,,Private,"2,526"
Frenchfounders,https://www.crunchbase.com/organization/frenchfounders,,34,3,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Frenchfounders is the world leader in Business intermediation for the French-speaking business community.,32,,2,Active,2014-01-01,year,http://www.frenchfounders.com,https://www.linkedin.com/company/frenchfounders,Professional Networking,"Community and Lifestyle, Professional Services",2,"Benoit Buridant, Vincent Deruelle",101-250,,For Profit,,Private,"2,812"
Garuda Ventures,https://www.crunchbase.com/organization/garuda-ventures,Venture Capital,34,3,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Garuda Ventures is a B2B focused pre-seed fund, most often leading a founder's initial round of financing as their first true believer.",28,,7,Active,2018-01-01,year,https://garuda.vc,https://www.linkedin.com/company/garuda-ventures/,,,3,"Arpan Punyani, James Richards, Rishi Taparia",1-10,"Early Stage Venture, Seed",,,Private,"2,888"
Citizen Capital,https://www.crunchbase.com/organization/citizen-capital,Micro VC,34,4,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Citizen Capital is a French private equity fund dedicated to using an impact-driven investment approach to deliver both financial.,29,,12,Active,2008-01-01,year,http://www.citizencapital.fr,https://www.linkedin.com/company/citizen-capital,,,1,Laurence Mehaignerie,11-50,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,"3,613"
Motive Ventures,https://www.crunchbase.com/organization/embedded-capital,Venture Capital,34,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Motive Ventures is the early-stage investment arm of Motive Partners,25,,16,Active,2022-01-01,day,https://www.motivepartners.com,https://www.linkedin.com/company/motiveventures/,"Financial Services, FinTech",Financial Services,2,"Michael Hock, Ramin Niroumand",11-50,"Early Stage Venture, Seed",,Was Acquired,Private,"3,736"
Eos Venture Partners,https://www.crunchbase.com/organization/eos-venture-partners,Venture Capital,34,3,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Eos Venture Partners is a Strategic Venture Capital Fund Focused Exclusively on Insurance,24,1,19,Active,2016-08-01,month,http://www.eosventurepartners.com/,https://www.linkedin.com/in/sam-evans-1b429237,"Financial Services, Insurance, InsurTech, Venture Capital","Financial Services, Lending and Investments",3,"Carl Bauer, Jonathan Kalman, Sam Evans",1-10,"Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture",,,Private,"6,065"
Schroder Adveq,https://www.crunchbase.com/organization/schroder-adveq,Private Equity Firm,34,7,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Schroder Adveq is a leading asset manager investing in private equity globally.,21,3,4,Active,1997-01-01,year,https://www.schroderadveq.com,https://www.linkedin.com/company-beta/38395/,,,,,51-100,"Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed",,,Private,"7,052"
PUSH VC,https://www.crunchbase.com/organization/push-ventures,Venture Capital,34,5,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",Early-stage VC. Pre-Seed and Seed stage. We are investing in Health- & Green Tech start-ups with singificant impact and outstanding teams.,26,,6,Active,2017-01-01,month,https://www.push.vc,https://www.linkedin.com/company/17963492/,"Finance, GreenTech, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments, Sustainability",2,"Laurenz Simbruner, Lukas Püspök",1-10,"Early Stage Venture, Seed, Venture",,,Private,"7,270"
