Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Airbus Ventures,https://www.crunchbase.com/organization/airbus-ventures,Venture Capital,100,9,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Airbus Ventures empowers entrepreneurs to shift the future of aerospace.,60,4,28,Active,2015-01-01,year,http://www.airbusventures.vc,https://www.linkedin.com/company/airbus-ventures,"Aerospace, Asset Management, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Science and Engineering",1,Thomas D'Halluin,1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,492
Draper B1,https://www.crunchbase.com/organization/draper-b1,Venture Capital,100,3,"Valencia, Comunidad Valenciana, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Draper B1 is a seed and early-stage venture capital firm that invests in B2B and B2B2C startups.,73,1,28,Active,2010-01-01,year,https://draperb1.vc/,https://www.linkedin.com/company/draperb1,"B2B, B2C, Financial Services, Internet, Mobile, Venture Capital","Financial Services, Internet Services, Lending and Investments, Mobile, Other",3,"Enrique Penichet, Fernando Becerra, Macarena Poletti",1-10,"Early Stage Venture, Seed, Venture",,,Private,744
Shrug Capital,https://www.crunchbase.com/organization/shrug-capital,Venture Capital,100,12,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Shrug Capital is a Venture capital firm that invests in consumer-based startups.,93,,1,Active,2018-01-01,year,https://shrug.vc,https://www.linkedin.com/company/shrug-capital,"Consumer, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Other",2,"Moshe Lifschitz, Niv Dror",1-10,"Early Stage Venture, Seed",,,Private,"2,342"
Almaz Capital,https://www.crunchbase.com/organization/almaz-capital,Venture Capital,100,20,"Portola Valley, California, United States","San Francisco Bay Area, West Coast, Western US",Almaz Capital is an early stage VC firm that invests in startups in the information technology sector.,62,2,49,Active,2008-01-01,year,https://www.almazcapital.com/,https://www.linkedin.com/company/1961578/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Alexander Galitsky, Peter Loukianoff",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"3,890"
TinySeed,https://www.crunchbase.com/organization/tinyseed,Accelerator,100,5,"Minneapolis, Minnesota, United States","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",TinySeed is a remote accelerator designed for early-stage SaaS founders.,98,,35,Active,2018-01-01,year,https://tinyseed.com/,https://www.linkedin.com/company/tinyseed,"Financial Services, Information Technology, Software, Venture Capital","Financial Services, Information Technology, Lending and Investments, Software",2,"Einar Vollset, Rob Walling",1-10,"Early Stage Venture, Seed",,,Private,"4,195"
Northern Powerhouse Investment Fund,https://www.crunchbase.com/organization/northern-powerhouse-investment-fund,Private Equity Firm,100,9,"Sheffield, Sheffield, United Kingdom","Europe, Middle East, and Africa (EMEA)","NPIF provides commercial finance through three types of product funds: Microfinance, Debt Finance and Equity Finance.",96,,52,Active,2014-01-01,year,http://www.npif.co.uk/,https://www.linkedin.com/showcase/northern-powerhouse-investment-fund-npif-/,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments",,,1001-5000,"Debt, Early Stage Venture, Private Equity, Seed, Venture",,,Private,"7,209"
Alliance DAO,https://www.crunchbase.com/organization/defi-alliance,Accelerator,100,5,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Alliance is the leading Web3 accelerator and founder community.,97,,17,Active,2020-01-01,year,https://alliance.xyz,https://www.linkedin.com/company/alliancedao/,"Finance, Information Services, Service Industry, Software, Venture Capital, Web3","Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Lending and Investments, Other, Software",3,"Imran Khan, Jacob Franek, Qiao Wang",11-50,"Early Stage Venture, Late Stage Venture",For Profit,,Private,"12,502"
Bradley Horowitz,https://www.crunchbase.com/person/bradley-horowitz,"Individual/Angel, Investment Partner",100,18,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Bradley Horowitz is an Advisor and Vice President of Product Management at Google. Most recently he helped create Area 120, Google's incubat...",95,5,1,,,,http://www.google.com,http://www.linkedin.com/in/bradleyhorowitz,,,,,,Seed,,,,"16,529"
Supermorpheus,https://www.crunchbase.com/organization/supermorpheus,"Angel Group, Venture Capital",100,1,"Puducherry, Puducherry, India",Asia-Pacific (APAC),Supermorpheus is an investment firm that supports & provides funds to evolutionary startups.,95,,4,Active,2021-01-01,year,https://www.supermorpheus.com/,https://www.linkedin.com/company/supermorpheus/,"Angel Investment, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"21,916"
Newable Private Investing,https://www.crunchbase.com/organization/newable-private-investing,"Angel Group, Micro VC",100,11,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Newable Ventures is a private investment group that connects early-stage investors with high-growth scale-up companies.,79,,24,Active,1982-01-01,year,https://newable.co.uk/ventures,https://www.linkedin.com/company/london-business-angels/,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",,,1-10,"Early Stage Venture, Seed, Venture",For Profit,Was Acquired,Private,"25,174"
