Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Superbet,https://www.crunchbase.com/organization/superbet,,2,,"Bucharest, Bucuresti, Romania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Superbet is an online gaming company in Romania.,2,,2,Active,2008-01-01,year,https://www.pgslot.fo/,,"Casino, Gambling, Online Games, Sports","Gaming, Sports, Travel and Tourism",1,Sacha Dragic,1001-5000,,For Profit,,Private,"3,461"
13o3,https://www.crunchbase.com/organization/13o3,"Family Investment Office, Fund Of Funds, Hedge Fund, Private Equity Firm, Venture Capital",2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","13o3 is the epitome of perfection and exclusivity, providing tailored solutions to the most complex and sophisticated business challenges.",2,,1,Active,2013-12-13,day,https://13o3.com,https://www.linkedin.com/company/13o3/,"Banking, Business Intelligence, Financial Exchanges, Funding Platform, Hedge Funds, Management Consulting, Private Social Networking, Real Estate Investment, Stock Exchanges, Trading Platform","Community and Lifestyle, Data and Analytics, Financial Services, Lending and Investments, Professional Services, Real Estate",2,"Asfand Yar Saeed, Shan Sheriff",1-10,"Early Stage Venture, Grant, Initial Coin Offering, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",For Profit,,Private,"4,585"
True Green Capital Management,https://www.crunchbase.com/organization/true-green-capital-management,Private Equity Firm,2,1,"Westport, Connecticut, United States","East Coast, New England, Northeastern US",True Green Capital Management is an asset management firm that focuses on solar power generation.,2,1,2,Active,2011-01-01,year,http://www.truegreencapital.com/,https://www.linkedin.com/company/true-green-capital-management-llc/,"Energy, Financial Services","Energy, Financial Services",1,Rajesh Saggi,11-50,Private Equity,,,Private,"5,782"
Loopring,https://www.crunchbase.com/organization/loopring,,2,,"Shanghai, Shanghai, China",Asia-Pacific (APAC),Loopring is an open protocol for building decentralized exchanges.,2,,,Active,2017-08-01,day,https://loopring.org/,https://www.linkedin.com/company/loopring/,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Daniel Wang, Jay Zhou, Johnston Chen",11-50,,Non-profit,Was Acquired,Private,"7,740"
Portfolio Advisors,https://www.crunchbase.com/organization/portfolio-advisors,Private Equity Firm,2,1,"Darien, Connecticut, United States","East Coast, New England, Northeastern US","Portfolio Advisors is an independent, employee-owned firm that provides tailored private equity and real estate investment solutions.",2,1,,Active,1994-01-01,year,http://www.portad.com,https://www.linkedin.com/company/portfolio-advisors,,,,,501-1000,"Debt, Private Equity",For Profit,Was Acquired,Private,"7,845"
Unlimit,https://www.crunchbase.com/organization/Unlimint,Venture Capital,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Unlimit is a global fintech company that offers the largest proprietary payments infrastructure worldwide,2,,,Active,2009-01-01,year,https://www.unlimit.com,https://www.linkedin.com/company/unlimit-com/,"Banking, Cryptocurrency, Debit Cards, Financial Services, FinTech, Payments, Transaction Processing","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",1,Kirill Eves,501-1000,,For Profit,,Private,"8,007"
Arāya Ventures,https://www.crunchbase.com/organization/arāya-ventures,Venture Capital,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Arāya Ventures is a venture capital investment firm that prefers to invest in companies operating in the pre-seed and seed sectors.,2,,,Active,2022-01-01,year,https://araya.ventures/,https://www.linkedin.com/company/arayaventures/,"Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,1-10,,,,Private,"8,453"
Nexi,https://www.crunchbase.com/organization/nexi-ac43,Investment Bank,2,1,"Milan, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","Nexi is the player in Italy in providing card issuing services for credit, debit and pre-paid cards.",2,,,Active,1939-01-01,year,https://www.nexi.it/,https://www.linkedin.com/company/nexipayments/,Financial Services,Financial Services,,,1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Public,"9,063"
Linkem,https://www.crunchbase.com/organization/linkem,,2,,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Linkem is the fastest growing broadband provider,2,,,Active,2001-01-01,year,http://web.linkem.com/,https://www.linkedin.com/company/linkem/,"ISP, Telecommunications, Wired Telecommunications","Hardware, Internet Services, Messaging and Telecommunications",1,Davide Rota,501-1000,,For Profit,Made Acquisitions,Private,"9,840"
Beta-i,https://www.crunchbase.com/organization/beta-i,Venture Capital,2,,"Lisbon, Lisboa, Portugal","European Union (EU), Europe, Middle East, and Africa (EMEA)",Building the Innovation Ecosystem,2,,,Active,2010-06-23,day,http://www.beta-i.com,https://www.linkedin.com/company/1435730,"Angel Investment, Consulting, Education, Events, Innovation Management","Education, Events, Financial Services, Lending and Investments, Media and Entertainment, Professional Services",7,"André Marquet, Manuel Tânger, Pedro Rocha Vieira, Pedro Santos, Ricardo Marvão, Sofia Pessanha, Tiago Pinto",51-100,Seed,,,Private,"10,847"
