Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Automattic,https://www.crunchbase.com/organization/automattic,,23,2,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Automattic is a global tech company that offers WordPress, WooCommerce, and other web solutions.",22,,5,Active,2005-01-01,year,http://automattic.com,http://www.linkedin.com/company/automattic,"Blogging Platforms, Content, E-Commerce, Web Design, Web Development","Commerce and Shopping, Content and Publishing, Design, Media and Entertainment, Software",1,Matt Mullenweg,1001-5000,,For Profit,Made Acquisitions,Private,132
Bybit,https://www.crunchbase.com/organization/bybit,Venture Capital,23,1,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Bybit is a global cryptocurrency derivatives exchange designed for all retail traders, professionals, and investment institutions alike.",23,1,5,Active,2018-01-01,year,https://www.bybit.com,https://www.linkedin.com/company/bybitexchange,"Blockchain, Cryptocurrency, Financial Services, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Ben Zhou, Mohd Fairuz Razi bin Sharuddin, Mohd Fairuz Razi bin Sharuddin",1001-5000,,For Profit,Made Acquisitions,Private,809
University of Strathclyde,https://www.crunchbase.com/organization/university-of-strathclyde,University Program,23,2,"Glasgow, Glasgow City, United Kingdom","Europe, Middle East, and Africa (EMEA)",The University of Strathclyde is a public research university that offers undergraduate and postgraduate programs for various disciplines.,18,,,Active,1796-01-01,year,http://www.strath.ac.uk,https://www.linkedin.com/school/university-of-strathclyde,"Education, Higher Education, Universities","Education, Other",1,John Anderson,1001-5000,,,,Private,936
AnD Ventures,https://www.crunchbase.com/organization/and-ventures,Venture Capital,23,1,"Tel Aviv, Tel Aviv, Israel","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",AnD Ventures is a venture capital firm that invests in early-stage startups in the information technology sector.,19,,5,Active,2020-03-01,day,https://www.and-ventures.com,https://www.linkedin.com/company/and-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"Ariel Cohen, Kfir Kachlon, Lee Moser, Roy Geva Glasberg",11-50,"Early Stage Venture, Seed",,,Private,"1,564"
Thomson Reuters Ventures,https://www.crunchbase.com/organization/thomson-reuters-ventures,Venture Capital,23,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Thomson Reuters Ventures is an early-stage investment arm of Thomson Reuters.,21,,4,Active,2021-01-01,year,https://www.trventures.com/,https://www.linkedin.com/company/trventures/,,,,,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,843"
The London Fund,https://www.crunchbase.com/organization/the-london-fund,"Private Equity Firm, Venture Debt",23,8,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",The London Fund invests in IP-rich high-growth companies that focus on B2C and emerging tech with a focus on transformative technologies.,21,1,9,Active,2003-01-01,year,http://www.thelondonfund.com,https://www.linkedin.com/company/thelondonfund,"Apps, Blockchain, Direct Marketing, Finance, Financial Services, Food and Beverage, Marketing, Retail, Social Media, Social Media Marketing","Apps, Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Food and Beverage, Internet Services, Media and Entertainment, Other, Sales and Marketing, Software",2,"Ashesh Shah, Palle Pedersen",11-50,"Early Stage Venture, Seed",,,Private,"2,338"
Course Corrected,https://www.crunchbase.com/organization/course-corrected,Venture Capital,23,,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Course Corrected is an early-stage venture fund backing climate tech companies with potential to become the leading businesses of tomorrow.,14,,6,Active,2021-01-01,year,https://cc.vc,https://www.linkedin.com/company/course-corrected/,,,3,"Christine Ahlstrand, Katja Bergman, Kerstin Cooley",1-10,"Early Stage Venture, Seed",,,Private,"2,891"
MaRS Discovery District,https://www.crunchbase.com/organization/mars-discovery-district,Venture Capital,23,1,"Toronto, Ontario, Canada",Great Lakes,"MaRS is a non-profit organization that partners with entrepreneurs, researchers, business and government.",22,,13,Active,2000-01-01,year,http://marsdd.com,http://www.linkedin.com/company/mars-discovery-district,"Health Care, Information Technology, Non Profit","Health Care, Information Technology, Other, Social Impact",1,John Evans,251-500,,Non-profit,,Private,"3,442"
Paper Ventures,https://www.crunchbase.com/organization/paper-ventures,Venture Capital,23,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Paper Ventures is a first-in, innovative investment firm, focusing on the ever-changing landscape of emerging technologies.",23,,7,Active,2024-01-01,day,https://paper.ventures/,https://www.linkedin.com/company/paper-vc/,"Artificial Intelligence (AI), Bitcoin, Blockchain, Cryptocurrency, Software, Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Internet Services, Other, Payments, Science and Engineering, Software",3,"Danish Chaudhry, Ivailo Jordanov, Oliver Blakey",11-50,"Early Stage Venture, Seed, Venture",,,Private,"3,561"
Bloc Ventures,https://www.crunchbase.com/organization/bloc-ventures,Venture Capital,23,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Bloc Ventures is an early-stage Deep Tech investment company. Pitch to Bloc here: https://blocventures.com/pitching/,14,,16,Active,2013-01-01,year,https://www.blocventures.com/,https://www.linkedin.com/company/bloc-ventures/,"Cloud Computing, Cyber Security, Financial Services, Information Technology, Intelligent Systems, Network Security, Security, Telecommunications","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",2,"Bruce Beckloff, David Leftley",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"3,955"
