Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Ledger,https://www.crunchbase.com/organization/ledger-2,"Incubator, Micro VC, Private Equity Firm, Venture Debt",5,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.,5,,2,Active,2014-01-01,year,https://www.ledger.com,https://www.linkedin.com/company/ledgerhq,"Cryptocurrency, Cyber Security, Infrastructure, SaaS","Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Privacy and Security, Software",5,"David Balland, Eric Larchevêque, Joel Pobeda, Nicolas Bacca, Thomas France",501-1000,"Debt, Late Stage Venture, Venture",For Profit,,Private,919
Princeton University,https://www.crunchbase.com/organization/princeton-university,University Program,5,,"Princeton, New Jersey, United States","East Coast, Northeastern US",Princeton University is a private Ivy League university that offers a variety of master’s degrees and Ph. D.s.,5,,1,Active,1764-01-01,year,http://www.princeton.edu,https://www.linkedin.com/school/princeton-university,"Alumni, Education, Higher Education, Universities","Education, Other",1,George W. Taylor,5001-10000,,,,Private,"1,103"
Sika,https://www.crunchbase.com/organization/sika-ag,,5,,"Baar, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",Sika manufactures construction materials and offers related services.,4,,3,Active,1910-01-01,year,http://www.sika.com/,https://www.linkedin.com/company/sika,"Building Material, Chemical, Industrial, Manufacturing, Mining, Precious Metals","Manufacturing, Natural Resources, Real Estate, Science and Engineering",1,Kaspar Winkler,10001+,,For Profit,Made Acquisitions,Public,"1,603"
Hospital for Special Surgery,https://www.crunchbase.com/organization/hospital-for-special-surgery,,5,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Hospital for special surgery is the top ranked new york hospital for orthopedics and rheumatology.,3,,2,Active,1863-01-01,year,https://www.hss.edu,https://www.linkedin.com/company/hospital-for-special-surgery,"Health Care, Medical",Health Care,1,Carlos Polit,5001-10000,,For Profit,,Private,"1,617"
Turkcell,https://www.crunchbase.com/organization/turkcell,,5,,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Turkcell is a GSM-based mobile communications company providing a variety of audio and data communication services.,5,,4,Active,1994-02-01,day,http://www.turkcell.com.tr,https://www.linkedin.com/company/4568,Mobile,Mobile,1,Murat Vargi,10001+,,For Profit,Made Acquisitions,Public,"3,083"
Papara,https://www.crunchbase.com/organization/papara,,5,1,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Papara is a financial technology company that strives to create a new experience by offering competitive and user-oriented solutions.,4,,1,Active,2015-01-01,year,https://www.papara.com,https://www.linkedin.com/company/papara,"Debit Cards, Finance, Financial Services, FinTech, Mobile Payments, Payments","Financial Services, Mobile, Payments, Software",2,"Ahmed Faruk Karslı, İlker Diker",501-1000,,For Profit,Made Acquisitions,Private,"3,134"
EasyJet,https://www.crunchbase.com/organization/easyjet-plc,,5,1,"Genoa, Liguria, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",EasyJet plc is a United Kingdom-based short-haul airline. The Company operates in the short-haul European aviation market.,5,,1,Active,1995-01-01,year,https://careers.easyjet.com/,https://www.linkedin.com/company/easyjet/,"Aerospace, Air Transportation, Transportation","Science and Engineering, Transportation",,,10001+,,For Profit,Made Acquisitions,Public,"3,344"
Funding Circle,https://www.crunchbase.com/organization/funding-circle,,5,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Funding Circle is a lending platform for small businesses.,5,,2,Active,2010-01-01,year,http://www.fundingcircle.com,https://www.linkedin.com/company/funding-circle,"Finance, Financial Services, FinTech, Lending",Financial Services,5,"Alex Tonelli, Andrew Mullinger, James Meekings, Sam Hodges, Samir Desai",501-1000,,For Profit,Made Acquisitions,Public,"3,370"
Beacon Capital,https://www.crunchbase.com/organization/beaconcapital,Venture Capital,5,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Investor of choice for post-seed enterprise tech founders,5,,2,Active,2021-07-01,day,http://www.beaconcapital.co.uk,https://www.linkedin.com/company/beaconcapital,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"Andrew Fullerton, Kevin Chong, Maria Dramalioti-Taylor, Mario Branciforti",1-10,"Early Stage Venture, Seed",,,Private,"4,060"
Voodoo,https://www.crunchbase.com/organization/voodoo-e334,,5,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Voodoo is a leading tech company that creates mobile games and apps.,5,,4,Active,2013-01-01,year,http://www.voodoo.io/,https://www.linkedin.com/company/voodoo.io/,"Casual Games, Mobile Apps, Online Games, Video Games","Apps, Gaming, Mobile, Software",2,"Alexandre Yazdi, Laurent Ritter",501-1000,Seed,For Profit,Made Acquisitions,Private,"4,551"
Safe,https://www.crunchbase.com/organization/safe-3c5f,,5,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",Safe accelerating the transition to Smart Accounts.,5,,,Active,2022-01-01,year,https://safe.global/,,,,,,51-100,,,Made Acquisitions,Private,"4,581"
Boost Capital,https://www.crunchbase.com/organization/boost-capital-db96,,5,,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Boost Capital enables micro-loans through smartphones, cheaper and easier.",4,,1,Active,2019-04-01,month,http://boostkh.com,https://www.linkedin.com/company/boostcapital/,"Finance, Financial Services, FinTech",Financial Services,2,"Gordon Peters, Lucinda Revell",11-50,,For Profit,,Private,"4,778"
DNV,https://www.crunchbase.com/organization/dnv,,5,,"Norway, South Carolina, United States","East Coast, Southern US","DNV provides digital solutions for managing risk and improving safety and asset performance for ships, pipelines and more.",5,,1,Active,1865-01-01,year,https://www.dnv.com/,https://www.linkedin.com/company/4411,"Electrical Distribution, Energy, Software","Energy, Software",,,10001+,,For Profit,Made Acquisitions,Private,"4,867"
Status.im,https://www.crunchbase.com/organization/status-im,,5,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)","Status.im is a mobile ethereum OS that gives users the power to chat, transact, and access a world of DApps on the decentralized web.",5,,4,Active,2017-01-01,year,https://status.app,https://in.linkedin.com/company/status.im,"Apps, Computer, Meeting Software, Messaging, Software, Web3","Apps, Blockchain and Cryptocurrency, Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",2,"Carl Bennetts, Jarrad Hope",101-250,,For Profit,,Private,"5,666"
Winnow Fund,https://www.crunchbase.com/organization/winnow-fund,Venture Capital,5,,"Madison, Wisconsin, United States","Great Lakes, Midwestern US","Winnow Fund is a venture capital fund located in Madison, Wisconsin.",5,,5,Active,2018-01-01,year,https://winnowfund.com/,https://in.linkedin.com/company/winnow-fund,Venture Capital,"Financial Services, Lending and Investments",1,Richelle Martin,1-10,"Early Stage Venture, Seed",,,Private,"6,682"
ChromaWay,https://www.crunchbase.com/organization/chromaway,,5,,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",ChromaWay is a relational blockchain platform designed to enable a new generation of enterprise applications.,5,,4,Active,2014-12-18,day,http://chromaway.com/,https://www.linkedin.com/company/chromaway,"Apps, B2B, Blockchain, Enterprise Software, Financial Services, Infrastructure, Open Source","Apps, Blockchain and Cryptocurrency, Financial Services, Other, Software",3,"Alex Mizrahi, Henrik Hjelte, Or Perelman",11-50,,For Profit,Made Acquisitions,Private,"7,591"
Pershing Ventures,https://www.crunchbase.com/organization/pershing-ventures,"Private Equity Firm, Venture Capital, Venture Debt",5,,"Cheyenne, Wyoming, United States",Western US,"Pershing Ventures provides US$ financing to revenue positive early-stage ventures and SMEs located in the US, England and Australia.",5,,,Active,2021-01-01,year,https://www.pershingventures.com/,https://www.linkedin.com/company/pershing-ventures/,"Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",2,"David Weiss, Tor Trivers",1-10,"Convertible Note, Debt, Early Stage Venture, Private Equity, Venture",,,Private,"7,674"
Seed-X,https://www.crunchbase.com/organization/seed-x,,5,,"Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US","Agriculture, Deep Learning, Machine Learning, Seeds, Phenotype to Genotype, AI",4,,,Active,2016-01-01,year,https://www.seed-x.com/,https://www.linkedin.com/company/seed-x/,"Agriculture, Artificial Intelligence (AI), Information Technology, Machine Learning","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Moti Shniberg,11-50,,For Profit,,Private,"8,196"
Rewired,https://www.crunchbase.com/organization/rewired,Micro VC,5,,"Lausanne, Vaud, Switzerland","Europe, Middle East, and Africa (EMEA)","Launched in summer 2017, Rewired is a deep-tech fund, investing in applied science and technologies that advance machine perception.",5,,1,Active,2017-08-01,day,https://www.rewired.com,https://www.linkedin.com/company/11198524/,"Artificial Intelligence (AI), Robotics, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software",1,Amit Jain,11-50,Seed,,,Private,"9,109"
Abac Capital,https://www.crunchbase.com/organization/abac-capital,"Private Equity Firm, Venture Capital",5,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Abac Capital is an investment fund run in Barcelona that focuses on investing private equity capital in mid-size Spanish businesses.,5,,1,Active,2014-01-01,year,http://www.abaccapital.com/en/,https://www.linkedin.com/company/abac-capital,,,1,Joaquim Lecha,11-50,"Early Stage Venture, Late Stage Venture, Private Equity",,Made Acquisitions,Private,"9,146"
PhotonVentures,https://www.crunchbase.com/organization/photonventures,Venture Capital,5,,"Eindhoven, Noord-Brabant, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","PhotonVentures is a deep tech venture capital firm, purely focused on the key enabling technology of Integrated Photonics.",5,,4,Active,,,https://photonventures.vc/,https://www.linkedin.com/company/photonventures/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"9,581"
Voyager,https://www.crunchbase.com/organization/voyager-8d36,,5,1,"Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,5,1,1,Closed,2017-01-01,year,https://www.investvoyager.com,https://www.linkedin.com/company/investvoyager,"Cryptocurrency, Finance, Financial Services, FinTech, Information Technology","Blockchain and Cryptocurrency, Financial Services, Information Technology, Payments, Software",1,Oscar Salazar,101-250,,For Profit,"Made Acquisitions, Was Acquired",Public,"9,704"
Nemetschek Group,https://www.crunchbase.com/organization/nemetschek-group,,5,,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The Nemetschek Group is a pioneer for digital transformation in the AEC/O and the media & entertainment industry.,4,,2,Active,1963-01-01,year,https://www.nemetschek.com/en,https://www.linkedin.com/company/nemetschekgroup/?originalSubdomain=de,,,,,1001-5000,,For Profit,Made Acquisitions,Private,"10,170"
Deniz Ventures,https://www.crunchbase.com/organization/denizbank-9d22,Corporate Venture Capital,5,,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Deniz Ventures is the corporate venture capital fund of DenizBank Financial Services Group.,4,,3,Active,2020-01-01,year,https://www.denizventures.com,https://www.linkedin.com/company/denizventures/,"Agriculture, Artificial Intelligence (AI), Biotechnology, Blockchain, FinTech, Health Care","Agriculture and Farming, Artificial Intelligence (AI), Biotechnology, Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Health Care, Other, Science and Engineering, Software",,,1-10,"Early Stage Venture, Seed, Venture",,,Private,"11,070"
One planetcrowd,https://www.crunchbase.com/organization/one-planetcrowd,Incubator,5,,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Oneplanetcrowd is the sustainable crowdfunding platform in Europe.,4,,1,Active,2012-01-01,year,http://www.oneplanetcrowd.com/,https://www.linkedin.com/company/oneplanetcrowd,"Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Coenraad de Vries, Laura Rooseboom, Maarten de Jong",11-50,Crowdfunding,For Profit,,Private,"11,355"
Portage Biotech,https://www.crunchbase.com/organization/portage-biotech,,5,,"Toronto, Ontario, Canada",Great Lakes,Portage Biotech is a pharmaceutical company that identifies and develops best-in-class or first-in-class early-to-mid stage products.,3,,5,Active,1973-01-01,day,http://portagebiotech.com/,https://www.linkedin.com/company/portage-biotech-inc,"Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",1,Greg Bailey,1-10,,For Profit,Made Acquisitions,Public,"12,204"
Neurotechnology Investors,https://www.crunchbase.com/organization/neurotechnology-investors-nti,Venture Capital,5,,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Neurotechnology Investors provides health care facilities and services.,3,,3,Active,2016-01-01,year,https://themdadvantage.com/,,"Health Care, Neuroscience, Service Industry","Biotechnology, Health Care, Other, Science and Engineering",1,Martin Dieck,1-10,"Early Stage Venture, Late Stage Venture",,,Private,"12,470"
Amadeus APEX Technology Fund,https://www.crunchbase.com/organization/amadeus-apex-technology-fund,Venture Capital,5,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Amadeus APEX Technology Fund operates as a ventures capital firm.,4,,1,Active,,,,,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,,"Early Stage Venture, Seed",,,Private,"12,589"
TokenInsight,https://www.crunchbase.com/organization/tokeninsight,,5,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",TokenInsight is dedicated towards providing accurate data and ratings for cryptocurrency projects.,5,,,Active,2018-03-18,day,https://Tokeninsight.com,https://www.linkedin.com/company/tokeninsight/,"Analytics, Big Data, Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, Market Research, Software","Blockchain and Cryptocurrency, Data and Analytics, Design, Financial Services, Lending and Investments, Other, Payments, Software",1,Tao Hu,11-50,,For Profit,,Private,"12,892"
FoodSeed,https://www.crunchbase.com/organization/foodseed,Accelerator,5,,"Verona, Veneto, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","FoodSeed, the national Agrifoodtech program in Italy, along with CDP Venture Capital Sgr, Fondazione Cariverona, and UniCredit.",5,,5,Active,2023-03-01,month,https://foodseed.it/#cosa-offriamo,https://www.linkedin.com/company/foodseed/about/,Venture Capital,"Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"13,259"
Dealflow,https://www.crunchbase.com/organization/dealflow,Venture Capital,5,,"Borgen, Akershus, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)","Dealflow helps entrepreneurs to get money, cheap and efficient, so they can spend their time at their best.",4,,3,Active,2017-01-01,year,https://dealflow.no/,https://www.linkedin.com/company/dealflow-no/,"Financial Services, FinTech",Financial Services,1,Petter Skulstad,1-10,,For Profit,,Private,"13,527"
Freshmen Fund,https://www.crunchbase.com/organization/freshman-fund-a746,"Angel Group, Private Equity Firm, Venture Capital",5,1,"Antwerp, Antwerpen, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","Freshmen fund is a European boutique funds, actively supporting emerging B2C businesses",4,,2,Active,2019-01-01,day,http://www.freshmenfund.com,https://www.linkedin.com/company/freshmenfund/,"Consumer, Consumer Goods, Consumer Software, E-Commerce, Fashion, Food and Beverage, Gaming, Internet, Retail, Software","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Food and Beverage, Gaming, Internet Services, Other, Software",1,Hendrik Winkelmans,1-10,"Early Stage Venture, Seed",,,Private,"13,911"
Verdant Frontiers,https://www.crunchbase.com/organization/verdant-frontiers,Venture Capital,5,,"Austin, Texas, United States",Southern US,Verdant Frontiers is a business incubator that designs and builds large scale business for investors and life-changing jobs.,5,,,Active,2013-01-01,year,http://verdantfrontiers.com,https://in.linkedin.com/company/verdant-frontiers,"Business Development, Impact Investing, Venture Capital","Financial Services, Lending and Investments, Professional Services",2,"Russ Murphy, Scott Friesen",1-10,"Early Stage Venture, Seed",,,Private,"14,032"
Elior Group,https://www.crunchbase.com/organization/elior-group,,5,,"La Défense, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Elior Group operates in contract catering, concession catering, and support services.",5,,2,Active,1991-01-01,year,https://www.eliorgroup.com/,https://www.linkedin.com/company/elior-group,"Catering, Food and Beverage, Restaurants",Food and Beverage,2,"Francis Markus, Robert Zolade",10001+,,For Profit,"Made Acquisitions, Was Acquired",Public,"14,408"
Ingenico,https://www.crunchbase.com/organization/ingenico-group-2,,5,1,"Suresnes, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ingenico is the global leader in payment acceptance and services.,4,,2,Active,1980-01-01,year,http://www.ingenico.com/,https://www.linkedin.com/company/ingenico,"E-Commerce, Financial Services, Information Services, Information Technology, Payments","Commerce and Shopping, Financial Services, Information Technology, Payments",2,"Jean-Jacques Poutrel, Michel Malhouitre",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Public,"14,423"
ROCA Partners,https://www.crunchbase.com/organization/roca-partners,Private Equity Firm,5,1,"Beverly Hills, California, United States","Greater Los Angeles Area, West Coast, Western US",ROCA Partners is a private equity investment firm that provides consumer services companies with capital resources to accelerate growth.,4,,3,Active,2015-01-01,year,http://www.rocapartners.com/,https://www.linkedin.com/company/roca-partners,"Financial Exchanges, Financial Services, FinTech","Financial Services, Lending and Investments",2,"James Stith, Ravi Yang Sarin",11-50,"Early Stage Venture, Private Equity, Seed",,,Private,"14,614"
Next Mobility Labs,https://www.crunchbase.com/organization/next-mobility-labs,Incubator,5,,"Mainz, Rheinland-Pfalz, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Growing sustainable digital mobility startups,5,,1,Active,2020-01-01,year,https://www.nextmobilitylabs.com/,https://www.linkedin.com/company/next-mobility-labs,"Automotive, CleanTech, Consulting, Finance, Information Technology, Internet, Software, Venture Capital","Financial Services, Information Technology, Internet Services, Lending and Investments, Professional Services, Software, Sustainability, Transportation",3,"Armin Bieser, Felix Wagner, Sybille Jones",1-10,"Early Stage Venture, Seed, Venture",,,Private,"15,790"
Holland Startup,https://www.crunchbase.com/organization/holland-startup,"Entrepreneurship Program, Venture Capital",5,,"Utrecht, Utrecht, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Enable young entrepreneurship! At Holland Startup young entrepreneurs are guided on their entrepreneurial journey,5,,5,Active,2014-01-01,year,http://www.hollandstartup.com/,http://www.linkedin.com/company/hollandstartup-com,"Big Data, Marketplace, SaaS","Commerce and Shopping, Data and Analytics, Software",1,Robbert Jan Hanse,11-50,"Early Stage Venture, Seed",,,Private,"16,143"
Novatti Group,https://www.crunchbase.com/organization/novatti,"Angel Group, Corporate Venture Capital",5,1,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia","Novatti (ASX:NOV) is a leading digital banking and payments company that enables fast, simple, and secure payments.",5,1,3,Active,2015-01-01,year,https://www.novatti.com,https://www.linkedin.com/company/novattipayments,"Banking, Credit Cards, Financial Services, Gift Card, Incubators, Mobile, Mobile Payments, Payments, Transaction Processing","Commerce and Shopping, Financial Services, Lending and Investments, Mobile, Payments, Software",1,Peter Cook,51-100,Post-Ipo,For Profit,Made Acquisitions,Public,"16,220"
SmartAngels.fr,https://www.crunchbase.com/organization/smartangels-fr,Angel Group,5,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",SmartAngels is the crowdfunding platform dedicated to capital investment of start-ups and growth SMEs.,5,,1,Closed,2011-01-01,year,https://sowefund.com,http://www.linkedin.com/company/smartangels-fr,"Angel Investment, Finance, FinTech, Lending, Venture Capital","Financial Services, Lending and Investments",1,Benoit Bazzocchi,11-50,Seed,For Profit,Was Acquired,Private,"16,318"
