Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Tier IV,https://www.crunchbase.com/organization/tier-iv,,3,,"Tokyo, Tokyo, Japan",Asia-Pacific (APAC),Tier IV creates technology-enabled driving software for the automotive industry that develops intelligent vehicles.,3,,1,Active,2015-12-01,day,https://tier4.jp/,https://www.linkedin.com/company/tier-iv-inc/,"Automotive, Autonomous Vehicles, Open Source, Robotic Process Automation (RPA), Software","Artificial Intelligence (AI), Software, Transportation",1,Shinpei Kato,251-500,,For Profit,,Private,"1,269"
"""Bitstamp by Robinhood""",https://www.crunchbase.com/organization/bitstamp,,3,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","""Bitstamp by Robinhood"" is a crypto exchange platform that specializes in buying and selling cryptocurrencies.",3,,,Active,2011-01-01,year,http://www.bitstamp.net,http://www.linkedin.com/company/bitstamp,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"Damijan Merlak, Nejc Kodric",251-500,,For Profit,Was Acquired,Private,"2,006"
Swiss Prime Site,https://www.crunchbase.com/organization/swiss-prime-site,Private Equity Firm,3,,"Olten, Aargau, Switzerland","Europe, Middle East, and Africa (EMEA)",Swiss Prime Site is a real estate investment company.,2,,1,Active,1999-01-01,year,https://www.sps.swiss/de,https://www.linkedin.com/company/11058054,Real Estate,Real Estate,,,1001-5000,,For Profit,Made Acquisitions,Public,"4,592"
Spin Master,https://www.crunchbase.com/organization/spin-master,,3,,"Toronto, Ontario, Canada",Great Lakes,"Spin Master is a children's entertainment company that creates toys, games, entertainment, and digital games for children.",3,,,Active,1994-01-01,year,https://www.spinmaster.com,https://www.linkedin.com/company/spin-master-ltd-,"Digital Entertainment, Manufacturing, Marketing, Mobile","Manufacturing, Media and Entertainment, Mobile, Sales and Marketing",2,"Anton Rabie, Ronnen Harary",1001-5000,,For Profit,Made Acquisitions,Public,"4,747"
Clariant,https://www.crunchbase.com/organization/clariant-chemicals,,3,,"Muttenz, Basel-Landschaft, Switzerland","Europe, Middle East, and Africa (EMEA)","Clariant is a chemical company that specializes in care chemicals, adsorbents, and additives.",3,,1,Active,1995-01-01,year,https://www.clariant.com/ja-JP/Corporate,https://www.linkedin.com/company/clariant,"Chemical, Chemical Engineering, Manufacturing, Plastics and Rubber Manufacturing","Manufacturing, Science and Engineering",1,Rolf W. Schweizer,10001+,,For Profit,Made Acquisitions,Public,"5,268"
University College London (UCL),https://www.crunchbase.com/organization/university-college-london-ucl,University Program,3,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","UCL is one of the world's leading universities, founded in London to open up education to all on equal terms.",3,,2,Active,1826-02-11,day,https://www.ucl.ac.uk/,http://www.linkedin.com/company/4171,"Education, Higher Education, Universities","Education, Other",2,"Jeremy Bentham, Mariana Mazzucato",10001+,,,,Private,"5,290"
Galapagos,https://www.crunchbase.com/organization/galapagos,,3,,"Mechelen-bovelingen, Limburg, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","Galapagos is a clinical-stage biotechnology company, specialized in the discovery and development of small molecule medicines with novel.",3,,,Active,1999-01-01,year,http://www.glpg.com,https://www.linkedin.com/company/biofocus/,"Biopharma, Biotechnology, Clinical Trials, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",3,"Dinko Valerio, Onno Stolpe, Rudi Pauwels",251-500,,For Profit,Made Acquisitions,Public,"5,871"
InfoCert,https://www.crunchbase.com/organization/infocert,,3,,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",InfoCert is a software company that provides digitization and dematerialization services for a business.,2,,1,Active,2007-01-01,year,https://www.infocert.digital,https://www.linkedin.com/company/infocert,"Cyber Security, Document Management, Security, Software","Information Technology, Privacy and Security, Software",,,251-500,,For Profit,Made Acquisitions,Private,"6,407"
RightBridge Ventures,https://www.crunchbase.com/organization/rightbridge-ventures,Venture Capital,3,,"Östermalm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",RightBridge Ventures operates as an investment company.,2,,3,Active,2020-01-01,year,https://rightbridge.se/,https://www.linkedin.com/company/rightbridge-ventures/,"Digital Entertainment, Financial Services","Financial Services, Media and Entertainment",,,1-10,Early Stage Venture,,Made Acquisitions,Public,"6,921"
Kitty Hawk,https://www.crunchbase.com/organization/kitty-hawk,,3,,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Kitty Hawk is an aerospace company that manufactures eVTOL vehicles that makes airtaxis affordable, ubiquitous, and eco-conscious.",3,,2,Closed,2010-01-01,year,https://kittyhawk.aero/,https://www.linkedin.com/company/kittyhawkaero/,"Aerospace, Air Transportation, Automotive, Logistics","Science and Engineering, Transportation",1,Damon Vander Lind,11-50,,For Profit,Made Acquisitions,Private,"7,136"
American City Business Journals,https://www.crunchbase.com/organization/american-city-business-journals,,3,1,"Charlotte, North Carolina, United States","East Coast, Southern US",American City Business Journals Inc.(ACBJ) is the largest publisher of metropolitan business newspapers in the USA.,2,,1,Active,1985-01-01,year,http://www.acbj.com,http://www.linkedin.com/company/american-city-business-journals,"Journalism, News, Publishing","Content and Publishing, Media and Entertainment",2,"Mike Russell, William Worley",1001-5000,Early Stage Venture,For Profit,Made Acquisitions,Private,"8,515"
PDS,https://www.crunchbase.com/organization/pds-multinational-group,,3,,"Bangalore, Karnataka, India",Asia-Pacific (APAC),"PDS provides integrated solutions for global fashion retail, focusing on sustainability and ethical practices.",3,,,Active,1999-01-01,year,https://pdsltd.com,https://www.linkedin.com/company/pds-multinational/,"Fashion, Manufacturing, Retail, Supply Chain Management","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing, Transportation",,,1001-5000,,For Profit,,Public,"9,278"
Reach,https://www.crunchbase.com/organization/trinity-mirror,,3,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Reach is a news company that publishes news containing sports, cultural, and entertainment content for awareness.",2,,1,Active,1832-01-01,year,https://www.reachplc.com,https://www.linkedin.com/company/reach-plc,"Advertising, Digital Marketing, Media and Entertainment, News, Printing, Publishing","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing",1,Alfred Harmsworth,1001-5000,,For Profit,Made Acquisitions,Public,"9,881"
Zoopla,https://www.crunchbase.com/organization/zoopla,,3,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Zoopla is a property website in the U.K. that combines property listings with market data, local information, and community tools.",3,,1,Active,2007-01-01,year,http://www.zoopla.co.uk,https://www.linkedin.com/company/zoopla/,"Commercial Real Estate, Property Management, PropTech, Real Estate",Real Estate,1,Simon Kain,501-1000,,For Profit,Made Acquisitions,Private,"10,327"
Borealis,https://www.crunchbase.com/organization/borealis-822d,,3,1,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Borealis is a provider of innovative solutions in the fields of polyolefins, base chemicals and fertilizers.",2,1,1,Active,1994-01-01,year,https://www.borealisgroup.com,https://www.linkedin.com/company/borealis,Chemical,Science and Engineering,,,5001-10000,,For Profit,"Made Acquisitions, Was Acquired",Private,"10,647"
Lennertz & Co.,https://www.crunchbase.com/organization/lennertz-co,Family Investment Office,3,,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Lennertz & Co. is an owner-managed family office with a clear focus on further developing and increasing the value of its clients' assets.,3,,3,Active,,,https://www.lennertz.com/,https://www.linkedin.com/company/lennertz-co,,,1,Philipp Lennertz,11-50,"Early Stage Venture, Seed",,,Private,"10,789"
EuraTechnologies,https://www.crunchbase.com/organization/euratechnologies,,3,1,"Lille, Nord-Pas-de-Calais, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",EuraTechnologies promotes economic and social development through the exchange of scientific research and technologies.,3,,1,Active,2009-03-01,month,http://www.euratechnologies.com,https://www.linkedin.com/company/705491,Finance,Financial Services,1,Pierre de Saintignon,11-50,,For Profit,,Private,"11,390"
1991 Ventures,https://www.crunchbase.com/organization/1991-ventures,Venture Capital,3,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","1991 Ventures invests in mission-driven founders from CEE and Ukraine, providing pre-seed and seed funding of up to $500,000",3,,,Active,2024-03-25,day,https://www.1991.vc/,https://www.linkedin.com/company/1991-ventures/,Venture Capital,"Financial Services, Lending and Investments",2,"Denis Gursky, Viktor Gurskyi",1-10,"Early Stage Venture, Seed",,,Private,"11,862"
