Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Springboard,https://www.crunchbase.com/organization/sliderule,,1,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Springboard is an e-learning platform that prepares people for modern careers through innovative curriculum and mentor guidance.,1,,,Active,2013-01-01,year,https://www.springboard.com,https://www.linkedin.com/school/springboard,"E-Learning, EdTech, Education","Education, Software",2,"Gautam Tambay, Parul Gupta",101-250,,For Profit,,Private,"1,233"
RTE.ie,https://www.crunchbase.com/organization/rte-ie,,1,,"Donnybrook, Dublin, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)","RTE.ie is the official website of Raidio Teilifis Eireann, Ireland's national public service broadcaster.",1,,,Active,1926-01-01,day,http://www.rte.ie/,https://www.linkedin.com/company/rte,Broadcasting,"Media and Entertainment, Video",,,1001-5000,,For Profit,,Private,"3,246"
Pandora,https://www.crunchbase.com/organization/pandora-aa54,,1,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia","Pandora designs, manufactures and markets hand-finished and contemporary jewellery made from high-quality materials at affordable prices.",1,,,Active,1982-01-01,year,https://www.pandoragroup.com,https://www.linkedin.com/company/pandora-a-s,Manufacturing,Manufacturing,4,"Maxim Nogotkov, Per Enevoldsen, René Sindlev, Winnie Liljeborg",10001+,,For Profit,,Public,"7,303"
Arquimea Ingeniera,https://www.crunchbase.com/organization/arquimea-ingeniera,,1,,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Arquimea Ingeniera is a developer of electronic, microelectronic, and electro-mechanic systems and components.",1,,,Active,2005-01-01,year,http://www.arquimea.com,https://www.linkedin.com/company/arquimea/,"Apps, Electronics, Software","Apps, Consumer Electronics, Hardware, Software",1,Diego Fernandez,501-1000,,For Profit,Made Acquisitions,Private,"15,475"
Jensen Partners,https://www.crunchbase.com/organization/jensen-partners,,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Dedicated to sourcing strategic capital,1,,,Active,2011-01-01,year,http://www.jensen-partners.com,http://www.linkedin.com/company/jensen-partners,"Finance, Search Engine","Financial Services, Internet Services",1,Sasha Jensen,1-10,,For Profit,,Private,"15,556"
*instinctools,https://www.crunchbase.com/organization/instinctools,,1,,"Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","*instinctools is a consulting company that offers product design, business intelligence, CRM, ERP, and crypto exchange services.",1,,,Active,2000-01-01,year,https://www.instinctools.com,https://www.linkedin.com/company/instinctoolscompany/,"B2B, Big Data, Blockchain, Business Intelligence, Cloud Data Services, Cryptocurrency, Enterprise Software, Information Technology, Software Engineering","Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Internet Services, Other, Payments, Science and Engineering, Software",1,Alexey Spas,251-500,,For Profit,,Private,"16,018"
eyeo,https://www.crunchbase.com/organization/eyeo,,1,1,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",eyeo is develop open source software that millions of people use every day to have a better online experience.,1,,,Active,2011-01-01,year,http://eyeo.com,https://www.linkedin.com/company/2765271?trk=hp-feed-company-name,"Browser Extensions, Internet, Open Source, Privacy, Software","Internet Services, Privacy and Security, Software",3,"Till Faida, Tim Schumacher, Wladimir Palant",51-100,,For Profit,Made Acquisitions,Private,"17,256"
Meet The People,https://www.crunchbase.com/organization/meet-the-people,,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Meet The People is dedicated to serving clients, inspiring their talent, and empowering consumers in an increasingly transparent.",1,,,Active,2021-01-01,year,https://www.meet-the-people.com/,https://www.linkedin.com/company/meetthepeople,Advertising,"Advertising, Sales and Marketing",,,251-500,,For Profit,Made Acquisitions,Private,"18,595"
Absurd Ventures,https://www.crunchbase.com/organization/absurd-ventures,,1,,"Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",Absurd Ventures is an entertainment firm that creates new intellectual property across various channels.,1,,,Active,2021-01-01,year,https://www.absurdventures.com/,https://www.linkedin.com/company/absurd-ventures/,"Broadcasting, Digital Media, Media and Entertainment, Podcast, TV","Media and Entertainment, Music and Audio, Video",,,11-50,,For Profit,,Private,"23,603"
Babilou,https://www.crunchbase.com/organization/babilou,,1,,"Courbevoie, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Babilou owns and operates a network of childcare and child minding facilities primarily in France.,1,,,Active,2003-03-01,month,https://www.babilou.fr,https://www.linkedin.com/company/babilou/,"Child Care, Children, Home Services, Retail, Sales","Commerce and Shopping, Community and Lifestyle, Health Care, Real Estate, Sales and Marketing",2,"Edouard Carle, Rodolphe Carle",5001-10000,,For Profit,"Made Acquisitions, Was Acquired",Private,"26,035"
