Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Amcor,https://www.crunchbase.com/organization/amcor-ltd,,3,,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","Amcor is a packaging and container manufacturing company for food and beverage, personal care, and medical industries.",3,,3,Active,1864-01-01,year,http://www.amcor.com/,https://www.linkedin.com/company/amcor,"Chemical, Information Technology, Manufacturing, Medical, Packaging Services, Supply Chain Management, Sustainability","Administrative Services, Health Care, Information Technology, Manufacturing, Science and Engineering, Sustainability, Transportation",2,"Peter Konieczny, Samuel Ramsden",10001+,,For Profit,Made Acquisitions,Public,"1,758"
Clariant,https://www.crunchbase.com/organization/clariant-chemicals,,3,,"Muttenz, Basel-Landschaft, Switzerland","Europe, Middle East, and Africa (EMEA)","Clariant is a chemical company that specializes in care chemicals, adsorbents, and additives.",3,,1,Active,1995-01-01,year,https://www.clariant.com/ja-JP/Corporate,https://www.linkedin.com/company/clariant,"Chemical, Chemical Engineering, Manufacturing, Plastics and Rubber Manufacturing","Manufacturing, Science and Engineering",1,Rolf W. Schweizer,10001+,,For Profit,Made Acquisitions,Public,"5,268"
Convex Group,https://www.crunchbase.com/organization/convex-group-ltd,,3,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Convex Group Ltd, a newly-launched, Bermuda-based property and casualty insurance company.",3,,1,Active,2019-01-01,year,https://convexin.com,https://www.linkedin.com/company/convex-insurance,Insurance,Financial Services,2,"Paul Brand, Stephen Catlin",251-500,,For Profit,Was Acquired,Private,"6,036"
WISeKey,https://www.crunchbase.com/organization/wisekey,,3,1,"Geneva, Geneve, Switzerland","Europe, Middle East, and Africa (EMEA)","WISeKey is a cybersecurity company using blockchain, AI, IoT technologies, and security to counterfeit fraud of bankcard and transactions.",3,,3,Active,1999-01-01,year,http://www.wisekey.com,http://www.linkedin.com/company/wisekey-sa,"Artificial Intelligence (AI), Blockchain, Cyber Security, Identity Management, Internet of Things, Network Security, SaaS, Software","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Internet Services, Other, Privacy and Security, Science and Engineering, Software",1,Carlos Moreira,51-100,,For Profit,Made Acquisitions,Public,"6,318"
MegaRobo,https://www.crunchbase.com/organization/megarobo,,3,,"Beijing, Beijing, China",Asia-Pacific (APAC),"MegaRobo is an AI and robotics company that specializes in the fields of life sciences, clinical diagnosis, and applied chemistry.",2,,,Active,2016-01-01,year,http://www.megarobo.tech,https://www.linkedin.com/company/%E5%8C%97%E4%BA%AC%E9%95%81%E4%BC%BD%E6%9C%BA%E5%99%A8%E4%BA%BA%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,"Artificial Intelligence (AI), Biotechnology, Life Science, Robotics","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software",2,"Daniel Huang, Zhixin Qiao",1001-5000,,For Profit,,Private,"6,366"
Fitbit,https://www.crunchbase.com/organization/fitbit,,3,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.",3,,1,Active,2007-05-01,day,http://www.fitbit.com,http://www.linkedin.com/company/fitbit,"Apps, Consumer Electronics, Fitness, Health Care, Personal Health, Quantified Self, Wearables","Apps, Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Health Care, Software, Sports",3,"Aatu Nieminen, Eric Friedman, James Park",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Delisted,"6,392"
Quantum Delta,https://www.crunchbase.com/organization/quantum-delta,Accelerator,3,,"Delft, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Quantum Delta is the public-private partnership of global tech companies, government agencies and all major quantum research centers.",3,,2,Active,2020-01-01,year,https://quantumdelta.nl/,https://www.linkedin.com/company/quantum-delta/about/,"Computer, Information Technology, Quantum Computing","Consumer Electronics, Hardware, Information Technology, Science and Engineering",,,11-50,,For Profit,,Private,"7,760"
Trinity Biotech,https://www.crunchbase.com/organization/trinity-biotech,,3,1,"Bray, Wicklow, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Trinity Biotech is a commercial-stage biotechnology company focused on human diagnostics and diabetes management solutions.,2,,3,Active,1992-01-01,year,http://trinitybiotech.com,http://www.linkedin.com/company/trinity-biotech,"Biotechnology, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",2,"Denis R. Burger, Ronan O’Caoimh",251-500,,For Profit,Made Acquisitions,Public,"8,577"
PDS,https://www.crunchbase.com/organization/pds-multinational-group,,3,,"Bangalore, Karnataka, India",Asia-Pacific (APAC),"PDS provides integrated solutions for global fashion retail, focusing on sustainability and ethical practices.",3,,,Active,1999-01-01,year,https://pdsltd.com,https://www.linkedin.com/company/pds-multinational/,"Fashion, Manufacturing, Retail, Supply Chain Management","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing, Transportation",,,1001-5000,,For Profit,,Public,"9,278"
LEO Pharma,https://www.crunchbase.com/organization/leo-pharma,,3,,"Parsippany, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",LEO Pharma is a leading global pharma company,2,,3,Active,1908-01-01,year,http://www.leo-pharma.us/,https://www.linkedin.com/company/leo-pharmaceuticals,"Health Care, Medical, Pharmaceutical",Health Care,1,August Kongsted,1001-5000,,For Profit,Made Acquisitions,Private,"10,126"
