Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,,4,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,4,,,Active,2007-01-01,year,https://www.mongodb.com/,https://www.linkedin.com/company/mongodbinc/,"Cloud Computing, Database, Open Source, SaaS, Software","Data and Analytics, Internet Services, Software",3,"Dwight Merriman, Eliot Horowitz, Kevin Ryan",5001-10000,,For Profit,Made Acquisitions,Public,681
Turntide Technologies,https://www.crunchbase.com/organization/software-motor-company,,4,,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Turntide Technologies develops an electric motor system designed to drive down energy consumption.,4,,,Active,2013-01-01,year,http://www.turntide.com,https://www.linkedin.com/company/turntide,"CleanTech, Electrical Distribution, Energy, Energy Efficiency, GreenTech, Industrial, Industrial Automation, Machinery Manufacturing","Energy, Manufacturing, Science and Engineering, Sustainability",2,"Mark Johnston, Piyush Desai",501-1000,,For Profit,Made Acquisitions,Private,806
Founders First Capital Partners,https://www.crunchbase.com/organization/founders-first-capital,Venture Capital,4,,"San Diego, California, United States","Greater San Diego Area, West Coast, Western US",Founders First Capital Partners is a financial services company that offers advisory services.,4,,,Active,2015-01-01,year,https://foundersfirstcapitalpartners.com,https://www.linkedin.com/company/founders-first-capital-partners-llc,"Advice, Financial Services, Venture Capital","Financial Services, Lending and Investments, Media and Entertainment",1,Kim Folsom,11-50,"Debt, Early Stage Venture",For Profit,,Private,829
VTT Technical Research Centre of Finland,https://www.crunchbase.com/organization/vtt,,4,,"Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Research and technology organisation (RTO),4,,1,Active,1942-01-01,year,https://www.vttresearch.com/en,http://www.linkedin.com/company/vtt,"Clean Energy, Information Technology, Internet, Telecommunications","Energy, Hardware, Information Technology, Internet Services, Sustainability",,,1001-5000,,Non-profit,,Private,982
Yum! Brands,https://www.crunchbase.com/organization/yum-brands-inc,,4,1,"Louisville, Kentucky, United States",Southern US,"Yum! Brands is a quick-service restaurant brand that primarily operates the likes of KFC, Pizza Hut, and Taco Bell.",3,1,3,Active,1997-01-01,year,http://www.yum.com,https://www.linkedin.com/company/yum-brands,"Food and Beverage, Hospitality, Restaurants","Food and Beverage, Travel and Tourism",1,Andrall E. Pearson,10001+,,For Profit,Made Acquisitions,Public,"1,736"
CLO Virtual Fashion,https://www.crunchbase.com/organization/clo-virtual-fashion-inc,Corporate Venture Capital,4,,"Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),CLO Virtual Fashion provides a 3D fashion design software that simulates garments for better visualization in the fashion industry.,4,,1,Active,2009-01-23,day,http://www.clovirtualfashion.com,https://www.linkedin.com/company/clo-virtual-fashion-inc-,"3D Technology, Augmented Reality, Enterprise Software, Fashion, Retail Technology, Virtual Reality","Clothing and Apparel, Commerce and Shopping, Design, Hardware, Software",2,"Jaden Oh, JH Boo",251-500,,For Profit,Made Acquisitions,Private,"2,652"
Avis Budget Group,https://www.crunchbase.com/organization/avis-budget-group,,4,1,"Parsippany, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Avis Budget Group offers professionals and individuals with vehicle rental and sharing services.,3,1,,Active,1946-01-01,year,http://avisbudgetgroup.com,http://www.linkedin.com/company/avis-budget-group,"Property Management, Real Estate, Tourism, Travel","Real Estate, Travel and Tourism",4,"Henry Silverman, Joni Herison, Jules Lederer, Warren Avis",10001+,,For Profit,Made Acquisitions,Public,"2,678"
identity.vc,https://www.crunchbase.com/organization/identity-ventures-f386,Venture Capital,4,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Backing LGBTQ+ entrepreneurs.,4,,1,Active,2023-01-01,year,https://identity.vc/,https://www.linkedin.com/company/identityvc,,,2,"Jochen Beutgen, Til Klein",1-10,"Early Stage Venture, Seed",,,Private,"2,717"
Preferred Networks,https://www.crunchbase.com/organization/preferred-networks,,4,1,"Otemachi, Tokyo, Japan",Asia-Pacific (APAC),"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.",4,1,,Active,2014-03-26,day,https://www.preferred.jp,https://www.linkedin.com/company/preferred-networks,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning, Robotics, Software","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",4,"Daisuke Okanohara, Morikawa Hiroyuki, Nishitoba Jiro, Toru Nishikawa",251-500,,For Profit,,Private,"3,141"
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,,4,4,"Monroe, Louisiana, United States",Southern US,"Lumen delivers the most secure platform for applications and data to help businesses, government and communities deliver amazing experiences",4,,1,Active,1968-01-01,day,https://www.lumen.com,https://www.linkedin.com/company/lumentechnologies,"Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless","Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security",2,"Clarke Williams, F. E. Hogan",10001+,,For Profit,Made Acquisitions,Public,"3,911"
