Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Failup Ventures,https://www.crunchbase.com/organization/failup-ventures,Venture Capital,9,1,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Failup Ventures is a Finnish-American venture capital fund based in New York and Helsinki.,8,,4,Active,2023-11-01,month,https://failup.com,https://www.linkedin.com/company/87384991/,,,3,"Jesse Heikkilä, Oscar Andersin, Topias Soininen",1-10,"Early Stage Venture, Seed",,,Private,"3,390"
2xN,https://www.crunchbase.com/organization/2xn,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",2xN operates as a venture capital firm.,6,,2,Active,2021-01-01,year,https://2xn.vc/,https://www.linkedin.com/company/2xn/about/,,,2,"Lars Fjeldsoe-Nielsen, Niels Nielsen",11-50,Seed,,,Private,"3,898"
9900 Capital,https://www.crunchbase.com/organization/9900,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Multi-stage Investment Fund,6,,4,Active,2023-03-16,day,http://www.9900capital.com,https://www.linkedin.com/company/9900-capital,,,,,1-10,"Early Stage Venture, Seed",,,Private,"4,227"
Plural,https://www.crunchbase.com/organization/plural-9df0,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Plural is an early-stage venture fund that seeks to invest in early-stage tech startups.,9,,7,Active,,,https://pluralplatform.com,https://www.linkedin.com/company/plural-platform,"Business Development, Financial Services, Information Technology","Financial Services, Information Technology, Professional Services",4,"Ian Hogarth, Khaled Helioui, Sten Tamkivi, Taavet Hinrikus",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"5,664"
Greencode Ventures,https://www.crunchbase.com/organization/greencode-ventures,Venture Capital,9,,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Greencode Ventures invests in the most impactful early-phase digital-first green transition startups in Europe.,9,,6,Active,2023-01-11,day,https://greencode.vc,https://www.linkedin.com/company/greencode-ventures,Venture Capital,"Financial Services, Lending and Investments",4,"Ines Bergmann-Nolting, Kaisa Hietala, Manuel Heckmann, Terhi (TJ) Vapola",1-10,Early Stage Venture,,,Private,"6,635"
My.Games Venture Capital,https://www.crunchbase.com/organization/my-games-venture-capital,Venture Capital,9,,"Limassol, Limassol, Cyprus","Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",My.Games Venture Capital is the investment division of MY.GAMES.,9,,6,Active,2017-01-01,year,https://mgvc.com/,https://www.linkedin.com/company/gamesventures/,,,2,"Maria Kochmola, Nick Matsokin",11-50,"Early Stage Venture, Late Stage Venture",,,Private,"7,785"
Lumen Ventures,https://www.crunchbase.com/organization/lumen-ventures-d86e,Venture Capital,9,,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Lumen Ventures is a venture capital firm that focuses on early-stage investments.,8,,3,Active,2018-01-01,year,https://www.lumen.ventures,https://www.linkedin.com/company/lumenventures/,"Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",1,Davide Fioranelli,1-10,"Early Stage Venture, Seed",,,Private,"10,121"
Centrality,https://www.crunchbase.com/organization/centrality,Venture Capital,9,1,"Auckland, Auckland, New Zealand","Asia-Pacific (APAC), Australasia",Centrality is developing a peer-to-peer blockchain marketplace,9,,3,Active,2016-07-01,month,https://www.centrality.ai/,https://www.linkedin.com/company/10887802/,"Apps, Blockchain, Cryptocurrency, Developer Platform, Information Technology, Marketplace","Apps, Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Information Technology, Other, Payments, Software",2,"Aaron McDonald, Jerry Yuan",51-100,,For Profit,,Private,"16,732"
WEPA Ventures,https://www.crunchbase.com/organization/wepa-ventures,Corporate Venture Capital,9,,"Arnsberg, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",WEPA Ventures operates as a Family Venture Capital firm of WEPA Group.,7,,1,Active,1948-01-01,year,https://www.wepa.eu/en/wepa-group/new-business-areas/wepa-ventures/,https://www.linkedin.com/company/wepahygiene/about/,,,,,1001-5000,"Early Stage Venture, Seed",,,Private,"16,773"
Backstage AB,https://www.crunchbase.com/organization/backstage-ab,Venture Capital,9,1,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Backstage is a family owned and financed venture capital firm primarily investing in unlisted Scandinavian entrepreneurial companies.,8,,2,Active,,,http://www.backstage.se,https://www.linkedin.com/company/backstage-invest-ab,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",,,11-50,"Seed, Venture",,Made Acquisitions,Private,"21,201"
