Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
BASF,https://www.crunchbase.com/organization/basf,,12,2,"Ludwigshafen, Rheinland-Pfalz, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","BASF is a manufacturing company that offers chemicals for industries such as construction and coatings, automotive, and various sectors.",11,2,4,Active,1865-01-01,year,https://www.basf.com/,https://www.linkedin.com/company/basf/,"Agriculture, Chemical, Industrial Engineering, Manufacturing, Oil and Gas, Product Research","Agriculture and Farming, Data and Analytics, Design, Energy, Manufacturing, Natural Resources, Science and Engineering",1,Friedrich Engelhorn,10001+,,For Profit,Made Acquisitions,Public,"1,032"
Nordic Science Investments,https://www.crunchbase.com/organization/nordic-science-investments,Venture Capital,12,,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",Nordic Science Investments is a VC fund dedicated to transforming groundbreaking scientific research into globally successful companies.,10,,11,Active,2024-02-14,day,https://nordscience.com,https://www.linkedin.com/company/nordic-science-investments-oy,"Finance, Food and Beverage, Health Care, Impact Investing, Industrial, Information Technology, Manufacturing, Medical, Venture Capital","Financial Services, Food and Beverage, Health Care, Information Technology, Lending and Investments, Manufacturing",4,"Alexandra Gylfe, Anssi Uimonen, Jari Strandman, Matti Hautsalo",1-10,"Early Stage Venture, Seed, Venture",,,Private,"1,426"
Ubisoft,https://www.crunchbase.com/organization/ubisoft,,12,1,"Montreuil-sous-bois, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Ubisoft is a producer, publisher, and distributor of interactive entertainment products. ",11,1,,Active,1986-01-01,day,https://www.ubisoft.com,https://www.linkedin.com/company/ubisoft,"Media and Entertainment, Publishing, Video Games","Content and Publishing, Gaming, Media and Entertainment",5,"Christian Guillemot, Claude Guillemot, Gerard Guillemot, Michel Guillemot, Yves Guillemot",10001+,"Seed, Venture",For Profit,Made Acquisitions,Public,"1,575"
QDNL Participations,https://www.crunchbase.com/organization/qdnl-participations,Venture Capital,12,,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",QDNL Participations will invest €15 million into early-stage quantum technology startups in the coming years,8,,7,Active,2022-01-01,year,https://www.qdnlparticipations.nl,https://www.linkedin.com/company/qdnl-participations,Quantum Computing,Science and Engineering,1,Ton van 't Noordende,1-10,"Early Stage Venture, Seed",,,Private,"2,030"
Cornerstone VC,https://www.crunchbase.com/organization/cornerstone-vc,Venture Capital,12,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Cornerstone VC operates as a venture capital firm.,11,,6,Active,2022-01-01,year,https://www.cornerstonevc.co/,https://www.linkedin.com/company/cornerstone-vc/,,,1,Rodney Appiah,1-10,"Early Stage Venture, Seed",,,Private,"2,035"
Pendulum Holdings,https://www.crunchbase.com/organization/pendulum-opportunities,Venture Capital,12,,"Beverly Hills, California, United States","Greater Los Angeles Area, West Coast, Western US",Pendulum is a comprehensive and strategic growth investing and advisory platform for a new generation of business builders and leaders.,12,,12,Active,2019-01-01,year,https://pendulumholdings.com,https://www.linkedin.com/company/pendulumholdings/,"Consulting, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",2,"Danny Rosenthal, Robbie Robinson",11-50,"Early Stage Venture, Seed",For Profit,Was Acquired,Private,"2,253"
Cake Ventures,https://www.crunchbase.com/organization/cake-ventures,Venture Capital,12,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Cake Ventures is an investment firm that invests in companies that address the needs of a world undergoing massive demographic changes.,11,,1,Active,2018-01-01,year,https://cake.vc,https://www.linkedin.com/company/cake-ventures-lp/,"Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",1,Monique Woodard,1-10,Seed,,,Private,"2,823"
Buenavista Equity Partners,https://www.crunchbase.com/organization/ged-capital,"Private Equity Firm, Venture Capital",12,2,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Buenavista Equity Partners is an independent Private Equity group operating in the Iberian Peninsula and South-Eastern Europe.,12,,9,Active,1996-01-01,year,http://www.gedcapital.com/,https://www.linkedin.com/company/buenavista-equity-partners/?originalSubdomain=es,Finance,Financial Services,2,"Enrique Centelles, Felix Guerrero",11-50,Private Equity,,Made Acquisitions,Private,"3,196"
The Footprint Firm,https://www.crunchbase.com/organization/the-footprint-firm,Venture Capital,12,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",The Footprint Firm is an advisory and investment company with a sole focus on sustainability.,11,,3,Active,2019-01-01,year,https://thefootprintfirm.com/,https://www.linkedin.com/company/the-footprint-firm/,,,,,11-50,"Private Equity, Seed",,,Private,"3,666"
Atlantica Ventures,https://www.crunchbase.com/organization/atlantica-ventures-ac1b,Venture Capital,12,,"Lagos, Lagos, Nigeria","Europe, Middle East, and Africa (EMEA)",Atlantica Ventures provide capital to early stage companies in addition to growth support.,11,,7,Active,2018-01-01,year,https://www.atlanticaventures.com/,https://www.linkedin.com/company/atlanticaventures/,Venture Capital,"Financial Services, Lending and Investments",2,"Anikó Szigetvári, Ik Kanu",1-10,Early Stage Venture,,,Private,"3,833"
Vice Ventures,https://www.crunchbase.com/organization/vice-ventures,Venture Capital,12,1,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Vice Ventures is a seed-stage venture capital fund investing in non-traditional sectors.,9,,4,Active,2018-01-01,year,https://www.viceventures.com/,https://www.linkedin.com/company/vice-ventures/?originalSubdomain=ph,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Catharine Dockery,1-10,"Early Stage Venture, Seed",,,Private,"4,362"
Anheuser-Busch InBev,https://www.crunchbase.com/organization/anheuser-busch,,12,1,"Leuven, Vlaams-Brabant, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",Anheuser-Busch InBev is a beer company that offers consumer products.,10,,3,Active,1977-08-02,day,http://ab-inbev.com,https://www.linkedin.com/company/anheuser-busch-inbev,"Brewing, Consumer Goods, Craft Beer, Food and Beverage","Consumer Goods, Food and Beverage",,,10001+,,For Profit,Made Acquisitions,Public,"4,497"
Boost Capital Partners,https://www.crunchbase.com/organization/boost-capital-partners,Venture Capital,12,,"Mayfair, Westminster, United Kingdom","Europe, Middle East, and Africa (EMEA)",Boost Capital Partners invests in pre-seed or seed companies.,11,,5,Active,2022-01-01,year,https://boostcp.vc,https://www.linkedin.com/company/boost-capital-partners,,,1,Alvaro Alvarez del Rio,1-10,"Seed, Venture",,,Private,"5,985"
