Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Ebury,https://www.crunchbase.com/organization/ebury,,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Ebury is a financial services company designed to empower small and medium-sized businesses that want to trade internationally.,1,,2,Active,2009-01-01,year,https://www.ebury.com/,https://www.linkedin.com/company/ebury/,"Business Development, Finance, Financial Exchanges, Financial Services, FinTech, Payments","Financial Services, Lending and Investments, Payments, Professional Services",2,"Juan Lobato, Salvador Garcia",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Private,"1,159"
Canadian Solar,https://www.crunchbase.com/organization/canadian-solar,Private Equity Firm,2,,"Guelph, Ontario, Canada",Great Lakes,"Canadian Solar is a manufacturing company that offers solar photovoltaic modules, inverters, and battery energy storage solutions.",1,,1,Active,2001-01-01,year,https://www.canadiansolar.com,https://www.linkedin.com/company/canadian-solar-inc-,"Energy, Manufacturing, Renewable Energy, Solar","Energy, Manufacturing, Natural Resources, Sustainability",1,Shawn Qu,10001+,,For Profit,Made Acquisitions,Public,"3,300"
Axpo,https://www.crunchbase.com/organization/axpo-group,,2,,"Baden, Aargau, Switzerland","Europe, Middle East, and Africa (EMEA)",Axpo is Switzerlands largest producer of renewable energy & an international leader in energy.,2,,,Active,1914-01-01,year,https://www.axpo.com/,https://www.linkedin.com/company/axpo-group/,"Energy, Renewable Energy","Energy, Sustainability",,,5001-10000,,For Profit,Made Acquisitions,Private,"3,342"
London School of Economics and Political Science,https://www.crunchbase.com/organization/london-school-of-economics,,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",London School of Economics and Political Science is one of the foremost social science universities in the world.,2,,1,Active,1895-01-01,year,http://www.lse.ac.uk/,https://www.linkedin.com/edu/school?id=19926&trk=edu-up-nav-menu-home,"Education, Training, Universities","Education, Other",,,1001-5000,,,,Private,"3,550"
Aalto University,https://www.crunchbase.com/organization/aalto-university,University Program,2,,"Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia","Aalto University is a multidisciplinary institution that combines science, business, and art and design.",2,,,Active,2010-01-01,year,https://www.aalto.fi,https://www.linkedin.com/school/aalto-university,"Education, Higher Education, Universities","Education, Other",,,1001-5000,,,,Private,"3,667"
Kiwi.com,https://www.crunchbase.com/organization/kiwi-com,,2,,"Brno, Jihomoravsky kraj, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Kiwi.com is online travel tech company that consists of an extensive database of more than 800 air and ground carriers worldwide.,2,,2,Active,2012-04-01,day,https://www.kiwi.com/en/,https://www.linkedin.com/company/kiwi.com/,"Leisure, Tourism, Travel","Community and Lifestyle, Travel and Tourism",4,"Jiri Hlavenka, Jozef Képesi, Oliver Dlouhý, Vladimir Končar",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Private,"3,751"
Domain Therapeutics,https://www.crunchbase.com/organization/domain-therapeutics,,2,,"Illkirch, Alsace, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Domain Therapeutics develops small molecules targeting G-coupled protein receptors.,2,,,Active,2001-01-01,year,http://www.domaintherapeutics.com,https://www.linkedin.com/company/2835385,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering",1,Pascal Neuville,101-250,,For Profit,,Private,"4,753"
Apex Fund Services,https://www.crunchbase.com/organization/apex-fund-services,Hedge Fund,2,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Apex provides portfolio valuations, corporate secretarial administration, directorships and listing sponsorships.",2,,1,Active,2003-01-01,year,http://www.apexfundservices.com,http://www.linkedin.com/company/apex-fund-services,"Finance, Financial Services, Information Services","Financial Services, Information Technology",1,Peter Hughes,501-1000,,For Profit,"Made Acquisitions, Was Acquired",Private,"5,293"
SKF Group,https://www.crunchbase.com/organization/skf-group,,2,,"Gothenburg, Vastra Gotaland, Sweden","European Union (EU), Nordic Countries, Scandinavia",SKF has been a global technology provider since 1907. Our strength is the ability to develop technologies and create products.,1,,,Active,1907-01-01,year,http://www.skf.com/,https://www.linkedin.com/company/skf,"Industrial, Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Mechanical Engineering, Software","Manufacturing, Science and Engineering, Software",1,Sven Wingqvist,10001+,,For Profit,Made Acquisitions,Public,"6,957"
Vega IT,https://www.crunchbase.com/organization/vega-it,,2,,"Novi Sad, Vojvodina, Serbia","Europe, Middle East, and Africa (EMEA)","Vega IT is a software company that provides software product development, business analysis, and website development services.",2,,2,Active,2008-01-01,year,https://www.vegait.rs,https://www.linkedin.com/company/vega-it-sourcing,"Mobile Apps, Software, Web Development","Apps, Mobile, Software",1,Vladan Ostojic,501-1000,,For Profit,,Private,"8,605"
