Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Magic Eden,https://www.crunchbase.com/organization/magic-eden,,9,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Magic Eden is an NFT marketplace for users to discover, trade, and create NFTs.",9,,,Active,2021-01-01,year,https://www.magiceden.io,https://www.linkedin.com/company/magic-eden,"Cryptocurrency, Internet, Marketplace, Web3","Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Internet Services, Payments, Software",3,"Jack Lu, Zhuojie Zhou, Zhuoxun Yin",51-100,,For Profit,Made Acquisitions,Private,292
Nebular,https://www.crunchbase.com/organization/nebular-venture-capital,Venture Capital,9,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Nebular Venture Capital is an early-stage venture capital firm.,8,,2,Active,2023-01-01,year,https://www.nebular.vc,https://www.linkedin.com/company/nebularcapital,,,,,1-10,Early Stage Venture,,,Private,"2,076"
Sterling Capital Management,https://www.crunchbase.com/organization/sterling-capital-management,Venture Capital,9,4,"Charlotte, North Carolina, United States","East Coast, Southern US",Sterling Capital Management is a New Castle-based company offering investment management services to high net-worth clients.,6,1,1,Active,1970-01-01,year,http://www.sterling-capital.com,https://www.linkedin.com/company/sterlingcapitalmanagement,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Walter Olin Nisbet III,101-250,Late Stage Venture,,"Made Acquisitions, Was Acquired",Private,"4,811"
Unconventional Ventures,https://www.crunchbase.com/organization/unconventional-ventures-0eb1,Venture Capital,9,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Unconventional Ventures is a Nordic early-stage investment firm.,9,,4,Active,2019-01-01,year,https://www.unconventional.vc/,https://www.linkedin.com/company/unconventional-vc/,Venture Capital,"Financial Services, Lending and Investments",,,11-50,Seed,,,Private,"5,179"
Impact Shakers,https://www.crunchbase.com/organization/impact-shakers,"Accelerator, Entrepreneurship Program, Venture Capital",9,,"Beernem, West-Vlaanderen, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",Impact Shakers is an impact ecosystem tackling societal and environmental challenges through inclusive entrepreneurship.,9,,6,Active,2011-01-01,year,https://www.impactshakers.com/,https://www.linkedin.com/company/impact-shakers/,,,2,"Diana Pati, Yonca Braeckman",1-10,"Early Stage Venture, Seed",For Profit,,Private,"5,891"
Mankind Pharma,https://www.crunchbase.com/organization/mankind-pharma,,9,1,"New Delhi, Delhi, India",Asia-Pacific (APAC),"Mankind Pharma is a pharmaceutical company that develops, commercializes, and delivers medicines for urgent medical needs.",7,,4,Active,1995-01-01,year,https://www.mankindpharma.com,https://www.linkedin.com/company-beta/1629329/,"Health Care, Pharmaceutical",Health Care,1,R.C Juneja,10001+,,For Profit,Made Acquisitions,Public,"7,167"
2xN,https://www.crunchbase.com/organization/2xn,Venture Capital,9,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",2xN operates as a venture capital firm.,6,,2,Active,2021-01-01,year,https://2xn.vc/,https://www.linkedin.com/company/2xn/about/,,,2,"Lars Fjeldsoe-Nielsen, Niels Nielsen",11-50,Seed,,,Private,"7,293"
Hedonova,https://www.crunchbase.com/organization/hedonova,Hedge Fund,9,1,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Global alternative investment management,9,1,,Active,2020-01-01,year,https://www.hedonova.io,https://in.linkedin.com/company/hedonova,"Asset Management, Hedge Funds","Financial Services, Lending and Investments",2,"Alexander Cavendish, Suman Bannerjee",51-100,"Convertible Note, Debt, Early Stage Venture, Private Equity, Secondary Market, Seed, Venture",,Made Acquisitions,Private,"7,299"
Mätch VC,https://www.crunchbase.com/organization/mätch-vc,Venture Capital,9,,"Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Mätch is a purposefully assembled group of friends. Looking for exceptional entrepreneurs who want to move the world forward.,7,,1,Active,2023-01-01,year,https://maetch.vc,https://www.linkedin.com/company/m%C3%A4tch-vc/,"B2B, Industrial","Manufacturing, Other",5,"Adrian Thoma, Benedikt Ilg, Daniel Dilger, Fabian Silberer, Tim Gegg",1-10,"Convertible Note, Early Stage Venture, Seed",,,Private,"7,310"
Apertu Capital,https://www.crunchbase.com/organization/apertu-capital,Venture Capital,9,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",A new fund focused on investing in founders starting up from the open source software community.,9,,3,Active,2020-09-13,day,https://apertucapital.com,,Venture Capital,"Financial Services, Lending and Investments",2,"Don Sheu, Enrico Marini Fichera",1-10,"Early Stage Venture, Seed",,,Private,"8,761"
