Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Y Combinator,https://www.crunchbase.com/organization/y-combinator,Accelerator,"7,413",640,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Y Combinator is a startup accelerator that invests in a wide range of startups.,"5,731",25,"2,895",Active,2005-03-01,day,http://www.ycombinator.com,https://www.linkedin.com/school/y-combinator,"Artificial Intelligence (AI), Augmented Reality, Finance, Financial Services, Robotics, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software",5,"Armand Cognetta, Jessica Livingston, Paul Graham, Robert Morris, Trevor Blackwell",51-100,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",For Profit,,Private,19
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,230",545,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,756",15,"3,284",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",7,"Brad Feld, David Brown, David Cohen, Jakub Kulisa, Jared Polis, Mike Romano, Nikita Gupta",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,139
EASME,https://www.crunchbase.com/organization/easme,Government Office,"3,670",284,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",EASME is a European Union agency that supports small and medium-sized enterprises and manages projects in various sectors.,"3,447",62,"1,097",Active,2004-01-01,year,https://eismea.ec.europa.eu,https://www.linkedin.com/company/executive-agency-for-small-and-medium-sized-enterprises-easme,"Government, Innovation Management, Small and Medium Businesses","Government and Military, Other, Professional Services",1,Carlos Moedas,251-500,,,,Private,"13,575"
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Investment Bank, Micro VC, Venture Capital","3,182",406,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"2,441",20,488,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Finance, Financial Services, Funding Platform, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private,487
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,875",81,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,447",8,"1,150",Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private,"1,148"
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"Accelerator, Co-Working Space, University Program, Venture Capital","2,206",198,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Plug and Play connects startups with corporations and investors across multiple industries.,"1,804",11,257,Active,2006-01-01,day,https://www.plugandplaytechcenter.com,https://www.linkedin.com/company/plug-and-play-tech-center,"Financial Services, FinTech, Smart Cities, Venture Capital","Financial Services, Lending and Investments, Real Estate",4,"Ali Safavi, Jackie Hernandez, Jojo Flores, Saeed Amidi",501-1000,"Early Stage Venture, Non Equity Assistance, Private Equity, Seed",,,Private,17
Bpifrance,https://www.crunchbase.com/organization/bpifrance,"Government Office, Investment Bank","1,524",184,"Maisons-alfort, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bpifrance provides financial solutions for companies that are booting up the listing on the stock exchange and credit equity.,"1,242",52,403,Active,2012-12-31,day,https://www.bpifrance.com,https://www.linkedin.com/company/bpifrance,"Enterprise Software, Financial Services, FinTech, Internet of Things, Mobile","Financial Services, Internet Services, Mobile, Software",,,1001-5000,"Debt, Early Stage Venture, Grant, Private Equity, Seed",,Made Acquisitions,Private,7
SV Angel,https://www.crunchbase.com/organization/sv-angel,Venture Capital,"1,475",480,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",SVA is a venture fund that supports entrepreneurs in building lasting companies.,"1,171",53,31,Active,1992-01-01,year,http://www.svangel.com,https://www.linkedin.com/company/sv-angel,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"David Lee, Ronald Conway",1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,384
Venture Kick,https://www.crunchbase.com/organization/venturekick,Incubator,"1,375",72,"Schlieren, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","Venture Kick is a private, philanthropic initiative that provides pre-seed funding to entrepreneurs from Swiss universities.",839,4,"1,277",Active,2007-09-01,day,http://www.venturekick.ch,https://www.linkedin.com/company/venture-kick/,,,3,"Beat Schillig, Jordi Montserrat, Pascale Vonmont",11-50,"Convertible Note, Debt, Early Stage Venture, Grant, Non Equity Assistance, Seed",For Profit,,Private,"4,087"
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Venture Capital,"1,221",262,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,655,52,486,Active,1996-01-01,year,http://www.indexventures.com,http://www.linkedin.com/company/index-ventures,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"David Rimer, Giuseppe Zocco, Neil Rimer, Terrence Rohan",101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,236
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,"Hedge Fund, Private Equity Firm, Venture Capital","1,210",176,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Tiger Global Management is an investment firm that invests in global public and private companies.,788,87,699,Active,2001-03-01,month,https://www.tigerglobal.com,https://www.linkedin.com/company/tiger-global-management,"Finance, Financial Services, Hedge Funds, Venture Capital","Financial Services, Lending and Investments",1,Chase Coleman,101-250,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",,,Private,"1,631"
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Entrepreneurship Program, Venture Capital","1,158",69,"Swindon, Wiltshire, United Kingdom","Europe, Middle East, and Africa (EMEA)","Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.",932,29,854,Active,1959-07-01,day,http://www.innovateuk.gov.uk,https://www.linkedin.com/company/innovateuk,"Finance, Financial Services, Government","Financial Services, Government and Military",1,Richard J Hebdon,101-250,Grant,For Profit,,Private,"1,933"
Wayra,https://www.crunchbase.com/organization/wayra,Corporate Venture Capital,"1,136",53,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Wayra connects Telefonica and technological disruptors around the world.,685,1,81,Active,2011-01-01,year,https://www.wayra.com,https://www.linkedin.com/company/wayra,"Business Development, Incubators, Innovation Management","Financial Services, Lending and Investments, Professional Services",1,Marta Antunez,101-250,"Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,,Private,"1,169"
Start-Up Chile,https://www.crunchbase.com/organization/start-up-chile,Accelerator,"1,076",46,"Santiago, Region Metropolitana, Chile",Latin America,Start-Up is a public startup accelerator created by the Chilean Government for global entrepreneurs to bootstrap their startups.,"1,014",1,175,Active,2010-04-06,day,http://startupchile.org,https://www.linkedin.com/company/start-up-chile,"Innovation Management, Market Research, Social Entrepreneurship","Community and Lifestyle, Data and Analytics, Design, Professional Services, Social Impact",3,"Charles Van Norman, Diego Philippi, Nicolás Shea",11-50,"Early Stage Venture, Grant, Seed",,,Private,"20,221"
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital","1,000",105,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,700,11,256,Active,2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,"Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,11-50,"Early Stage Venture, Private Equity, Seed",,,Private,"4,113"
