Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,187",527,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"3,257","4,714",15,Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Financial Services, Lending and Investments, Professional Services","Consulting, Finance, Financial Services, FinTech, Incubators",5,"Brad Feld, David Brown, David Cohen, Jared Polis, Mike Romano",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Micro VC, Venture Capital","3,179",399,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,485,"2,435",20,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Financial Services, Internet Services, Lending and Investments","Finance, Financial Services, Funding Platform, Internet, Venture Capital",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,884",80,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,149","1,445",8,Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,Venture Capital,"2,235",611,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",New Enterprise Associates is a venture capital firm that focuses on investments in technology and healthcare startups.,792,"1,197",219,Active,1977-01-01,day,http://www.nea.com,https://www.linkedin.com/company/new-enterprise-associates,"Financial Services, Health Care, Lending and Investments, Other","Consumer, Finance, Financial Services, Health Care, Venture Capital",3,"Chuck Newhall, Frank A. Bonsal, Richard Kramlich",101-250,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture",,Made Acquisitions,Private
Bossa Invest,https://www.crunchbase.com/organization/bossanova-investimentos,Venture Capital,"2,205",229,"São Paulo, Sao Paulo, Brazil",Latin America,Bossa Invest manages investment portfolios and provides asset management services to clients in various sectors.,58,"1,671",23,Active,2011-01-01,year,http://www.bossainvest.com,https://www.linkedin.com/company/bossanova-investimentos,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Joao Kepler Braga, Pierre Schurmann",11-50,"Early Stage Venture, Seed, Venture",,,Private
Accel,https://www.crunchbase.com/organization/accel,Venture Capital,"2,179",394,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,881,"1,060",68,Active,1983-01-01,year,http://www.accel.com,https://www.linkedin.com/company/accel-vc,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Arthur Patterson, Jim Swartz",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,Venture Capital,"2,129",421,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",794,"1,192",129,Active,1972-11-01,day,http://www.sequoiacap.com,http://www.linkedin.com/company/sequoia,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Donald Valentine, W. M. Coughran",101-250,"Crowdfunding, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"Accelerator, Co-Working Space, University Program, Venture Capital","2,005",194,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Plug and Play is an innovation platform bringing together startups and large corporations.,236,"1,628",11,Active,2006-01-01,year,https://www.plugandplaytechcenter.com,https://www.linkedin.com/company/plug-and-play-tech-center,"Commerce and Shopping, Financial Services, Lending and Investments, Real Estate","Financial Services, FinTech, InsurTech, Retail, Smart Cities, Venture Capital",4,"Ali Safavi, Jackie Hernandez, Jojo Flores, Saeed Amidi",501-1000,"Early Stage Venture, Non Equity Assistance, Private Equity, Seed",,,Private
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,"Angel Group, Hedge Fund, Micro VC, Venture Capital","1,979",176,"Manchester, New Hampshire, United States","East Coast, New England, Northeastern US",Alumni Ventures Group is an venture capital investment firm that manages fund families that invest in a portfolio of companies.,411,"1,484",22,Active,2014-01-01,year,http://www.av.vc,https://www.linkedin.com/company/alumniventures,"Financial Services, Lending and Investments, Professional Services","Angel Investment, Business Development, Venture Capital",3,"Luke Antal, Michael Collins, Michael Madden",251-500,"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private
Antler,https://www.crunchbase.com/organization/antler-be9c,Venture Capital,"1,737",11,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Antler is a venture capital firm that focuses on early stage investments for startups.,762,"1,490",,Active,2018-01-01,year,https://antler.co,https://www.linkedin.com/company/antlerglobal,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",20,"Adryz Arriffin, Crystal Kendzior, Daniel Dudas- Schwarz, Dilan Mizrakli Landgraff, Edwin Fong, Fridtjof Berge, Hoang Tran, Juan Barragan, Jussi Salovaara, Khie Sydney Udag, Magnus Grimeland, Oswaldo Alvarez, Philip Causgrove, Rajesh Rai, Rudine Mottaghian, Sam Hogan, Sereen Teoh, Stefan Jung, Tristan Marino, Vegard Medbo",251-500,"Early Stage Venture, Seed, Venture",For Profit,,Private
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,Venture Capital,"1,684",248,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,757,935,39,Active,2009-06-01,month,http://www.a16z.com,https://www.linkedin.com/company/a16z,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Venture Capital",2,"Ben Horowitz, Marc Andreessen",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",,Made Acquisitions,Private
Intel Capital,https://www.crunchbase.com/organization/intel-capital,Corporate Venture Capital,"1,606",508,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.",560,"1,063",89,Active,1991-01-01,year,http://www.intelcapital.com,https://www.linkedin.com/company/intelcapital,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"Dave Johnson, Les Vadasz, Peter Levin",51-100,"Convertible Note, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,,Private
FJ Labs,https://www.crunchbase.com/organization/fj-labs,"Micro VC, Venture Capital","1,564",111,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,60,"1,009",17,Active,2015-01-01,year,http://www.fjlabs.com,https://www.linkedin.com/company/fj-labs,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Fabrice Grinda, Jose Marin",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,Venture Capital,"1,493",250,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",541,840,37,Active,2000-01-01,year,http://lsvp.com,http://www.linkedin.com/company/lightspeed-venture-partners,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",4,"Barry Eggers, Christopher Schaepe, Peter Nieh, Ravi Mhatre",101-250,"Early Stage Venture, Late Stage Venture, Seed",,,Private
