Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Translated,https://www.crunchbase.com/organization/translated,Venture Capital,2,,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","Professional translation services made easy. Crafted by expert humans, powered by technology, efficiently delivered.",2,,1,Active,1999-05-13,day,https://translated.com/,https://www.linkedin.com/company/translated/,"Local, Machine Learning, Natural Language Processing, Neuroscience, Public Relations, Translation Service","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software",2,"Isabelle Andrieu, Marco Trombetti",251-500,,For Profit,,Private,"2,764"
Avaloq,https://www.crunchbase.com/organization/avaloq-2,,2,1,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Avaloq group is an international fintech company that digitizes the automation of financial services industry.,2,,1,Active,1991-01-01,year,https://www.avaloq.com/,https://www.linkedin.com/company-beta/22027/,"Banking, Financial Services, FinTech, Software","Financial Services, Lending and Investments, Software",3,"Francisco Fernandes, Francisco Fernandez, Ronald Strässler",1001-5000,,For Profit,"Made Acquisitions, Was Acquired",Private,"3,023"
Nortal,https://www.crunchbase.com/organization/nortal-as,,2,1,"Tallinn, Harjumaa, Estonia","European Union (EU), Europe, Middle East, and Africa (EMEA)","Nortal is a professional services company, specializing in strategy and technology consulting and information technology services.",2,,1,Active,2000-01-01,year,http://www.nortal.com,http://www.linkedin.com/company/nortal,"Consulting, Information Technology, Professional Services, Software","Information Technology, Other, Professional Services, Software",2,"Priit Alamäe, Tadas Langaitis",1001-5000,,For Profit,Made Acquisitions,Private,"3,104"
Enel,https://www.crunchbase.com/organization/enel,,2,1,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Enel is a power company specializing in the power and gas markets.,2,,1,Active,1962-11-27,day,https://www.enel.com/,https://www.linkedin.com/company/enelgroup/,"Energy, Energy Storage, Hydroelectric, Oil and Gas","Energy, Natural Resources, Sustainability",1,Antonio Segni,10001+,,For Profit,Made Acquisitions,Public,"3,127"
Grupa Pracuj,https://www.crunchbase.com/organization/grupa-pracuj,,2,,"Warsaw, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)","Grupa Pracuj, the owner of GP HR VENTURES, is the fastest developing technological companies in Central Europe providing HR solutions.",2,,,Active,2000-01-01,year,http://grupapracuj.pl/,http://www.linkedin.com/company/30360,"Employment, Human Resources, Internet, Recruiting, SaaS, Software","Administrative Services, Internet Services, Professional Services, Software",3,"Maciej Artur Noga, Paweł Leks, Przemek Gacek",501-1000,,For Profit,Made Acquisitions,Public,"5,213"
"Bombardier, Inc",https://www.crunchbase.com/organization/bombardier-inc,,2,,"Montréal, Quebec, Canada",,Bombardiergoal is to continuously find better ways to bridge distances and bring people together.,2,,,Active,1942-01-01,year,http://www.bombardier.com/en,https://www.linkedin.com/company/bombardier_inc,"Aerospace, Automotive, Manufacturing, Transportation","Manufacturing, Science and Engineering, Transportation",1,Joseph Bombardier,10001+,,For Profit,Made Acquisitions,Public,"6,145"
GEMS Education,https://www.crunchbase.com/organization/gems-education,,2,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",GEMS Education is a network of private schools and educational institutes that offers K-12 private education.,2,,1,Active,1959-01-01,year,http://gemseducation.com/,https://www.linkedin.com/company/gems-education,"E-Learning, EdTech, Education, Higher Education","Education, Software",1,Sunny Varkey,10001+,,,Made Acquisitions,Private,"6,353"
Reig Jofre,https://www.crunchbase.com/organization/reig-jofre,,2,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Reig Jore produces drugs, penicillin antibiotics, and other pharmaceutical products.",2,,,Active,1929-01-01,year,http://www.reigjofre.com/,https://www.linkedin.com/company/laboratorio-reig-jofre/,"Biotechnology, Consulting, Health Care, Life Science, Manufacturing, Pharmaceutical","Biotechnology, Health Care, Manufacturing, Professional Services, Science and Engineering",,,1001-5000,,For Profit,,Private,"6,727"
Quint Group,https://www.crunchbase.com/organization/quint-group,Venture Capital,2,,"Macclesfield, Cheshire East, United Kingdom","Europe, Middle East, and Africa (EMEA)","Quint is a international, highly innovative fintech Group operating in consumer finance markets globally.",2,,2,Active,2009-01-01,year,http://www.quint.co.uk/,https://www.linkedin.com/company/quintgroup/,"Financial Services, FinTech",Financial Services,1,Gregory Cox,51-100,Seed,For Profit,,Private,"10,001"
Dyadic International,https://www.crunchbase.com/organization/dyadic-international,,2,,"Jupiter, Florida, United States","Greater Miami Area, East Coast, Southern US","Dyadic International is a biotechnology company, developing and manufacturing bio-based chemicals.",2,,1,Active,1979-01-01,year,http://dyadic.com,https://www.linkedin.com/company/dyadic-international-inc.,"Biopharma, Biotechnology, Manufacturing","Biotechnology, Health Care, Manufacturing, Science and Engineering",1,Mark Emalfarb,51-100,,For Profit,,Public,"10,570"
Satellite Applications Catapult,https://www.crunchbase.com/organization/satellite-applications-catapult,,2,1,"Swindon, Wiltshire, United Kingdom","Europe, Middle East, and Africa (EMEA)",The Satellite Applications Catapult is an elite UK technology and innovation centre focused on space satellites and related R&D.,1,,,Active,2012-01-01,year,https://sa.catapult.org.uk,http://www.linkedin.com/company/2836411,Hardware,Hardware,,,51-100,,For Profit,,Private,"10,589"
Elikonos Capital Partners,https://www.crunchbase.com/organization/elikonos-jeremie-sca-sicar,"Private Equity Firm, Venture Capital",2,,"Athens, Attiki, Greece","European Union (EU), Europe, Middle East, and Africa (EMEA)",Elikonos is a private equity firm pursuing investment opportunities in growth companies.,2,,1,Active,2012-01-01,year,http://www.elikonos.com,,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Panagiotis Solomos, Pantelis Papageorgiou",11-50,"Early Stage Venture, Late Stage Venture",,,Private,"11,528"
Rotterdam Port Fund,https://www.crunchbase.com/organization/rotterdam-port-fund,Venture Capital,2,,"Rotterdam, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Rotterdam Port Fund supports management teams with capital, knowledge, and network for further growth and long-term activity.",2,,,Active,2016-01-01,year,http://www.rotterdamportfund.com/nl/,https://www.linkedin.com/company/rotterdam-port-fund,,,,,1-10,,,,Private,"11,653"
KeyCapital,https://www.crunchbase.com/organization/keycapital,,2,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Key Capital offers advice and expertise on capital markets, corporate finance wealth management.",2,,,Active,2001-01-01,year,https://www.keycapital.ie/,https://www.linkedin.com/company/key-capital/,"Finance, Financial Services",Financial Services,,,11-50,,For Profit,,Private,"13,107"
MorphoSys,https://www.crunchbase.com/organization/morphosys,,2,2,"Planegg, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",MorphoSys is a biotechnology company focused on the research and development of fully human antibodies.,2,,,Active,1992-01-01,year,http://www.morphosys.com,https://www.linkedin.com/company/morphosys-ag/,"Biotechnology, Health Care, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",2,"Andreas Pluckthun, Simon E. Moroney",501-1000,,For Profit,Made Acquisitions,Public,"13,285"
Aplazame,https://www.crunchbase.com/organization/aplazame,,2,1,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Aplazame is a consumer credit company that provides instant financing service for online purchases.,1,,,Active,2014-07-29,day,http://aplazame.com/,https://www.linkedin.com/company/aplazame/,"E-Commerce, Finance, Financial Services, FinTech, Retail","Commerce and Shopping, Financial Services",3,"Daniel Molina, Fernando Cabello-Astolfi, François Derbaix",1-10,,For Profit,Was Acquired,Private,"13,912"
K+S,https://www.crunchbase.com/organization/k-s-group-305e,,2,,"Kassel, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","K+S is a mining company that supplies mineral products for the agriculture, industry, consumer, and community sectors.",1,,,Active,1889-01-01,year,https://www.kpluss.com,https://www.linkedin.com/company/k-s-group,"Agriculture, Chemical, Mining, Sustainability, Waste Management","Agriculture and Farming, Natural Resources, Science and Engineering, Sustainability",,,10001+,,For Profit,,Public,"14,944"
Movistar,https://www.crunchbase.com/organization/movistar,,2,,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Movistar is a Spanish mobile phone operator offering fixed and mobile telephony and broadband services for its clients. ,2,,1,Active,1995-07-25,day,https://www.movistar.com/es/,,"Mobile, Telecommunications","Hardware, Mobile",,,1001-5000,,For Profit,,Private,"14,973"
OneSpan,https://www.crunchbase.com/organization/vasco,,2,1,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",OneSpan is a cybersecurity provider in the financial services industry specializing in digital identity and anti-fraud solutions.,2,,,Active,1991-07-01,month,https://www.onespan.com,https://www.linkedin.com/company/onespan/?originalSubdomain=in,"Cyber Security, Financial Services, FinTech, Information Technology, InsurTech, SaaS, Security","Financial Services, Information Technology, Privacy and Security, Software",1,Thomas Kendall Hunt,501-1000,,For Profit,Made Acquisitions,Public,"15,265"
MTS StartUp Hub,https://www.crunchbase.com/organization/mts-startup-hub,"Accelerator, Corporate Venture Capital, Incubator",2,,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Innovations and Investments department of MTS,2,,2,Active,2018-03-01,month,https://startup.mts.ru/,https://www.linkedin.com/company/mtsstartuphub,"E-Commerce, Finance, Financial Services, Health Care, Information Technology, Internet, Software","Commerce and Shopping, Financial Services, Health Care, Information Technology, Internet Services, Software",,,11-50,"Seed, Venture",,,Private,"15,322"
