Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
King's College London,https://www.crunchbase.com/organization/kings-college-london,University Program,1,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","King's College London is a public research university that offers undergraduate, postgraduate, and doctoral programs.",1,,,Active,1829-01-01,year,http://kcl.ac.uk,https://www.linkedin.com/school/king's-college-london,"Education, Higher Education, Universities","Education, Other",2,"Arthur Wellesley, King George IV",5001-10000,,,,Private,871
Butternut Box,https://www.crunchbase.com/organization/butternut-box,Private Equity Firm,1,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Butternut Box is a pet food company that offers fresh food and customized meals for dogs.,1,,,Active,2016-01-01,year,https://butternutbox.com,https://www.linkedin.com/company/butternut-box,"E-Commerce, Pet, Subscription Service","Commerce and Shopping, Community and Lifestyle, Other",3,"David Nolan, Kevin Glynn, Mary Nolan",501-1000,,For Profit,Made Acquisitions,Private,"1,352"
AB Tasty,https://www.crunchbase.com/organization/ab-tasty,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","AB Tasty offers AI-driven experimentation, personalization, and product optimization platforms for user testing.",1,,,Active,2009-12-12,day,http://www.abtasty.com,http://www.linkedin.com/company/ab-tasty,"A/B Testing, Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software, Test and Measurement, Usability Testing","Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",2,"Alix Sagazan, Remi Aubert",251-500,,For Profit,Made Acquisitions,Private,"4,402"
Notonthehighstreet,https://www.crunchbase.com/organization/notonthehighstreet,,1,,"Richmond, Richmond upon Thames, United Kingdom","Europe, Middle East, and Africa (EMEA)",Notonthehighstreet is a curated online marketplace that enables consumers to browse through and purchase items from diverse sellers.,1,,,Active,2006-04-04,day,http://www.notonthehighstreet.com,https://www.linkedin.com/company/notonthehighstreet-com,"E-Commerce, Gift, Marketplace, Retail",Commerce and Shopping,2,"Holly Tucker, Sophie Cornish",101-250,,For Profit,Was Acquired,Private,"8,972"
Tinyclues,https://www.crunchbase.com/organization/tinyclues,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Tinyclues is the only solution that allows brands to scale their customer marketing by predicting unexpressed customer demand.,1,,,Active,2010-04-01,day,http://www.tinyclues.com,,"Analytics, Big Data, CRM","Data and Analytics, Information Technology, Sales and Marketing, Software",3,"Ardavan Beigui, David Bessis, Jakob Haesler",11-50,,For Profit,Was Acquired,Private,"9,554"
Uchi.ru,https://www.crunchbase.com/organization/uchi-ru,,1,,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Uchi.ru offers online courses for school students.,1,,,Active,2012-01-01,year,https://uchi.ru/,https://www.linkedin.com/company/uchi.ru/,E-Learning,"Education, Software",3,"Ivan Kolomoets, Vladimir Zubrilin, Yevgeny Milyutin",501-1000,,For Profit,"Made Acquisitions, Was Acquired",Private,"10,425"
Asics,https://www.crunchbase.com/organization/asics,,1,,"Hyogo, Hokkaido, Japan",Asia-Pacific (APAC),Asics is a sports apparel company that contribute to society by fostering young people through sports.,1,,,Active,1977-01-01,year,https://www.asics.com/,https://www.linkedin.com/company/51037/,"Apparel, Parenting, Sporting Goods, Sports","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Sports",1,Kihachiro Onitsuka,5001-10000,,For Profit,Made Acquisitions,Public,"15,823"
Fieldfisher,https://www.crunchbase.com/organization/fieldfisher-llp,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Fieldfisher is a leading full service international law firm.,1,,,Active,1989-01-01,year,http://www.fieldfisher.com/,https://www.linkedin.com/company/fieldfisher/,"Consulting, Legal",Professional Services,,,251-500,,For Profit,,Private,"16,787"
La Belle Assiette,https://www.crunchbase.com/organization/la-belle-assiette,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",La Belle Assiette is an online private chef booking platform.,1,,,Active,2012-02-01,day,https://labelleassiette.co.uk,http://www.linkedin.com/company/la-belle-assiette,"Catering, Event Management, Online Portals","Events, Food and Beverage, Internet Services, Media and Entertainment",2,"Giorgio Riccò, Stephen Leguillon",11-50,,For Profit,,Private,"17,915"
FIME,https://www.crunchbase.com/organization/fime,,1,,"Goulles, Limousin, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","FIME advances end-to-end transaction solutions and mobile services, enabling market security and interoperability.",1,,1,Active,1962-01-01,year,https://www.fime.com,https://www.linkedin.com/company/fime,"Information Services, Information Technology",Information Technology,1,Lionel Grosclaude,501-1000,,For Profit,"Made Acquisitions, Was Acquired",Private,"19,369"
