Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Goodwings,https://www.crunchbase.com/funding_round/goodwings-seed--26d777dd,Goodwings,https://www.crunchbase.com/organization/goodwings,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-04-09,20000000,DKK,2933990,Seed,,,,Yes,Goodwings provides service by generating new revenue for social and envionmental changes through hotel bookings and contributions.,"Social, Travel",,http://www.goodwings.com,$1M to $10M,4433990,USD,4433990,Seed,2,,"Anders Colding Friis, Arve Andresen, Christina Topsøe, Global Cleantech Capital, Lars Thuesen., Nicholas Hammeken, Patrick Diemer",1,7,554
Seed Round - Tradeworks.io,https://www.crunchbase.com/funding_round/magick-nu-seed--298e105f,Tradeworks.io,https://www.crunchbase.com/organization/magick-nu,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2013-08-15,250000,USD,250000,Seed,2000000,USD,2000000,Yes,Tradeworks is an independent software developer specializing in financial trade automation technology.,"Accounting, Big Data, Cloud Computing, Finance, Financial Services, FinTech, SaaS, Software",,http://www.tradeworks.io,$1M to $10M,1290000,USD,1290000,Seed,4,,,,,"230,305"
Seed Round - Capra Robotics,https://www.crunchbase.com/funding_round/capra-robotics-seed--28a8c520,Capra Robotics,https://www.crunchbase.com/organization/capra-robotics,Seed,"Hasselager, Midtjylland, Denmark, Europe",2025-01-15,11300000,EUR,11631833,Seed,,,,Yes,Capra Robotics is a patented platform for outdoor mobile robots.,"Industrial Automation, Industrial Engineering",,https://www.capra.ooo/,,11300000,EUR,11631833,Seed,2,"Promus Ventures, Supernova Invest","Export and Investment Fund, Promus Ventures, Summiteer, Supernova Invest",2,4,"8,560"
Seed Round - Draupnir Bio,https://www.crunchbase.com/funding_round/draupnir-bio-seed--207d06d7,Draupnir Bio,https://www.crunchbase.com/organization/draupnir-bio,Seed,"Risskov, Midtjylland, Denmark, Europe",2024-07-17,90000000,DKK,13198813,Seed,,,,Yes,Draupnir Bio is developing a new type of cholesterol-lowering medicine which prevents blood clots in the heart.,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",,http://www.draupnir.bio/,$10B+,46198813,USD,46198813,Seed,2,"Export and Investment Fund, MP Healthcare Venture Management","Export and Investment Fund, Gilde Healthcare, Inkef, MP Healthcare Venture Management, Novo Holdings",,5,"12,067"
Seed Round - Portchain,https://www.crunchbase.com/funding_round/portchain-seed--162e0b36,Portchain,https://www.crunchbase.com/organization/portchain,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-02-09,5000000,USD,5000000,Seed,,,,Yes,Using technology to solve the hardest operational problems in shipping.,"Artificial Intelligence (AI), B2B, Enterprise Software, Machine Learning, Management Consulting, SaaS, Shipping, UX Design",,http://www.portchain.com,$1M to $10M,5000000,USD,5000000,Seed,1,Angular Ventures,"Angular Ventures, MK Ventures",1,2,"20,844"
Seed Round - Kvasir Technologies,https://www.crunchbase.com/funding_round/kvasir-technologies-1752-seed--29f1d492,Kvasir Technologies,https://www.crunchbase.com/organization/kvasir-technologies-1752,Seed,"Søborg, Hovedstaden, Denmark, Europe",2024-02-22,3000000,EUR,3247681,Seed,,,,Yes,Kvasir Technologies is a corporation that develops sustainable biofuels.,"Biomass Energy, Electrical Distribution, Manufacturing",,https://www.kvasirtechnologies.com,$1M to $10M,5150000,EUR,5584193,Seed,2,"Export and Investment Fund, The Footprint Firm","Export and Investment Fund, The Footprint Firm",2,2,"23,843"
Seed Round - Ready Bathroom,https://www.crunchbase.com/funding_round/ready-bathroom-seed--4d79848b,Ready Bathroom,https://www.crunchbase.com/organization/ready-bathroom,Seed,"Vedbæk, Hovedstaden, Denmark, Europe",2023-11-29,,,,Seed,,,,Yes,"Ready Bathroom manufactures and distributes modular bathrooms for a variety of residential, commercial, and utility projects.","Commercial, Construction, Manufacturing",,https://www.readybathroom.com,,,,,Seed,1,Vinci,Vinci,1,1,"23,859"
Seed Round - Claimlane,https://www.crunchbase.com/funding_round/claimlane-seed--f8d8a323,Claimlane,https://www.crunchbase.com/organization/claimlane,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-05-28,1800000,EUR,1953233,Seed,,,,Yes,Claimlane is a returns and claims management system for brands and retailers that streamlines complex returns processes.,"Fashion, Information Technology, Wholesale",,http://www.claimlane.com,$1M to $10M,2339287,USD,2339287,Seed,3,Vendep Capital,"Nicolaj Reffstrup, Vendep Capital",1,2,"27,956"
Seed Round - Chromologics,https://www.crunchbase.com/funding_round/chromologics-seed--adff8674,Chromologics,https://www.crunchbase.com/organization/chromologics,Seed,"Søborg, Hovedstaden, Denmark, Europe",2023-03-06,7100000,EUR,7587448,Seed,,,,Yes,Chromologics develops innovative natural food colorants.,"Biotechnology, Chemical, Chemical Engineering",,https://www.chromologics.com/,$1M to $10M,13000000,EUR,14682780,Seed,4,"Blue Horizon Corporation, Export and Investment Fund, Giampaolo Cagnin, Nordic Foodtech VC, Novo Holdings, Synergetic, Vaekstfonden","Blue Horizon Corporation, Döhler Ventures, Export and Investment Fund, Giampaolo Cagnin, Nordic Foodtech VC, Novo Holdings, Synergetic, Thia Ventures, Vaekstfonden",4,9,"35,350"
Seed Round - Parent,https://www.crunchbase.com/funding_round/parent-seed--68764061,Parent,https://www.crunchbase.com/organization/parent,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-05-09,1500000,USD,1500000,Seed,,,,Yes,"Revolutionizing and simplifies childcare management, enriches children’s early education, and streamlines communication with parents.","Child Care, Children, EdTech, Education, Enterprise Resource Planning (ERP), SaaS, Software",,https://parent.cloud/,$1M to $10M,5100000,USD,5100000,Seed,5,,,,,"38,764"
