Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Diagnoly,https://www.crunchbase.com/funding_round/diagnoly-seed--a56258fd,Diagnoly,https://www.crunchbase.com/organization/diagnoly,Seed,"Lyon, Rhone-Alpes, France, Europe",2025-04-08,5500000,EUR,6029380,Seed,,,,Yes,Diagnoly is an AI-powered medical hardware device for prenatal detection of fetal abnormalities in real-time.,"Artificial Intelligence (AI), Machine Learning, Medical Device, Software",,https://diagnoly.com/,,6400000,EUR,7048095,Seed,4,"Mutuelles Impact, Newfund, XAnge","Les Business Angels des Grandes Écoles, Mutuelles Impact, Newfund, XAnge",2,4,"2,012"
Seed Round - Tract'Moi,https://www.crunchbase.com/funding_round/tract-moi-seed--440bb7f2,Tract'Moi,https://www.crunchbase.com/organization/tract-moi,Seed,"Cugand, Pays de la Loire, France, Europe",2025-03-28,750000,EUR,815662,Seed,,,,Yes,Tract'Moi is a company that makes farming equipment for farmers.,Machinery Manufacturing,,https://tractmoi.com/,,750000,EUR,815662,Seed,1,,"ABAB (Atlantic Business Angels Booster), BNP Paribas, Credit Agricole Atlantique Vendee, France Active Provence-Alpes-Côte d'Azur, Pays de la Loire Participations",,5,"2,275"
Seed Round - Evera,https://www.crunchbase.com/funding_round/riskee-seed--2e3f5b60,Evera,https://www.crunchbase.com/organization/riskee,Seed,"Toulouse, Midi-Pyrenees, France, Europe",2025-03-17,2000000,EUR,2175980,Seed,,,,Yes,"Evera, making electric mobility (EV) evident and accessible for everyone.","Financial Services, Insurance, Online Portals, Quality Assurance",,https://www.evera.co,Less than $1M,4200000,EUR,4329625,Seed,2,,"astorya.vc, Baltis, Eric Ibled, Groupe Magellim, MCAPITAL, Newfund",1,6,"2,698"
Seed Round - Purchasely,https://www.crunchbase.com/funding_round/purchasely-seed--e95bf065,Purchasely,https://www.crunchbase.com/organization/purchasely,Seed,"Paris, Ile-de-France, France, Europe",2021-06-17,1800000,EUR,2144310,Seed,,,,Yes,"SaaS, Payment, Subscription platform, Mobile App, TV App","Mobile Apps, Mobile Payments, SaaS, Software",,https://www.purchasely.com,$1M to $10M,1800000,EUR,2144310,Seed,1,Stride.VC,"Adrien Miniatti, Amirhossein Malekzadeh, Antoine Martin, Eduardo Ronzano, Grégoire Mercier, Guillaume Luccisano, Guillaume Sztejnberg, Hervé Nivon, Jean-David Blanc, Jérôme Le Feuvre, Kima Ventures, Niklas Jansen, Renate Nyborg, Stride.VC, Thibaud Elziere",2,15,"4,734"
Seed Round - Ostrea,https://www.crunchbase.com/funding_round/ostrea-6627-seed--58294465,Ostrea,https://www.crunchbase.com/organization/ostrea-6627,Seed,"Rennes, Bretagne, France, Europe",2025-03-10,5000000,EUR,5419755,Seed,,,,Yes,OSTREA is an industrial startup specializing in the manufacture of an innovative material from recycled shells.,"Furniture, Home Decor, Manufacturing",,https://www.ostreadesign.com/,,5000000,EUR,5419755,Seed,1,,"BNP Paribas Développement, Bpifrance",2,2,"5,486"
Seed Round - Eden AI,https://www.crunchbase.com/funding_round/eden-ai-seed--1d7cb995,Eden AI,https://www.crunchbase.com/organization/eden-ai,Seed,"Lyon, Rhone-Alpes, France, Europe",2024-11-21,3000000,EUR,3140730,Seed,,,,Yes,A unique API connected to the best AI engines and combined with a powerful management platform,"Artificial Intelligence (AI), Computer Vision, Developer APIs, Facial Recognition, Machine Learning, Software, Speech Recognition, Text Analytics, Translation Service",,https://www.edenai.co,$1M to $10M,4500000,EUR,4723895,Seed,2,Galion.exe,"50 Partners, Alix Sagazan, BNP Paribas, Bpifrance, Didier Kuhn, Galion.exe, Gilles Samoun, Justin Ziegler, Olivier Pomel, Remi Aubert, Sebastien Pahl, Societe Generale, Super Capital, Wendel, Yannis Yahiaoui",6,15,"5,607"
Pre Seed Round - ToumAI Analytics,https://www.crunchbase.com/funding_round/toumai-analytics-pre-seed--15ce43b6,ToumAI Analytics,https://www.crunchbase.com/organization/toumai-analytics,Pre-Seed,"Cannes, Languedoc-Roussillon, France, Europe",2025-02-09,1000000,EUR,1030980,Seed,,,,Yes,"ToumAI Analytics is a software development company providing voice analytics, real-time analytics, and reporting services.","Analytics, Artificial Intelligence (AI), Real Time, Software",,https://toum.ai/,,1000000,EUR,1030980,Seed,2,Launch Africa,"Bpifrance, Bruno Akpaka, Digital Africa, GO Ventures, Launch Africa, Madica, Orange Ventures",,7,"7,400"
Seed Round - Akidaia,https://www.crunchbase.com/funding_round/akidaia-seed--367475ca,Akidaia,https://www.crunchbase.com/organization/akidaia,Seed,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",2025-02-27,1300000,EUR,1351225,Seed,,,,Yes,Akidaia offers a non-connected access control solution that operates without the need for internet connectivity or a central database.,Security,,https://akidaia.com/,,1300000,EUR,1351225,Seed,1,,"Advans, Bpifrance, Construction Venture, Leonard, Paris Business Angels, Provence Business Angels",,6,"8,016"
Seed Round - Oplit,https://www.crunchbase.com/funding_round/oplit-seed--e7bce179,Oplit,https://www.crunchbase.com/organization/oplit,Seed,"Paris, Ile-de-France, France, Europe",2024-11-26,,,,Seed,,,,Yes,Oplit is a production planning platform that provides software and support to help industrials boost operations profitability.,"Developer Platform, Software",,https://www.oplit.com/,,2600000,EUR,2733105,Seed,2,VI Partners,"BACS-Innov, Evolem Start, Newfund, OSS Ventures, VI Partners",,5,"9,365"
Seed Round - OFFROAD,https://www.crunchbase.com/funding_round/offroad-18b9-seed--ee6df84c,OFFROAD,https://www.crunchbase.com/organization/offroad-18b9,Seed,"Alfortville, Ile-de-France, France, Europe",2025-01-28,1500000,EUR,1564740,Seed,,,,Yes,OFFROAD is a French company specializing in road maintenance and public space management.,"Building Maintenance, Construction, Hardware, Infrastructure",,https://offroad.works,,1500000,EUR,1564740,Seed,1,Axeleo Capital,"Axeleo Capital, Isai, Ring Capital",,3,"9,923"
