Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - GBM Works,https://www.crunchbase.com/funding_round/gbm-works-seed--355b4029,GBM Works,https://www.crunchbase.com/organization/gbm-works,Seed,"The Hague, Zuid-Holland, The Netherlands, Europe",2024-12-05,6000000,EUR,6351882,Seed,,,,Yes,GBM works develops conventional methods and techniques for installing offshore wind turbine foundations.,"Energy, Renewable Energy",,https://www.gbmworks.com/,$1M to $10M,8455635,EUR,8919909,Seed,2,,"European Innovation Council, Katapult Ocean, Rotterdamse Havendraken",3,3,"9,802"
Seed Round - ThreatFabric,https://www.crunchbase.com/funding_round/threatfabric-seed--4d6ee653,ThreatFabric,https://www.crunchbase.com/organization/threatfabric,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-12-04,,,,Seed,,,,Yes,ThreatFabric provides banks with the expertise and tools to detect known and unknown threats.,"Cyber Security, Fraud Detection, Information Technology, Risk Management",,https://www.threatfabric.com/,$1M to $10M,11500000,EUR,12548968,Seed,2,Rabo Investments,Rabo Investments,1,1,"11,518"
Seed Round - Talk360,https://www.crunchbase.com/funding_round/talk360-seed--670e10d0,Talk360,https://www.crunchbase.com/organization/talk360,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-09-12,1270000,EUR,1407040,Seed,,,,Yes,Talk360 connects lives and bridges distance by making international phone calls affordable and accessible for everyone.,"Mobile Apps, Telecommunications",,https://www.talk360.com/,$1M to $10M,8407040,USD,8407040,Seed,5,HAVAÍC,HAVAÍC,1,1,"14,246"
Seed Round - Tur.ai,https://www.crunchbase.com/funding_round/tur-ai-seed--b5b9ff66,Tur.ai,https://www.crunchbase.com/organization/tur-ai,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-10-23,1450000,USD,1450000,Seed,,,,Yes,"Tur.ai offers a platform as a service that allows organizations to design, build, and operate business-friendly AI solutions.","Artificial Intelligence (AI), Industrial Automation, Machine Learning, Marketing Automation, Natural Language Processing, Office Administration, Professional Services, Robotics, Sales Automation",,http://tur.ai,Less than $1M,1450000,USD,1450000,Seed,1,Presto Ventures,Presto Ventures,,1,"14,850"
Seed Round - SCIL Nanoimprint solutions,https://www.crunchbase.com/funding_round/scil-nanoimprint-solutions-seed--41e9f4be,SCIL Nanoimprint solutions,https://www.crunchbase.com/organization/scil-nanoimprint-solutions,Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2023-12-11,10000000,EUR,10765364,Seed,,,,Yes,SCIL Nanoimprint solutions offers solutions for patterning nano-structures on large wafers by using lithography technology.,Nanotechnology,,https://scil-nano.com/,$1M to $10M,10000000,EUR,10765364,Seed,1,"imec.xpand, Invest-NL","BOM, imec.xpand, Invest-NL, RSBG Ventures",1,4,"16,270"
Seed Round - Speaksee Venue Accessibility,https://www.crunchbase.com/funding_round/speaksee-seed--a3862436,Speaksee Venue Accessibility,https://www.crunchbase.com/organization/speaksee,Seed,"Rotterdam, Zuid-Holland, The Netherlands, Europe",2024-04-25,1040000,EUR,1115582,Seed,,,,Yes,Speaksee is the leading technology provider for live captions for the deaf and hard-of-hearing,"Audio, Audio/Visual Equipment, Communication Hardware, Hardware, Health Care, Medical Device, Speech Recognition",,https://www.speak-see.com/,$1M to $10M,1040000,EUR,1115582,Seed,1,,"Generous Minds, Jonas Ruyter, Kai Bakker, NoorderImpact, ZebraLegal",1,5,"16,858"
Seed Round - FINDEST,https://www.crunchbase.com/funding_round/findest-b-v-seed--6615c4e9,FINDEST,https://www.crunchbase.com/organization/findest-b-v,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-07-09,2200000,EUR,2379245,Seed,,,,Yes,Findest accelerates innovation with AI and expertise. The Findest software helps R&D teams at 400 corporates find and use tech faster,"Artificial Intelligence (AI), Enterprise Software, Information Services, Innovation Management, Machine Learning, Search Engine, Software",,http://www.findest.com,Less than $1M,3100000,EUR,3408921,Seed,5,Partinc Capital,Partinc Capital,1,1,"19,274"
Seed Round - Healthplus.ai,https://www.crunchbase.com/funding_round/healthplus-ai-b-v-seed--78e22e54,Healthplus.ai,https://www.crunchbase.com/organization/healthplus-ai-b-v,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-08-01,100000,USD,100000,Seed,,,,Yes,Healthplus.ai enables proactive surgery care,"Artificial Intelligence (AI), Computer, Health Care, Software",,http://www.healthplus.ai,$1M to $10M,2362996,USD,2362996,Seed,4,Cedars-Sinai Accelerator,Cedars-Sinai Accelerator,,1,"23,682"
Seed Round - EventCHI,https://www.crunchbase.com/funding_round/eventx-network-seed--5c84f861,EventCHI,https://www.crunchbase.com/organization/eventx-network,Seed,"Rotterdam, Zuid-Holland, The Netherlands, Europe",2024-06-18,1600000,EUR,1718200,Seed,,,,Yes,"EventCHI is a smart event platform for contactless payments, access control (including ticketing), and data science built on Stellar.","Artificial Intelligence (AI), Cryptocurrency, Event Management, Event Promotion, FinTech, Machine Learning, Mobile Payments, NFC, Payments, RFID",,https://eventchi.app,Less than $1M,1600000,EUR,1718200,Seed,1,,,,,"26,516"
Seed Round - Helin,https://www.crunchbase.com/funding_round/helin-data-seed--6f69ad38,Helin,https://www.crunchbase.com/organization/helin-data,Seed,"Rijswijk, Zuid-Holland, The Netherlands, Europe",2023-12-21,3000000,EUR,3301903,Seed,,,,Yes,Helin provides a SaaS solution that combines edge control with cloud data processing and remote AI applications.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Internet of Things, Marine Technology, Renewable Energy",,https://www.helindata.com,$1M to $10M,3000000,EUR,3301903,Seed,3,FORWARD.one,FORWARD.one,1,1,"29,598"
Seed Round - Verdify,https://www.crunchbase.com/funding_round/verdi-food-seed--99515c53,Verdify,https://www.crunchbase.com/organization/verdi-food,Seed,"Venlo, Limburg, The Netherlands, Europe",2024-01-24,2400000,EUR,2611512,Seed,,,,Yes,"Verdify is a foodtech company that develops software for personalising online meal inspiration, enabling people to make better food choices","Food and Beverage, Information Services",,https://www.verdify.co.uk,,5285000,EUR,5837252,Seed,5,,,,,"31,948"
Seed Round - LegionellaDossier,https://www.crunchbase.com/funding_round/legionelladossier-seed--e6ae4df3,LegionellaDossier,https://www.crunchbase.com/organization/legionelladossier,Seed,"Utrecht, Utrecht, The Netherlands, Europe",2024-11-01,,,,Seed,,,,Yes,"LegionellaDossier offers legionella prevention software, risk analysis software, IoT sensors, digital legionella management services.","Compliance, Professional Services, Software",,https://legionelladossier.com,$1M to $10M,4000000,EUR,3906261,Seed,2,,"Newion, Volta Ventures",2,2,"36,260"
Seed Round - Next Ocean,https://www.crunchbase.com/funding_round/next-ocean-bv-seed--8b269a39,Next Ocean,https://www.crunchbase.com/organization/next-ocean-bv,Seed,"Delft, Zuid-Holland, The Netherlands, Europe",2025-02-12,,,,Seed,,,,Yes,Next Ocean predicts the actual time traces of waves approaching the ship and the resulting ship motion response.,"Electronics, Predictive Analytics, Product Management",,http://www.nextocean.nl/,Less than $1M,146429,EUR,170889,Seed,3,Arches Capital,"Arches Capital, Golden Egg Check Capital",1,2,"43,224"
