Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series C - CarOnSale,https://www.crunchbase.com/funding_round/caronsale-series-c--3553cd37,CarOnSale,https://www.crunchbase.com/organization/caronsale,Series C,2025-07-07,70000000,EUR,82353426,,"HV Capital, Northzone","Creandum, HV Capital, Insight Partners, Northzone, Stripes",179,,,,Late Stage Venture,Operator of B2B auction platform intended to digitize the lease-return and trade-in of cars.,"Automotive, Customer Service, Wholesale","Berlin, Berlin, Germany, Europe",https://www.caronsale.de/,$10M to $50M,136000000,EUR,157547083,Late Stage Venture,4,5,1,Yes,
Series A - Filics,https://www.crunchbase.com/funding_round/filics-series-a--1a9fa407,Filics,https://www.crunchbase.com/organization/filics,Series A,2025-07-07,13500000,EUR,15882446,,,"10x Founders, Alven, Amazon Industrial Innovation Fund, Andrei Danescu, Bayern Kapital, Capnamic, F-LOG Ventures, Helmut Schmid, Sandwater",212,,,,Early Stage Venture,Filics automates intralogistics pallet transportation with a double runner system.,"Logistics, Supply Chain Management, Transportation","Munich, Bayern, Germany, Europe",https://www.filics.eu,,13500000,EUR,15882446,Early Stage Venture,5,9,2,Yes,
Series C - Finom,https://www.crunchbase.com/funding_round/finom-e735-series-c--c46415c6,Finom,https://www.crunchbase.com/organization/finom-e735,Series C,2025-06-23,115000000,EUR,132126957,,AVP,"AVP, Cogito Capital Partners, General Catalyst, Headline, Northzone",318,,,,Late Stage Venture,"Finom provides an online payment solution that integrates business accounts, invoicing, and accounting.","Finance, Financial Services, FinTech, Payments","Amsterdam, Noord-Holland, The Netherlands, Europe",https://finom.co,$50M to $100M,307500000,EUR,344606923,Late Stage Venture,7,5,4,Yes,
Series B - Multiverse Computing,https://www.crunchbase.com/funding_round/multiverse-computing-series-b--9f2cef78,Multiverse Computing,https://www.crunchbase.com/organization/multiverse-computing,Series B,2025-06-12,189000000,EUR,218451147,,Bullhound Capital,"Bullhound Capital, CDP Venture Capital, Forgepoint Capital International, Gaingels, GESTIÓN DE CAPITAL RIESGO DEL PAÍS VASCO, HP Tech Ventures, Quantonation, Santander Climate VC, SETT, Toshiba Corporation",461,,,,Early Stage Venture,Multiverse Computing is a quantum software company that applies advanced solutions to solve complex challenges.,"Artificial Intelligence (AI), Machine Learning, Quantum Computing, Software","Donostia-san Sebastián, Pais Vasco, Spain, Europe",http://multiversecomputing.com,,344335043,USD,344335043,Early Stage Venture,10,10,5,Yes,
Series A - Vok Bikes,https://www.crunchbase.com/funding_round/vok-bikes-series-a--cf98c875,Vok Bikes,https://www.crunchbase.com/organization/vok-bikes,Series A,2025-07-02,5000000,EUR,5900297,,SQM Lithium Ventures,"Metaplanet, SmartCap, Specialist VC, SQM Lithium Ventures, Sunly",525,,,,Early Stage Venture,Heavy duty cargo bikes provides on demand delivery companies.,"Last Mile Transportation, Rental","Tallinn, Harjumaa, Estonia, Europe",http://vokbikes.com,$1M to $10M,11400000,EUR,13009412,Early Stage Venture,7,5,2,Yes,
Series A - Soplaya,https://www.crunchbase.com/funding_round/soplaya-series-a--a75c50ac,Soplaya,https://www.crunchbase.com/organization/soplaya,Series A,2025-07-22,6000000,EUR,7012852,,"Alkemia Capital, CDP Venture Capital","Alkemia Capital, CDP Venture Capital, P101, Riello Investimenti Partners",886,,,,Early Stage Venture,"Soplaya is the sustainable, diverse & efficient B2B food supply service, connecting Chefs and Farmers directly.","Food and Beverage, Restaurants","Udine, Friuli-Venezia Giulia, Italy, Europe",https://www.soplaya.com,$10M to $50M,25268116,USD,25268116,Early Stage Venture,8,4,1,Yes,
Series A - QuiX,https://www.crunchbase.com/funding_round/quix-42ff-series-a--462c56ca,QuiX,https://www.crunchbase.com/organization/quix-42ff,Series A,2025-07-10,15000000,EUR,17533340,,"European Innovation Council Fund, Invest-NL","European Innovation Council Fund, FORWARD.one, Invest-NL, OostNL, PhotonVentures",990,,,,Early Stage Venture,"QuiX develops photonic quantum computing hardware, utilizing integrated photonics to process quantum information through light particles.","Hardware, Manufacturing, Quantum Computing","Amsterdam, Noord-Holland, The Netherlands, Europe",https://www.quixquantum.com,$1M to $10M,38000000,EUR,42198458,Early Stage Venture,5,5,4,Yes,
Series A - Swarmia,https://www.crunchbase.com/funding_round/swarmia-series-a--a8250b86,Swarmia,https://www.crunchbase.com/organization/swarmia,Series A,2025-06-18,10000000,EUR,11508208,,"DIG Ventures, Karma Ventures","Alex Plugaru, Alven, Cal Henderson, DIG Ventures, Karma Ventures, Lifeline Ventures, Romain Huet","1,021",,,,Early Stage Venture,"Swarmia develops a business management software that provides insights and tools to engineering leaders, managers, and teams.","Business Development, Information Technology, Productivity Tools, SaaS","Helsinki, Southern Finland, Finland, Europe",https://www.swarmia.com/,$1M to $10M,16700000,EUR,19600132,Early Stage Venture,4,7,5,Yes,
Series A - Connectd,https://www.crunchbase.com/funding_round/linkexec-series-a--dc76b3ef,Connectd,https://www.crunchbase.com/organization/linkexec,Series A,2025-07-22,5500000,GBP,7410641,,Anker Capital,"Alan Morgan, Anker Capital, Stena Line, Steven Mail","1,218",,,,Early Stage Venture,"Connectd is a product ecosystem that empowers founders, investors and advisors to manage connections.","Angel Investment, Financial Services, Funding Platform, Information Services, Software, Venture Capital","London, England, United Kingdom, Europe",https://www.connectd.co/,,13000853,USD,13000853,Early Stage Venture,6,4,1,Yes,
Series A - Bigger Games,https://www.crunchbase.com/funding_round/bigger-games-series-a--d9872470,Bigger Games,https://www.crunchbase.com/organization/bigger-games,Series A,2025-06-16,25000000,USD,25000000,,Goodwater Capital,"Arcadia Gaming Partners, Goodwater Capital, Index Ventures, Play Ventures","1,341",,,,Early Stage Venture,Bigger Games is a mobile gaming company that has a passion for creating games that millions of people play every day.,"Gaming, Mobile, Online Games","Istanbul, Istanbul, Turkey, Europe",https://biggergames.com/,$1M to $10M,31000000,USD,31000000,Early Stage Venture,2,4,2,Yes,
Series A - PhotonPath,https://www.crunchbase.com/funding_round/photonpath-series-a--1f7e37c7,PhotonPath,https://www.crunchbase.com/organization/photonpath,Series A,2025-06-25,5100000,EUR,5928571,,Join Capital,"360 Capital, Brembo Ventures, CDP Venture Capital, Deep Ocean Capital, Join Capital, Levante Capital, RoboIT","1,683",,,,Early Stage Venture,"Photonpath is a manufacturer of integrated photonic devices to obtain, transmit and process information using light.","Information Technology, Manufacturing, Nanotechnology, Semiconductor","Milan, Lombardia, Italy, Europe",https://www.photon-path.com,$1M to $10M,5100000,EUR,5928571,Early Stage Venture,3,7,6,Yes,
Series A - Unchained Robotics,https://www.crunchbase.com/funding_round/unchained-robotics-series-a--d9b46fd6,Unchained Robotics,https://www.crunchbase.com/organization/unchained-robotics,Series A,2025-06-25,8500000,EUR,9880952,,Direttissima Growth Partners,"D11Z.Ventures, Direttissima Growth Partners, Future Industry Ventures, Navivo Capital, vent.io","1,698",,,,Early Stage Venture,Automation.Simplified.Standardized. Unchained Robotics is the one-stop-platform for industrial automation in SME factories across Europe.,"Artificial Intelligence (AI), Industrial Automation, Robotics, Software","Paderborn, Nordrhein-Westfalen, Germany, Europe",https://unchainedrobotics.de/,$1M to $10M,16200000,EUR,18371087,Early Stage Venture,4,5,3,Yes,
Series A - Voliro,https://www.crunchbase.com/funding_round/voliro-airborne-robotics-series-a--2d354304,Voliro,https://www.crunchbase.com/organization/voliro-airborne-robotics,Series A,2025-06-16,11000000,CHF,13556732,,Cherry Ventures,"Cherry Ventures, noa","1,860",,,,Early Stage Venture,Voliro leads in aerial mobile robotics with cutting-edge technology designed for precision work at heights.,"Aerospace, Drones, Robotics, Software","Zürich, Zurich, Switzerland, Europe",https://www.voliro.com,$1M to $10M,25030000,CHF,29847938,Early Stage Venture,6,2,1,Yes,
Venture Round - www.bike-room.com,https://www.crunchbase.com/funding_round/www-bike-room-com-series-unknown--94bcf9b0,www.bike-room.com,https://www.crunchbase.com/organization/www-bike-room-com,Venture - Series Unknown,2025-07-24,3000000,EUR,3526433,,,"Azimut Investments, Vesper Holding","2,161",,,,,"Bike-Room is a platform for bikes, connecting brands, dealers, and bikers.","Cycling, Digital Marketing, E-Commerce, Internet, Sporting Goods","Brescia, Lombardia, Italy, Europe",https://bike-room.com/,Less than $1M,4300000,EUR,4997371,,4,2,1,Yes,
Private Equity Round - Dream Games,https://www.crunchbase.com/funding_round/dream-games-private-equity--b543d4fd,Dream Games,https://www.crunchbase.com/organization/dream-games,Private Equity,2025-05-01,1250000000,USD,1250000000,,CVC Capital Partners,CVC Capital Partners,"2,979",3750000000,USD,3750000000,Private Equity,Dream Games is a mobile game development company that develops mobile puzzle games.,"Casual Games, Gaming, Video Games","Istanbul, Istanbul, Turkey, Europe",https://dreamgames.com,,2967500000,USD,2967500000,Private Equity,6,1,1,Yes,
Series A - Altura Platform,https://www.crunchbase.com/funding_round/altura-platform-series-a--4bdfce8e,Altura Platform,https://www.crunchbase.com/organization/altura-platform,Series A,2025-06-09,8000000,EUR,9139087,,Octopus Ventures,"Curiosity VC, Fortino Capital, Octopus Ventures, Pawel Smocyzk, Perry Oostdam","3,069",,,,Early Stage Venture,"Altura Platform helps you to identify opportunities, collaborate on writing your bid and analyse data on your performance.","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Project Management","Utrecht, Utrecht, The Netherlands, Europe",https://www.altura.io,,11500000,EUR,12946777,Early Stage Venture,3,5,3,Yes,
Venture Round - Evolbe,https://www.crunchbase.com/funding_round/evolbe-series-unknown--cc6cbea1,Evolbe,https://www.crunchbase.com/organization/evolbe,Venture - Series Unknown,2025-08-01,500000,EUR,570756,,Eoniq.fund,Eoniq.fund,"3,105",,,,,"Evolbe is the definitive solution designed to digitize operations, optimize HR administration, and centralize communication.","Information and Communications Technology (ICT), Information Services, Information Technology","Madrid, Madrid, Spain, Europe",https://evolbe.com,Less than $1M,500000,EUR,570756,,2,1,,Yes,
Venture Round - Ento,https://www.crunchbase.com/funding_round/ento-labs-series-unknown--1213e893,Ento,https://www.crunchbase.com/organization/ento-labs,Venture - Series Unknown,2025-06-26,,,,,AURA Ventures,AURA Ventures,"3,644",,,,,The easiest way to optimise energy consumption in public and commercial buildings.,"Artificial Intelligence (AI), Energy, Energy Efficiency, Energy Management, Machine Learning","Aarhus, Midtjylland, Denmark, Europe",https://ento.ai,$1M to $10M,3600000,USD,3600000,,2,1,1,Yes,
Venture Round - Keyless,https://www.crunchbase.com/funding_round/keyless-technologies-ltd-series-unknown--cb3afd34,Keyless,https://www.crunchbase.com/organization/keyless-technologies-ltd,Venture - Series Unknown,2025-01-22,2000000,USD,2000000,,"Experian Ventures, Rialto Ventures","Experian Ventures, Rialto Ventures","4,015",,,,,Keyless provides biometric authentication solutions that enhance security without storing data.,"Biometrics, Cyber Security, Identity Management, Information Technology, Internet","London, England, United Kingdom, Europe",https://keyless.io,$1M to $10M,18000000,USD,18000000,,9,2,1,Yes,
