Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Angel Round - People Sports - Never Empty,https://www.crunchbase.com/funding_round/people-sports-angel--88ae0f8c,People Sports - Never Empty,https://www.crunchbase.com/organization/people-sports,Angel,2013-10-16,450000,USD,450000,,,,"222,649",,,,Seed,"People Sports has developed Never Empty, the breakthrough last minute ticketing brand. Now available throughout Spanish football.","E-Commerce, eSports, Sports","Madrid, Madrid, Spain, Europe",http://www.neveremptyapp.com,Less than $1M,1350000,USD,1350000,Seed,2,,,Yes,
Angel Round - HIZLIÇEVİRİ,https://www.crunchbase.com/funding_round/hizliceviri-angel--a00ac51b,HIZLIÇEVİRİ,https://www.crunchbase.com/organization/hizliceviri,Angel,2015-02-01,135000,USD,135000,,,"Ahu Buyukkusoglu Serter, Alemsah Ozturk, Arif Akdağ, BIC Angels, Caglar Karatas, Cem Soysal, Emre Kurttepeli, Erinç Özada, Galata Business Angels, Joachim Behrendt, Kaan Boyner, Melih Odemis, Onder Oztarhan, Sinan Güler, Umur Ozal, Uğur Şeker, Yusuf Azoz","8,574",,,,Seed,HIZLIÇEVİRİ is a company that offers translations to businesses who upload their files to them.,"Internet, Service Industry, Translation Service","Kagithane, Istanbul, Turkey, Europe",https://hizliceviri.com,$1M to $10M,135000,USD,135000,Seed,2,17,,Yes,
Angel Round - Tyba,https://www.crunchbase.com/funding_round/tyba-angel--d886eb4b,Tyba,https://www.crunchbase.com/organization/tyba,Angel,2012-11-01,262000,EUR,339038,,,,"566,521",1162000,EUR,1503672,Seed,Tyba is a recruitment platform for startups and Internet companies.,"Career Planning, Identity Management, Recruiting, Social Media, Software","Madrid, Madrid, Spain, Europe",http://tyba.com,$1M to $10M,4749038,USD,4749038,M&A,3,,,Yes,
Angel Round - We Are Knitters,https://www.crunchbase.com/funding_round/we-are-knitters-angel--357fae50,We Are Knitters,https://www.crunchbase.com/organization/we-are-knitters,Angel,2022-11-30,,,,,Pablo Fernandez,"Antonio Lorenzo, Francisco Alister Moreno, Jorge Sánchez, Leandro Sigman, Pablo Fernandez","21,246",,,,Seed,"We Are Knitters is a manufacturer and provider of knitting kits, crochets, t-shirts, patterns, videos, and other supplies.","DIY, E-Commerce, Fashion","Madrid, Madrid, Spain, Europe",http://www.weareknitters.com,$1M to $10M,150000,USD,150000,Seed,2,5,,Yes,
Angel Round - Live Mobile,https://www.crunchbase.com/funding_round/live-mobile-angel--b67e250b,Live Mobile,https://www.crunchbase.com/organization/live-mobile,Angel,2011-06-15,2000000,USD,2000000,,,,"435,676",,,,Seed,LiveMobile delivers carrier-grade mobile solutions which can sold to their subscribers,"Mobile, Subscription Service, Telecommunications","Dublin, Dublin, Ireland, Europe",http://www.livemobileco.com,$1M to $10M,2040387,USD,2040387,Seed,2,,,Yes,
Angel Round - SmallRivers,https://www.crunchbase.com/funding_round/smallrivers-angel--0a9b8279,SmallRivers,https://www.crunchbase.com/organization/smallrivers,Angel,2008-01-01,1000000,USD,1000000,,,,"437,053",,,,Seed,Smallrivers is a startup that develops web services facilitating the interconnection of people with shared interests.,"Apps, Blogging Platforms, Communities","Lausanne, Vaud, Switzerland, Europe",,,5100000,USD,5100000,M&A,4,,,Yes,
Angel Round - Atooma,https://www.crunchbase.com/funding_round/atooma-angel--6194aeb8,Atooma,https://www.crunchbase.com/organization/atooma,Angel,2013-03-10,165000,USD,165000,,,,"321,095",3000000,USD,3000000,Seed,Atooma created Resonance: it uses the IoT to create contextual predictions and automations based on user lives,"Artificial Intelligence (AI), Automotive, Cloud Computing, Industrial Automation, Internet of Things, Smart Home","Rome, Lazio, Italy, Europe",http://www.atooma.com,$1M to $10M,1092591,USD,1092591,Seed,6,,,Yes,
Angel Round - hiyalife,https://www.crunchbase.com/funding_round/hiyalife-angel--6c640925,hiyalife,https://www.crunchbase.com/organization/hiyalife,Angel,2012-01-01,385000,USD,385000,,,,"197,980",,,,Seed,"Hiyalife is an app that allows users to organize their memories, build their life stories, and rediscover and share them.","Content, Hardware, Journalism, Photography, Privacy, Private Social Networking, Social Media, Video","London, England, United Kingdom, Europe",http://www.hiyalife.com,$1M to $10M,639810,USD,639810,Seed,3,,,Yes,
Angel Round - Memonic,https://www.crunchbase.com/funding_round/memonic-angel--37b9d060,Memonic,https://www.crunchbase.com/organization/memonic,Angel,2010-05-01,1000000,USD,1000000,,,,"199,237",,,,Seed,"Memonic allows users to clip, capture, organize and retrieve digital information and web content.","Image Recognition, Information Technology, Software, Video","Zürich, Zurich, Switzerland, Europe",http://www.memonic.com,Less than $1M,2700000,USD,2700000,Seed,3,,,Yes,
Angel Round - Foap AB,https://www.crunchbase.com/funding_round/foap-ab-angel--0d8c824a,Foap AB,https://www.crunchbase.com/organization/foap-ab,Angel,2012-01-06,500000,SEK,72191,,,,"174,151",,,,Seed,Foap AB offers smartphone users and photographers the opportunity to earn money from their photos.,"Mobile, Photography","Warsaw, Mazowieckie, Poland, Europe",http://www.foap.com,$1M to $10M,4581900,USD,4581900,Seed,8,,,Yes,
Angel Round - Gate 53|10,https://www.crunchbase.com/funding_round/gate-53-10-technologies-angel--c626c063,Gate 53|10,https://www.crunchbase.com/organization/gate-53-10-technologies,Angel,2009-01-01,,,,,,,"377,486",,,,Seed,"Gate 53|10 develops Fytch, a web-based tool that empowers people to write, read, and share comments at any web site.","File Sharing, Web Browsers, Web Hosting","Hamburg, Hamburg, Germany, Europe",http://www.gate5310.com,,141000,EUR,177785,Seed,2,,,Yes,
Angel Round - Jamgle,https://www.crunchbase.com/funding_round/jamgle-angel--f3b02a4e,Jamgle,https://www.crunchbase.com/organization/jamgle,Angel,2013-05-20,50000,EUR,64403,,,,"630,358",1050000,EUR,1352460,Seed,Jamble lets amateur musicians create music through social media.,"Music, Social Media, Video","Rosciano, Umbria, Italy, Europe",http://www.jamgle.com,$1M to $10M,814403,USD,814403,Seed,2,,,Yes,
Angel Round - Jamii,https://www.crunchbase.com/funding_round/jamii-angel--95b01738,Jamii,https://www.crunchbase.com/organization/jamii,Angel,2010-11-10,,,,,,,"130,022",,,,Seed,One to many communication by phone,"Messaging, Mobile, Social Media","Istanbul, Istanbul, Turkey, Europe",http://www.jamii.com,Less than $1M,,,,Seed,3,,,Yes,
Angel Round - Tjobs.eu,https://www.crunchbase.com/funding_round/tjobs-angel--9ce5691a,Tjobs.eu,https://www.crunchbase.com/organization/tjobs,Angel,2011-01-01,500000,EUR,668685,,,,"170,100",,,,Seed,Tjobs.eu is the European marketplace for candidates and recruiters that are active in the blue collar industry,"Enterprise Software, Marketplace, Recruiting","Elburg, Gelderland, The Netherlands, Europe",http://www.tjobs.eu,$1M to $10M,500000,EUR,668685,Private Equity,3,,,Yes,
Angel Round - enModus,https://www.crunchbase.com/funding_round/enmodus-angel--00f6a0d3,enModus,https://www.crunchbase.com/organization/enmodus,Angel,2010-07-01,150000,GBP,226457,,,,"660,228",,,,Seed,enModus is a technology company that develops and markets communication platforms for buildings.,"Hardware, Smart Home, Software","Chepstow, Monmouthshire, United Kingdom, Europe",http://www.enmodus.com,$1M to $10M,5650000,GBP,8214089,,6,,,Yes,
Angel Round - Flubit.com,https://www.crunchbase.com/funding_round/flubit-limited-angel--3c87d88e,Flubit.com,https://www.crunchbase.com/organization/flubit-limited,Angel,2012-01-01,1750000,USD,1750000,,,,"612,308",9375000,USD,9375000,Seed,"Flubit.com is the largest UK-owned marketplace for branded goods. You can buy over 1 Million items cheaper than Amazon, every week.","E-Commerce, Internet, Marketplace, Retail, Shopping","London, England, United Kingdom, Europe",http://flubit.com,$1M to $10M,2750000,USD,2750000,,5,,,Yes,
Angel Round - ReviewPro,https://www.crunchbase.com/funding_round/reviewpro-angel--c5b87897,ReviewPro,https://www.crunchbase.com/organization/reviewpro,Angel,2010-04-09,1200000,USD,1200000,,,,"339,425",,,,Seed,"The end-to-end guest experience platform, serving global hospitality.​","Reputation, SaaS, Social Media Management, Social Media Marketing, Software","Barcelona, Catalonia, Spain, Europe",http://www.reviewpro.com,$10M to $50M,6756367,USD,6756367,M&A,5,,,Yes,
Angel Round - citiservi,https://www.crunchbase.com/funding_round/citiservi-angel--d79f4086,citiservi,https://www.crunchbase.com/organization/citiservi,Angel,2010-12-01,850000,EUR,1116517,,,,"426,528",,,,Seed,"Citiservi is an advertising engine that provides its users with contact details of local businesses, services, and products.","Advertising, Internet, Local, Local Advertising, Search Engine","Bilbao, Pais Vasco, Spain, Europe",http://www.citiservi.es,,2700000,EUR,3565002,Seed,3,,,Yes,
Angel Round - SellanApp,https://www.crunchbase.com/funding_round/sellanapp-angel--4b588435,SellanApp,https://www.crunchbase.com/organization/sellanapp,Angel,2012-01-31,250000,EUR,327232,,,,"426,685",915000,EUR,1197669,Seed,SellanApp connects the creative community with app developers to transform their ideas into apps.,"Apps, Crowdfunding, iOS, Mobile","Amsterdam, Noord-Holland, The Netherlands, Europe",http://sellanapp.com,,821005,USD,821005,Seed,4,,,Yes,
Angel Round - CurrencyFair,https://www.crunchbase.com/funding_round/currencyfair-angel--d16484c9,CurrencyFair,https://www.crunchbase.com/organization/currencyfair,Angel,2009-10-01,400000,EUR,581226,,,,"432,918",,,,Seed,CurrencyFair is a P2P online marketplace enabling individuals and businesses to exchange currencies and send funds to bank accounts.,"Finance, Financial Services, FinTech, Payments","Ballsbridge, Dublin, Ireland, Europe",https://www.currencyfair.com/,$10M to $50M,24490494,USD,24490494,,10,,,Yes,
Angel Round - Vivartes,https://www.crunchbase.com/funding_round/vivartes-angel--930341d1,Vivartes,https://www.crunchbase.com/organization/vivartes,Angel,2009-12-31,179000,EUR,256662,,,,"263,511",,,,Seed,Vivartes provides a non-pharmacological approach to the treatment of patients in long-term care.,"Health Care, Medical","Kilkenny, Kilkenny, Ireland, Europe",http://www.openwindow.ie,,279000,EUR,387204,Seed,2,,,Yes,
Angel Round - Meetingsbooker.com,https://www.crunchbase.com/funding_round/meetingsbooker-com-angel--050aaf80,Meetingsbooker.com,https://www.crunchbase.com/organization/meetingsbooker-com,Angel,2012-10-04,,,,,,,"289,908",,,,Seed,Global meeting venue booking portal,"Hospitality, Travel","Dún Laoghaire, Dublin, Ireland, Europe",http://www.meetingsbooker.com,$1M to $10M,2000000,EUR,2392984,,4,,,Yes,
Angel Round - QualySense,https://www.crunchbase.com/funding_round/qualysense-angel--c2f6b9c1,QualySense,https://www.crunchbase.com/organization/qualysense,Angel,2011-06-09,850000,USD,850000,,,,"532,565",,,,Seed,"QualySense is a Swiss company focusing on innovative high-throughput grain, beans, and seeds sorting technology.","Agriculture, Food and Beverage, Food Processing","Glattbrugg, Zurich, Switzerland, Europe",http://www.qualysense.com,$1M to $10M,24550458,USD,24550458,M&A,11,,,Yes,
