Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Angel Round - JETRACT,https://www.crunchbase.com/funding_round/jetract-angel--b41fb9f6,JETRACT,https://www.crunchbase.com/organization/jetract,Angel,2017-03-02,,,,,,"Arif Akdağ, Firat Isbecer, Galata Business Angels, Gorkem Oktay, Gülsüm Çıracı, Hande Enes, Istanbul Startup Angels, Mehmet Kurtuluş Eker, Melih Odemis, Merve Gürel, Murat Kantarcı, Semra Sarı, Umur Ozal","8,434",,,,Seed,JETRACT develops software that increases the efficiency of procurement and procurement processes carried out by traditional methods.,"Computer, Internet, Software","Istanbul, Istanbul, Turkey, Europe",https://jetract.com,,69500,USD,69500,Seed,3,13,1,Yes,
Angel Round - Emteq,https://www.crunchbase.com/funding_round/emteq-angel--246fdc2e,Emteq,https://www.crunchbase.com/organization/emteq,Angel,2024-11-01,2299000,GBP,2971628,,,,"38,772",,,,Seed,The world's first emotion recognition and analysis platform in smart glasses,"Artificial Intelligence (AI), Augmented Reality, Human Computer Interaction, Virtual Reality, Wearables","Brighton, East Sussex, United Kingdom, Europe",https://www.emteqlabs.com,$50M to $100M,9711000,GBP,12428706,Seed,10,,,Yes,
Angel Round - Bionluk,https://www.crunchbase.com/funding_round/bionluk-angel--f19a0d2d,Bionluk,https://www.crunchbase.com/organization/bionluk,Angel,2015-07-07,,,,,,"Aksel Kastoryano, BIC Angels, Engin Utkan, Erbil Karaman, Joachim Behrendt, Mehmet Gürleyen, Mehmet Onarcan, Omer Erkmen, Sinan Güler, Tunay Gur, Yusuf Azoz","42,735",,,,Seed,"Bionluk is a community-driven platform, class, and meeting.","Freelance, Professional Networking, Professional Services, Social Network","Istanbul, Istanbul, Turkey, Europe",https://bionluk.com,Less than $1M,500000,TRY,234763,Seed,2,11,,Yes,
Angel Round - Trendy Beat Network,https://www.crunchbase.com/funding_round/trendy-beat-network-limited-angel--0f92b174,Trendy Beat Network,https://www.crunchbase.com/organization/trendy-beat-network-limited,Angel,2024-06-23,5450000,AED,1483801,,,Saudi Angel Investors,"45,060",,,,Seed,"Media and Advertising Company providing services including Digital Music Distribution, Social Media Promotions and Law Enforcement","Advertising, Digital Media, Music","London, England, United Kingdom, Europe",https://trendybeat.com,$1M to $10M,15042395,USD,15042395,Seed,29,1,,Yes,
Angel Round - Admetrics,https://www.crunchbase.com/funding_round/admetrics-angel--b040aed5,Admetrics,https://www.crunchbase.com/organization/admetrics,Angel,2023-09-22,,,,,,"Hannibal Soares, Jens Wasel, Toni Hilti","69,580",,,,Seed,Admetrics is the first unified analytics solution with integrated experimentation engine and AI-based marketing assistant.,"Advertising, Analytics, Information Technology, Software","Frankfurt, Hessen, Germany, Europe",https://www.admetrics.io,Less than $1M,250000,USD,250000,Seed,2,3,,Yes,
Angel Round - Mabpro Therapeutics,https://www.crunchbase.com/funding_round/mabpro-therapeutics-angel--925a1586,Mabpro Therapeutics,https://www.crunchbase.com/organization/mabpro-therapeutics,Angel,2023-02-16,150000,EUR,159997,,,,"86,721",,,,Seed,"early-stage biotech company building an immunotherapy platform and companion diagnostics for aggressive, hypoxic tumors","Biotechnology, Health Care, Life Science, Therapeutics","Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",https://www.mabprotx.com,,2260000,EUR,2703005,Seed,5,,,Yes,
Angel Round - persomatch GmbH,https://www.crunchbase.com/funding_round/persomatch-gmbh-angel--1b829011,persomatch GmbH,https://www.crunchbase.com/organization/persomatch-gmbh,Angel,2022-11-29,,,,,,"HR Pepper, Martin Sinner, Nils Drescher","88,385",,,,Seed,"B2B AdTech SaaS solution for job advertising at the largest job marketplace Google via Google Ads, Google for Jobs and Google SEO","Advertising, Internet, Marketing, Recruiting, SaaS, Software","Bielefeld, Nordrhein-Westfalen, Germany, Europe",https://persomatch.de,,100000,EUR,107880,Seed,3,3,,Yes,
Angel Round - Scalable Global Solutions,https://www.crunchbase.com/funding_round/scalable-global-solutions-angel--b386fdb7,Scalable Global Solutions,https://www.crunchbase.com/organization/scalable-global-solutions,Angel,2023-01-01,395575,EUR,423484,,,,"88,397",,,,Seed,SGS helps SMEs overcome hiring challenges and market barriers with Department as a Solution (DaaS).,"Consulting, Coworking, Employment, Management Information Systems, Professional Services, Recruiting, Service Industry","Zagreb, Grad Zagreb, Croatia, Europe",https://sgs-daas.com/,,1692065,EUR,1905058,Seed,3,,,Yes,
Angel Round - Motorway,https://www.crunchbase.com/funding_round/motorway-angel--8f477957,Motorway,https://www.crunchbase.com/organization/motorway,Angel,2017-05-01,500000,GBP,644875,,"Christian Woolfenden, Duncan Jennings, Marc Hazan","Christian Woolfenden, Duncan Jennings, Marc Hazan","96,551",,,,Seed,Motorway is an online used-car marketplace connecting people selling their car with a network of verified car dealers,"Automotive, Consumer Reviews, E-Commerce, Electric Vehicle, Marketplace","London, England, United Kingdom, Europe",https://motorway.co.uk,$10M to $50M,276051063,USD,276051063,Late Stage Venture,5,3,,Yes,
Angel Round - Keepnet Labs,https://www.crunchbase.com/funding_round/keepnet-labs-angel--241441c7,Keepnet Labs,https://www.crunchbase.com/organization/keepnet-labs,Angel,2023-01-14,1500000,USD,1500000,,,,"108,090",,,,Seed,"Keepnet is a human risk management company using AI-driven phishing simulations, adaptive training & automated threat response.","Cyber Security, Risk Management, Security, Software","London, England, United Kingdom, Europe",https://www.keepnetlabs.com/,$1M to $10M,1500000,USD,1500000,Seed,2,,,Yes,
